ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
2977,6,296.4194,-14.84166,16.65,0.11,15.56,0.09,1.09,0.142126704
3083,6,296.2347,-14.77015,16.09,0.05,16.86,0.29,-0.77,0.294278779
3297,6,296.20349,-14.70136,16.56,0.1,16.49,0.23,0.07,0.250798724
3315,6,296.08583,-14.88722,16.09,0.04,16.75,0.24,-0.66,0.243310501
3321,6,296.04845,-14.7106,17.01,0.13,16.13,0.2,0.88,0.238537209
3371,6,296.43817,-14.83529,16.9,0.06,15.89,0.19,1.01,0.199248588
3414,6,296.07086,-14.71117,16.15,0.09,16.47,0.24,-0.32,0.256320112
3442,6,296.215,-14.77221,16.77,0.16,15.61,0.16,1.16,0.22627417
3451,6,296.11437,-14.67292,16.48,0.06,15.54,0.09,0.94,0.108166538
3470,6,296.26792,-14.73548,16.42,0.08,15.8,0.14,0.62,0.161245155
3507,6,296.21061,-14.94462,16.46,0.08,15.72,0.11,0.74,0.136014705
3516,6,296.28415,-14.79293,16.28,0.04,16.22,0.17,0.06,0.174642492
3518,6,296.14572,-14.70691,16.18,0.07,16.65,0.28,-0.47,0.288617394
3519,6,296.20189,-14.90866,16.52,0.06,15.43,0.1,1.09,0.116619038
3561,6,296.0831,-14.84028,16.44,0.06,15.89,0.14,0.55,0.152315462
3574,6,296.18926,-14.77893,16.27,0.08,16.17,0.27,0.1,0.281602557
3575,6,296.16824,-14.70905,16.25,0.16,16.57,0.18,-0.32,0.240831892
3579,6,296.30349,-14.89812,16.19,0.05,16.4,0.2,-0.21,0.206155281
3594,6,296.25279,-14.70654,16.26,0.07,16.41,0.21,-0.15,0.221359436
3596,6,296.21651,-14.66501,16.31,0.06,16.05,0.18,0.26,0.18973666
3607,6,296.25477,-14.77995,16.02,0.04,16.85,0.28,-0.83,0.282842712
3609,6,296.21079,-14.70878,16.14,0.07,16.8,0.2,-0.66,0.211896201
3615,6,296.33795,-14.63738,16.12,0.11,16.54,0.18,-0.42,0.210950231
3616,6,296.11725,-14.80781,16.22,0.06,16.27,0.09,-0.05,0.108166538
3625,6,296.25169,-14.77651,16.25,0.05,16.38,0.17,-0.13,0.177200451
3633,6,296.39194,-14.65661,16.46,0.1,15.87,0.16,0.59,0.188679623
3654,6,296.07904,-14.71498,16.48,0.06,15.79,0.1,0.69,0.116619038
3662,6,296.40537,-14.72355,16.69,0.05,15.71,0.12,0.98,0.13
3674,6,296.20087,-14.72406,16.29,0.04,16.16,0.16,0.13,0.164924225
3679,6,296.11212,-14.75918,16.16,0.04,16.5,0.26,-0.34,0.263058929
