,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
4588,4589,296.19729,-14.65669,16.38,0.03,-0.03,16.37,0.05,-0.06,15.82,0.07,-0.06,16.56,-9999.0,-9999.0,12.54,-9999.0,0.24182600029926396,296.19723500000003,-14.656731,17.41,0.031,16.639,0.019,16.508,0.025,2,2,-9999
4589,4590,296.2309,-14.88649,16.35,0.07,0.13,16.37,0.05,0.01,16.08,0.06,-0.4,16.34,0.17,-9999.0,11.56,0.16,0.12435120176813198,296.230865,-14.886497,17.677,0.040999999999999995,16.828,0.028999999999999998,16.544,0.028999999999999998,3,3,6
4595,4596,296.14628999999996,-14.67801,16.31,0.07,-0.04,16.37,0.05,-0.02,16.09,0.08,-0.58,15.86,0.09,-9999.0,12.01,-9999.0,0.22595523801729803,296.14624,-14.677970000000002,17.345,0.028999999999999998,16.675,0.02,16.505,0.025,2,2,2
4597,4598,296.42079,-14.89337,16.11,0.05,1.04,16.37,0.05,1.21,15.93,0.11,0.95,15.25,0.23,-9999.0,11.93,0.26,0.365939446398682,296.420685,-14.893364000000002,17.442,0.027999999999999997,16.797,0.024,16.573,0.027999999999999997,2,3,2
4598,4599,296.40802,-14.77471,16.3,0.07,0.07,16.37,0.07,0.14,16.17,0.12,-0.12,16.03,0.13,-9999.0,12.43,-9999.0,0.13553743662983,296.40799,-14.774685999999999,17.679000000000002,0.034,16.785999999999998,0.023,16.633,0.028999999999999998,3,3,6
4603,4604,296.19501,-14.846929999999999,16.18,0.06,0.0,16.37,0.05,-0.05,16.26,0.12,-0.15,16.59,0.26,0.7,11.67,0.16,0.22456228111873197,296.194946,-14.846922,17.468,0.035,16.734,0.027000000000000003,16.414,0.026000000000000002,3,3,6
4607,4608,296.35593,-14.887279999999999,16.47,0.04,-0.06,16.37,0.05,-0.1,15.97,0.1,-0.58,15.68,0.1,-9999.0,13.15,-9999.0,0.234280083533884,296.355865,-14.887297,17.531,0.03,16.925,0.027000000000000003,16.629,0.028999999999999998,2,2,6
4610,4611,296.27525,-14.786010000000001,16.27,0.03,0.09,16.37,0.06,0.03,16.33,0.11,-0.71,16.15,0.2,-9999.0,12.13,-9999.0,0.155847459473943,296.275208,-14.785995000000002,17.637999999999998,0.039,16.81,0.027999999999999997,16.6,0.03,3,3,6
4619,4620,296.26485,-14.775870000000001,16.34,0.04,0.28,16.37,0.06,0.09,16.24,0.14,-0.78,16.12,0.14,-9999.0,12.16,-9999.0,0.18246098265880603,296.264801,-14.775851999999999,17.552,0.037000000000000005,16.75,0.027000000000000003,16.674,0.032,2,3,6
4620,4621,296.12439,-14.74172,16.44,0.03,-0.03,16.37,0.05,-0.06,16.48,0.09,0.25,15.61,0.13,-9999.0,11.8,0.12,0.23507922669685896,296.124329,-14.741692,17.563,0.037000000000000005,16.985,0.034,16.88,0.038,2,2,2
4623,4624,296.21656,-14.891739999999999,16.27,0.05,-0.13,16.37,0.05,-0.04,15.99,0.08,-9999.0,16.34,0.23,0.38,12.64,-9999.0,0.137019147548727,296.216522,-14.891729999999999,17.465999999999998,0.034,16.654,0.025,16.573,0.028999999999999998,2,3,6
4625,4626,296.22391,-14.814,16.2,0.06,0.4,16.37,0.05,0.41,16.17,0.09,0.65,16.18,-9999.0,-9999.0,12.41,-9999.0,0.33422587709167895,296.223816,-14.813981,17.517,0.036000000000000004,16.698,0.026000000000000002,16.488,0.027999999999999997,3,3,-9999
4626,4627,296.13092,-14.96372,16.0,0.06,0.04,16.37,0.15,0.51,16.44,0.18,0.63,16.08,-9999.0,-9999.0,12.43,-9999.0,0.21242797748718698,296.130981,-14.963717,17.052,0.025,16.436,0.021,16.173,0.023,2,2,-9999
4635,4636,296.23227,-14.88,16.51,0.05,0.36,16.38,0.07,0.21,16.26,0.08,-0.51,16.85,0.21,-9999.0,12.41,0.24,0.152634397574888,296.232239,-14.879970000000002,17.62,0.039,17.456,0.049,16.953,0.04,2,2,6
4636,4637,296.18842,-14.83605,16.4,0.07,0.63,16.38,0.05,0.49,16.2,0.1,0.66,15.92,0.16,-0.54,12.12,-9999.0,0.15361013337735097,296.188385,-14.836023999999998,17.653,0.04,16.735,0.027000000000000003,16.547,0.028999999999999998,3,3,6
4637,4638,296.14821,-14.80122,16.55,0.05,0.02,16.38,0.05,-0.03,16.31,0.1,-0.72,15.46,0.1,-0.05,11.44,0.1,0.105524128549127,296.148224,-14.801194,17.965,0.052000000000000005,17.089000000000002,0.036000000000000004,16.94,0.04,3,3,6
4638,4639,296.27227,-14.68886,16.43,0.05,0.06,16.38,0.05,0.07,16.46,0.14,-0.31,16.25,0.16,-9999.0,12.17,-9999.0,0.310588728673483,296.272186,-14.688889000000001,17.592,0.036000000000000004,16.886,0.023,16.75,0.03,2,3,6
4639,4640,296.18107000000003,-14.75135,16.41,0.05,0.18,16.38,0.05,0.12,16.4,0.12,0.5,16.22,0.13,0.35,11.87,0.23,0.142200726092169,296.18102999999996,-14.751357999999998,17.329,0.031,16.761,0.027000000000000003,16.674,0.032,2,2,6
4640,4641,296.13642000000004,-14.82867,16.46,0.05,0.06,16.38,0.06,-0.01,16.03,0.05,-0.5,16.56,0.25,-9999.0,12.5,-9999.0,0.290218322473487,296.136353,-14.828622,17.74,0.043,16.88,0.03,16.722,0.033,3,3,6
4641,4642,296.35722000000004,-14.834529999999999,16.42,0.05,-0.03,16.38,0.05,-0.09,16.3,0.07,0.06,15.85,0.12,-0.6,11.86,-9999.0,0.146558864556563,296.357178,-14.834527,17.528,0.03,16.72,0.022000000000000002,16.515,0.026000000000000002,3,2,6
