ID,RA,Dec,k80mag,e80mag,Jmag,eJmag,jMINUSeightzero,ERRORjMINUSeightzero
4,296.32372,-14.71925,9.59,0.04,10.628,0.001,1.038,0.040012498
9,296.34638,-14.65813,9.9,0.03,10.907,0.001,1.007,0.030016662
10,296.39491,-14.7222,10.2,0.03,10.941,0.001,0.741,0.030016662
15,296.19544,-14.76783,10.92,0.01,11.333,0.001,0.413,0.010049876
16,296.11035,-14.93975,10.98,0.09,11.35,0.001,0.37,0.090005555
17,296.03273,-14.71501,11.06,0.04,11.66,0.001,0.6,0.040012498
18,296.04839,-14.72607,10.38,0.03,11.123,0.001,0.743,0.030016662
19,296.36713,-14.90611,11.31,0.05,11.444,0.001,0.134,0.050009999
20,296.10586,-14.74201,10.91,0.03,11.227,0.001,0.317,0.030016662
22,296.37241,-14.77913,11.28,0.04,11.412,0.001,0.132,0.040012498
23,296.31718,-14.81486,11.12,0.02,11.711,0.001,0.591,0.020024984
25,296.1117,-14.8854,11.25,0.03,11.428,0.001,0.178,0.030016662
26,296.19023,-14.7782,11.3,0.03,11.516,0.001,0.216,0.030016662
28,296.27912,-14.87051,11.78,0.02,11.918,0.001,0.138,0.020024984
29,296.04354,-14.76839,11.72,0.05,12.228,0.002,0.508,0.050039984
30,296.37417,-14.63178,11.51,0.02,12.156,0.001,0.646,0.020024984
31,296.40456,-14.68409,11.98,0.12,12.188,0.001,0.208,0.120004167
32,296.27236,-14.91251,11.35,0.03,12.037,0.001,0.687,0.030016662
33,296.23234,-14.75985,11.48,0.03,12.077,0.002,0.597,0.030066593
34,296.43268,-14.88152,10.99,0.06,11.51,0.001,0.52,0.060008333
35,296.35039,-14.75823,11.42,0.03,11.579,0.001,0.159,0.030016662
36,296.3926,-14.72992,11.77,0.03,11.882,0.001,0.112,0.030016662
37,296.06217,-14.85564,10.96,0.07,11.158,0.001,0.198,0.070007142
38,296.34993,-14.85112,11.65,0.03,12.015,0.001,0.365,0.030016662
39,296.28907,-14.69538,11.83,0.05,12.125,0.001,0.295,0.050009999
40,296.23916,-14.94049,11.75,0.06,12.252,0.002,0.502,0.060033324
41,296.4073,-14.78313,11.11,0.03,11.758,0.001,0.648,0.030016662
42,296.11413,-14.72153,11.92,0.03,12.546,0.002,0.626,0.030066593
43,296.28662,-14.80418,11.88,0.04,12.409,0.002,0.529,0.040049969
44,296.25082,-14.91508,11.96,0.04,12.611,0.002,0.651,0.040049969
45,296.29738,-14.73665,11.68,0.04,11.908,0.001,0.228,0.040012498
46,296.32462,-14.76248,12.01,0.04,12.424,0.002,0.414,0.040049969
47,296.1619,-14.95537,11.54,0.05,11.682,0.001,0.142,0.050009999
49,296.26458,-14.67861,11.95,0.04,12.277,0.002,0.327,0.040049969
50,296.34868,-14.90366,11.2,0.06,11.927,0.001,0.727,0.060008333
51,296.29964,-14.9122,12.14,0.04,12.728,0.002,0.588,0.040049969
52,296.21295,-14.73218,11.14,0.03,13.392,0.003,2.252,0.030149627
53,296.38939,-14.87467,12.05,0.06,12.6,0.002,0.55,0.060033324
54,296.31862,-14.78844,11.53,0.07,12.412,0.002,0.882,0.070028566
55,296.23214,-14.86554,12.11,0.06,13.256,0.003,1.146,0.060074953
56,296.39808,-14.63558,12.36,0.05,12.784,0.002,0.424,0.050039984
57,296.28379,-14.81428,11.86,0.04,12.111,0.002,0.251,0.040049969
58,296.2889,-14.75284,12.06,0.04,12.584,0.002,0.524,0.040049969
59,296.19692,-14.66896,12.06,0.03,12.413,0.002,0.353,0.030066593
60,296.16444,-14.89521,12.17,0.03,13.039,0.002,0.869,0.030066593
61,296.35539,-14.63656,12.06,0.03,12.649,0.002,0.589,0.030066593
62,296.17662,-14.78313,12.2,0.03,12.467,0.002,0.267,0.030066593
63,296.17007,-14.85616,11.74,0.05,13.046,0.002,1.306,0.050039984
64,296.07762,-14.81015,12.35,0.06,12.616,0.002,0.266,0.060033324
65,296.36151,-14.76405,12.29,0.03,12.817,0.002,0.527,0.030066593
66,296.22735,-14.85768,11.87,0.03,13.257,0.003,1.387,0.030149627
67,296.14092,-14.90703,12.29,0.06,12.527,0.002,0.237,0.060033324
68,296.15971,-14.95473,12.16,0.06,12.391,0.002,0.231,0.060033324
69,296.11811,-14.86657,12.42,0.03,12.618,0.002,0.198,0.030066593
70,296.22841,-14.73003,11.65,0.04,13.705,0.003,2.055,0.040112342
71,296.35894,-14.75666,12.39,0.04,12.539,0.002,0.149,0.040049969
72,296.24165,-14.8949,12.25,0.05,12.742,0.002,0.492,0.050039984
73,296.26778,-14.89674,12.36,0.03,12.855,0.002,0.495,0.030066593
74,296.23886,-14.82236,12.06,0.05,13.352,0.003,1.292,0.050089919
75,296.15389,-14.66145,12.47,0.02,12.992,0.002,0.522,0.020099751
76,296.20578,-14.89952,11.67,0.04,11.791,0.001,0.121,0.040012498
77,296.25895,-14.88794,11.07,0.03,16.231,0.014,5.161,0.033105891
78,296.06897,-14.77061,12.33,0.05,12.808,0.002,0.478,0.050039984
79,296.2188,-14.67693,12.41,0.04,12.918,0.002,0.508,0.040049969
80,296.06112,-14.7089,12.48,0.03,13.276,0.003,0.796,0.030149627
81,296.39467,-14.86896,12.53,0.05,12.786,0.002,0.256,0.050039984
82,296.12245,-14.70961,12.4,0.04,12.852,0.002,0.452,0.040049969
83,296.18538,-14.88825,12.43,0.03,13.069,0.002,0.639,0.030066593
85,296.20812,-14.72607,11.95,0.03,13.963,0.004,2.013,0.030265492
86,296.14054,-14.79896,12.59,0.03,12.867,0.002,0.277,0.030066593
87,296.12377,-14.94321,12.42,0.08,12.739,0.002,0.319,0.080024996
88,296.12384,-14.80063,12.53,0.04,13.522,0.003,0.992,0.040112342
89,296.16318,-14.81462,12.5,0.04,13.094,0.002,0.594,0.040049969
90,296.14859,-14.8688,12.37,0.03,12.922,0.002,0.552,0.030066593
91,296.24945,-14.75436,12.52,0.05,13.41,0.003,0.89,0.050089919
92,296.3101,-14.82239,12.5,0.04,13.545,0.003,1.045,0.040112342
93,296.1112,-14.68832,12.57,0.03,12.935,0.002,0.365,0.030066593
94,296.19855,-14.71823,11.61,0.03,18.579,0.081,6.969,0.08637708
95,296.11072,-14.94249,12.64,0.11,13.066,0.002,0.426,0.11001818
96,296.42045,-14.87142,12.66,0.04,12.939,0.002,0.279,0.040049969
97,296.22482,-14.9379,12.72,0.05,13.652,0.003,0.932,0.050089919
98,296.21398,-14.82672,12.72,0.03,12.942,0.002,0.222,0.030066593
99,296.07633,-14.73778,12.56,0.05,13.242,0.003,0.682,0.050089919
100,296.05728,-14.77661,12.48,0.04,13.26,0.003,0.78,0.040112342
101,296.29647,-14.75285,12.6,0.03,13.512,0.003,0.912,0.030149627
102,296.38612,-14.85478,11.9,0.03,19.305,0.125,7.405,0.128549601
103,296.19068,-14.87268,11.83,0.04,13.682,0.003,1.852,0.040112342
104,296.43693,-14.89042,12.73,0.07,12.989,0.002,0.259,0.070028566
105,296.30039,-14.84762,12.65,0.02,13.236,0.003,0.586,0.020223748
106,296.29324,-14.90859,10.86,0.03,17.938,0.05,7.078,0.058309519
107,296.35693,-14.8596,12.82,0.03,13.043,0.002,0.223,0.030066593
108,296.10323,-14.89485,11.37,0.05,11.857,0.001,0.487,0.050009999
109,296.33694,-14.67303,12.18,0.05,12.379,0.001,0.199,0.050009999
110,296.18259,-14.81214,12.68,0.03,13.274,0.003,0.594,0.030149627
111,296.17192,-14.9269,12.7,0.07,13.733,0.003,1.033,0.070064256
112,296.14741,-14.9229,12.88,0.05,13.143,0.002,0.263,0.050039984
113,296.1123,-14.6724,12.61,0.03,13.181,0.002,0.571,0.030066593
114,296.18295,-14.83655,12.64,0.04,13.08,0.002,0.44,0.040049969
115,296.07335,-14.79784,12.73,0.05,13.399,0.003,0.669,0.050089919
116,296.0763,-14.79473,12.73,0.03,13.087,0.003,0.357,0.030149627
117,296.42594,-14.78076,11.89,0.06,19.301,0.125,7.411,0.138654246
118,296.23527,-14.85684,12.86,0.06,13.125,0.002,0.265,0.060033324
119,296.40046,-14.69058,12.71,0.04,13.206,0.002,0.496,0.040049969
120,296.04617,-14.82915,12.87,0.06,13.76,0.004,0.89,0.060133186
121,296.26686,-14.86363,12.92,0.05,13.202,0.003,0.282,0.050089919
122,296.06638,-14.69383,12.7,0.04,13.062,0.002,0.362,0.040049969
124,296.33341,-14.65482,12.88,0.04,13.483,0.002,0.603,0.040049969
125,296.243,-14.74646,12.53,0.05,14.023,0.004,1.493,0.050159745
126,296.4175,-14.78418,12.94,0.04,13.944,0.004,1.004,0.040199502
127,296.04358,-14.77349,12.92,0.04,13.199,0.003,0.279,0.040112342
128,296.09188,-14.77513,12.83,0.04,13.471,0.003,0.641,0.040112342
129,296.14584,-14.94268,12.9,0.04,13.558,0.003,0.658,0.040112342
130,296.33903,-14.77034,12.97,0.04,13.183,0.003,0.213,0.040112342
131,296.18257,-14.76972,12.32,0.03,13.985,0.004,1.665,0.030265492
132,296.06002,-14.89723,12.82,0.05,13.303,0.003,0.483,0.050089919
133,296.37955,-14.86095,12.96,0.03,13.347,0.003,0.387,0.030149627
134,296.39092,-14.82391,13.23,0.07,13.925,0.004,0.695,0.070114193
135,296.12728,-14.87978,12.96,0.04,13.228,0.003,0.268,0.040112342
136,296.24058,-14.87483,12.98,0.06,13.529,0.003,0.549,0.060074953
137,296.14853,-14.91315,12.76,0.04,13.324,0.003,0.564,0.040112342
139,296.13953,-14.7603,11.77,0.04,12.38,0.002,0.61,0.040049969
140,296.15558,-14.76741,12.89,0.05,13.368,0.003,0.478,0.050089919
142,296.2016,-14.83456,12.97,0.03,13.374,0.003,0.404,0.030149627
144,296.19922,-14.84802,12.45,0.03,14.191,0.004,1.741,0.030265492
145,296.25539,-14.93009,12.98,0.05,13.27,0.003,0.29,0.050089919
146,296.19971,-14.90522,13.12,0.06,13.348,0.003,0.228,0.060074953
147,296.43864,-14.88996,12.98,0.05,13.289,0.003,0.309,0.050089919
148,296.21788,-14.68118,12.9,0.05,13.318,0.003,0.418,0.050089919
149,296.17063,-14.82048,12.96,0.04,13.501,0.003,0.541,0.040112342
150,296.20534,-14.93589,12.98,0.04,13.498,0.003,0.518,0.040112342
152,296.39757,-14.8723,13.03,0.03,13.252,0.003,0.222,0.030149627
153,296.25735,-14.77634,11.99,0.05,18.777,0.1,6.787,0.111803399
154,296.31736,-14.65804,13.24,0.03,13.388,0.002,0.148,0.030066593
155,296.24588,-14.90415,12.95,0.05,13.53,0.003,0.58,0.050089919
156,296.25803,-14.88435,12.94,0.04,13.479,0.003,0.539,0.040112342
157,296.11884,-14.84249,13.02,0.03,13.544,0.003,0.524,0.030149627
158,296.14856,-14.70173,12.99,0.03,14.046,0.004,1.056,0.030265492
159,296.19461,-14.78725,12.98,0.04,13.569,0.003,0.589,0.040112342
160,296.23629,-14.77728,12.99,0.03,13.568,0.003,0.578,0.030149627
161,296.21526,-14.73115,12.56,0.03,13.922,0.004,1.362,0.030265492
164,296.36525,-14.7382,11.81,0.02,18.52,0.066,6.71,0.068963759
166,296.1265,-14.81,12.53,0.05,14.329,0.005,1.799,0.050249378
167,296.13371,-14.82412,12.85,0.03,14.027,0.004,1.177,0.030265492
168,296.24279,-14.7642,12.73,0.04,14.113,0.004,1.383,0.040199502
172,296.32972,-14.92623,13.1,0.06,13.357,0.003,0.257,0.060074953
175,296.22696,-14.80182,12.48,0.04,14.258,0.004,1.778,0.040199502
176,296.40753,-14.89033,13.04,0.09,13.694,0.003,0.654,0.090049986
177,296.16735,-14.9056,13.17,0.04,13.465,0.003,0.295,0.040112342
178,296.06714,-14.76498,13.22,0.07,14.229,0.005,1.009,0.070178344
179,296.23553,-14.84629,13.15,0.06,13.946,0.004,0.796,0.060133186
180,296.35531,-14.71987,12.29,0.03,17.886,0.04,5.596,0.05
181,296.22557,-14.86952,13.12,0.05,13.496,0.003,0.376,0.050089919
183,296.31567,-14.72938,13.21,0.02,13.505,0.003,0.295,0.020223748
184,296.26161,-14.71581,13.17,0.04,13.586,0.003,0.416,0.040112342
185,296.30179,-14.78288,13.14,0.05,13.747,0.003,0.607,0.050089919
186,296.20653,-14.67403,13.23,0.04,13.565,0.003,0.335,0.040112342
188,296.2509,-14.76778,12.76,0.02,15.313,0.008,2.553,0.021540659
190,296.40985,-14.75052,13.2,0.04,13.495,0.003,0.295,0.040112342
191,296.03356,-14.70361,13.16,0.04,13.523,0.003,0.363,0.040112342
192,296.19774,-14.6597,13.28,0.02,13.57,0.003,0.29,0.020223748
193,296.24721,-14.69463,13.24,0.04,13.773,0.003,0.533,0.040112342
195,296.30012,-14.71033,13.22,0.06,13.821,0.003,0.601,0.060074953
196,296.309,-14.85947,13.36,0.03,14.252,0.004,0.892,0.030265492
197,296.40063,-14.87922,13.31,0.05,13.838,0.003,0.528,0.050089919
199,296.11576,-14.74815,13.19,0.03,13.62,0.003,0.43,0.030149627
200,296.38882,-14.79354,13.2,0.05,13.586,0.003,0.386,0.050089919
201,296.1635,-14.84707,13.2,0.05,13.583,0.003,0.383,0.050089919
202,296.13706,-14.91463,13.34,0.04,13.503,0.003,0.163,0.040112342
203,296.19679,-14.7511,11.91,0.02,18.738,0.098,6.828,0.100019998
204,296.11019,-14.88392,13.43,0.06,13.568,0.003,0.138,0.060074953
206,296.29761,-14.73668,11.68,0.04,11.908,0.001,0.228,0.040012498
207,296.18557,-14.70642,13.35,0.03,13.882,0.003,0.532,0.030149627
208,296.12048,-14.81758,13.55,0.13,13.78,0.003,0.23,0.130034611
209,296.2873,-14.77703,13.29,0.06,14.161,0.004,0.871,0.060133186
210,296.14173,-14.77325,13.08,0.03,15.021,0.007,1.941,0.030805844
211,296.2401,-14.80786,12.62,0.05,14.68,0.005,2.06,0.050249378
212,296.17146,-14.80235,13.16,0.03,14.067,0.004,0.907,0.030265492
213,296.19626,-14.7814,13.25,0.06,13.612,0.003,0.362,0.060074953
214,296.37221,-14.68648,13.52,0.26,13.53,0.003,0.01,0.260017307
215,296.30174,-14.65182,13.26,0.05,14.223,0.004,0.963,0.050159745
216,296.31953,-14.91435,13.3,0.06,13.649,0.003,0.349,0.060074953
217,296.28427,-14.92138,13.11,0.05,14.302,0.004,1.192,0.050159745
218,296.34423,-14.78912,13.23,0.06,14.146,0.004,0.916,0.060133186
219,296.09573,-14.78005,13.25,0.04,14.011,0.004,0.761,0.040199502
220,296.15201,-14.94864,13.74,0.1,13.623,0.003,-0.117,0.10004499
222,296.34431,-14.84268,13.38,0.03,13.603,0.003,0.223,0.030149627
223,296.20767,-14.7587,13.54,0.05,13.781,0.003,0.241,0.050089919
224,296.26949,-14.736,13.34,0.03,13.666,0.003,0.326,0.030149627
225,296.33233,-14.83996,13.33,0.03,13.714,0.003,0.384,0.030149627
227,296.41454,-14.87259,13.36,0.05,13.676,0.003,0.316,0.050089919
228,296.05884,-14.84961,13.13,0.05,14.149,0.005,1.019,0.050249378
229,296.43103,-14.81664,13.72,0.14,13.858,0.003,0.138,0.140032139
231,296.19331,-14.87334,13.4,0.04,13.733,0.003,0.333,0.040112342
232,296.0956,-14.69531,13.21,0.05,14.063,0.004,0.853,0.050159745
233,296.35544,-14.90595,13.24,0.08,13.636,0.003,0.396,0.08005623
235,296.11722,-14.77097,13.51,0.05,13.867,0.004,0.357,0.050159745
237,296.30445,-14.71568,13.4,0.1,13.671,0.003,0.271,0.10004499
238,296.18633,-14.84361,13.3,0.07,13.617,0.003,0.317,0.070064256
240,296.25303,-14.87006,13.32,0.04,13.957,0.004,0.637,0.040199502
241,296.25226,-14.80746,12.98,0.03,14.533,0.005,1.553,0.030413813
242,296.42704,-14.88821,13.42,0.12,13.829,0.003,0.409,0.120037494
243,296.15348,-14.74935,12.32,0.03,17.719,0.042,5.399,0.051613952
244,296.34877,-14.75449,13.44,0.04,13.99,0.004,0.55,0.040199502
245,296.4125,-14.84521,13.44,0.08,13.82,0.003,0.38,0.08005623
246,296.37153,-14.78017,13.38,0.04,14.177,0.004,0.797,0.040199502
247,296.2457,-14.70599,13.38,0.03,13.833,0.003,0.453,0.030149627
248,296.20426,-14.74264,13.1,0.04,15.048,0.007,1.948,0.040607881
249,296.33663,-14.673,12.16,0.01,12.379,0.001,0.219,0.010049876
250,296.1676,-14.68357,13.38,0.06,14.448,0.004,1.068,0.060133186
251,296.31726,-14.77645,13.39,0.03,14.135,0.004,0.745,0.030265492
254,296.13894,-14.95596,13.39,0.06,13.968,0.004,0.578,0.060133186
255,296.32013,-14.82705,13.37,0.05,14.297,0.004,0.927,0.050159745
256,296.07998,-14.67209,13.38,0.04,14.206,0.004,0.826,0.040199502
257,296.21488,-14.72236,13.02,0.05,14.406,0.004,1.386,0.050159745
258,296.18769,-14.85518,13.3,0.04,14.372,0.005,1.072,0.040311289
259,296.401,-14.75546,13.45,0.04,13.802,0.003,0.352,0.040112342
260,296.09264,-14.72852,13.53,0.06,14.198,0.004,0.668,0.060133186
261,296.24239,-14.749,13.1,0.04,14.502,0.005,1.402,0.040311289
262,296.25351,-14.76931,12.69,0.03,17.572,0.037,4.882,0.047634021
263,296.19153,-14.89907,13.48,0.07,13.962,0.004,0.482,0.070114193
265,296.10025,-14.82748,13.49,0.03,13.879,0.004,0.389,0.030265492
266,296.12848,-14.71323,13.41,0.04,14.06,0.004,0.65,0.040199502
267,296.24315,-14.75707,13.56,0.05,13.94,0.004,0.38,0.050159745
269,296.31622,-14.73153,13.4,0.04,13.745,0.003,0.345,0.040112342
270,296.16417,-14.701,12.38,0.02,18.739,0.093,6.359,0.095126232
271,296.27038,-14.77835,13.53,0.03,13.812,0.003,0.282,0.030149627
273,296.1708,-14.72217,13.53,0.04,13.801,0.003,0.271,0.040112342
275,296.13597,-14.94001,13.46,0.04,13.988,0.004,0.528,0.040199502
277,296.17905,-14.75675,13.58,0.05,13.854,0.004,0.274,0.050159745
278,296.34134,-14.74785,13.44,0.03,13.845,0.003,0.405,0.030149627
280,296.23244,-14.75838,13.3,0.03,14.633,0.005,1.333,0.030413813
281,296.23075,-14.73873,13.43,0.05,14.065,0.004,0.635,0.050159745
283,296.214,-14.91497,13.59,0.04,13.752,0.003,0.162,0.040112342
285,296.33274,-14.63516,13.48,0.04,13.904,0.003,0.424,0.040112342
286,296.27052,-14.73476,12.67,0.03,17.683,0.041,5.013,0.050803543
288,296.34366,-14.89129,13.36,0.04,13.707,0.003,0.347,0.040112342
290,296.07329,-14.72656,13.49,0.12,14.07,0.004,0.58,0.120066648
292,296.2766,-14.82672,13.48,0.09,14.022,0.004,0.542,0.090088845
293,296.39367,-14.83433,13.64,0.04,14.419,0.005,0.779,0.040311289
294,296.23542,-14.90411,13.39,0.04,13.784,0.003,0.394,0.040112342
295,296.15476,-14.81254,13.1,0.09,13.662,0.003,0.562,0.090049986
296,296.28904,-14.77434,13.56,0.04,14.038,0.004,0.478,0.040199502
297,296.18016,-14.83968,13.48,0.04,13.951,0.004,0.471,0.040199502
298,296.03842,-14.67612,13.18,0.07,13.439,0.003,0.259,0.070064256
299,296.26108,-14.73758,12.74,0.03,17.45,0.034,4.71,0.045343136
300,296.13803,-14.91596,13.58,0.05,13.911,0.004,0.331,0.050159745
301,296.17886,-14.78595,13.66,0.03,13.834,0.004,0.174,0.030265492
303,296.2921,-14.66876,13.55,0.04,14.334,0.004,0.784,0.040199502
304,296.15225,-14.71613,13.65,0.02,14.003,0.004,0.353,0.020396078
305,296.12903,-14.9471,13.47,0.06,13.866,0.004,0.396,0.060133186
306,296.31017,-14.79079,13.57,0.05,13.924,0.004,0.354,0.050159745
309,296.38257,-14.899,13.4,0.05,14.082,0.004,0.682,0.050159745
310,296.06265,-14.91868,13.68,0.06,14.024,0.004,0.344,0.060133186
311,296.10497,-14.82295,13.52,0.05,14.406,0.005,0.886,0.050249378
312,296.41486,-14.91283,13.76,0.1,14.236,0.004,0.476,0.100079968
313,296.25864,-14.73678,12.06,0.04,17.718,0.042,5.658,0.058
316,296.22874,-14.79328,12.66,0.04,18.5,0.081,5.84,0.090338253
317,296.20195,-14.65092,13.59,0.05,14.229,0.004,0.639,0.050159745
318,296.19395,-14.80631,13.5,0.08,13.952,0.004,0.452,0.080099938
319,296.1512,-14.90698,12.53,0.04,19.145,0.138,6.615,0.1436802
320,296.19311,-14.77098,13.5,0.05,14.511,0.005,1.011,0.050249378
321,296.26106,-14.81191,13.85,0.04,13.977,0.004,0.127,0.040199502
322,296.22485,-14.74019,13.38,0.03,14.525,0.005,1.145,0.030413813
323,296.24518,-14.84766,12.35,0.04,18.731,0.098,6.381,0.105848949
326,296.23291,-14.72954,13.51,0.04,14.018,0.004,0.508,0.040199502
327,296.27563,-14.74918,12.75,0.02,19.367,0.164,6.617,0.165215011
329,296.13877,-14.79593,13.64,0.03,14.63,0.005,0.99,0.030413813
330,296.22454,-14.7907,13.62,0.04,14.121,0.004,0.501,0.040199502
332,296.29505,-14.87066,13.73,0.04,14.029,0.004,0.299,0.040199502
333,296.34665,-14.71721,13.91,0.13,13.917,0.003,0.007,0.130034611
334,296.24322,-14.89375,13.63,0.05,14.484,0.005,0.854,0.050249378
335,296.29248,-14.73493,13.78,0.04,13.968,0.004,0.188,0.040199502
336,296.0913,-14.91853,13.6,0.03,14.561,0.006,0.961,0.030594117
337,296.28032,-14.78206,13.66,0.04,14.084,0.004,0.424,0.040199502
338,296.1688,-14.80104,13.62,0.05,14.757,0.006,1.137,0.050358713
339,296.23638,-14.74041,13.63,0.1,14.667,0.005,1.037,0.100124922
340,296.23266,-14.81688,13.68,0.06,14.184,0.004,0.504,0.060133186
341,296.35939,-14.73603,13.64,0.03,13.99,0.004,0.35,0.030265492
342,296.28421,-14.81188,13.07,0.02,16.919,0.022,3.849,0.029732137
343,296.24127,-14.80232,13.73,0.08,13.918,0.004,0.188,0.080099938
345,296.41378,-14.90101,13.66,0.08,14.125,0.004,0.465,0.080099938
346,296.26704,-14.76307,13.19,0.04,14.804,0.006,1.614,0.040447497
348,296.18379,-14.68244,12.39,0.02,17.629,0.037,5.239,0.042059482
350,296.24753,-14.82685,13.05,0.05,17.756,0.043,4.706,0.065946948
351,296.24298,-14.83828,12.61,0.04,17.831,0.047,5.221,0.061717096
352,296.24255,-14.85745,13.75,0.03,13.889,0.004,0.139,0.030265492
353,296.06026,-14.70829,13.56,0.05,14.409,0.005,0.849,0.050249378
354,296.15736,-14.87162,13.71,0.03,14.256,0.004,0.546,0.030265492
355,296.29008,-14.63943,13.77,0.05,14.133,0.004,0.363,0.050159745
357,296.22206,-14.83405,13.48,0.03,14.593,0.005,1.113,0.030413813
358,296.38925,-14.82578,13.82,0.03,14.736,0.005,0.916,0.030413813
359,296.33015,-14.7458,13.67,0.03,14.202,0.004,0.532,0.030265492
360,296.37727,-14.72669,13.61,0.09,13.885,0.004,0.275,0.090088845
361,296.09812,-14.78564,12.68,0.04,19.207,0.145,6.527,0.15041609
363,296.42593,-14.82409,13.63,0.03,13.939,0.004,0.309,0.030265492
364,296.2094,-14.82732,13.72,0.04,14.047,0.004,0.327,0.040199502
365,296.2992,-14.69142,13.36,0.02,17.723,0.04,4.363,0.04472136
366,296.13975,-14.66904,13.75,0.04,14.171,0.004,0.421,0.040199502
367,296.38771,-14.87301,12.78,0.05,17.766,0.036,4.986,0.061611687
368,296.17956,-14.77517,13.04,0.06,18.045,0.055,5.005,0.081394103
369,296.14209,-14.76548,13.59,0.05,14.309,0.004,0.719,0.050159745
371,296.15816,-14.88334,13.76,0.03,14.097,0.004,0.337,0.030265492
372,296.07223,-14.96256,13.74,0.09,14.315,0.004,0.575,0.090088845
373,296.35428,-14.82683,13.75,0.06,14.311,0.004,0.561,0.060133186
374,296.22747,-14.71498,13.95,0.05,14.441,0.004,0.491,0.050159745
376,296.22633,-14.71393,13.77,0.03,14.197,0.004,0.427,0.030265492
378,296.17967,-14.9527,13.75,0.05,14.003,0.004,0.253,0.050159745
379,296.18981,-14.72839,13.72,0.03,14.743,0.006,1.023,0.030594117
380,296.24866,-14.69127,13.79,0.03,14.18,0.004,0.39,0.030265492
382,296.40709,-14.77675,13.72,0.05,14.235,0.004,0.515,0.050159745
383,296.35957,-14.78996,13.84,0.06,14.154,0.004,0.314,0.060133186
384,296.42079,-14.89254,13.95,0.21,14.186,0.004,0.236,0.210038092
385,296.17297,-14.7113,13.17,0.05,18.417,0.071,5.247,0.086838931
386,296.28553,-14.66192,13.86,0.04,14.126,0.004,0.266,0.040199502
388,296.37065,-14.77127,13.83,0.06,14.279,0.004,0.449,0.060133186
391,296.34287,-14.72476,13.89,0.06,13.988,0.004,0.098,0.060133186
392,296.25137,-14.68477,13.57,0.03,14.758,0.005,1.188,0.030413813
393,296.36432,-14.80785,13.85,0.06,14.291,0.004,0.441,0.060133186
394,296.14317,-14.89021,13.87,0.06,14.318,0.005,0.448,0.060207973
395,296.1474,-14.77629,13.74,0.05,14.121,0.004,0.381,0.050159745
396,296.06072,-14.87745,13.97,0.06,14.182,0.005,0.212,0.060207973
397,296.3756,-14.75896,13.84,0.04,14.278,0.004,0.438,0.040199502
399,296.0803,-14.91414,13.03,0.11,18.568,0.096,5.538,0.146
400,296.33217,-14.63722,13.8,0.06,14.572,0.004,0.772,0.060133186
401,296.18805,-14.87223,13.21,0.04,16.39,0.016,3.18,0.043081318
402,296.29929,-14.83644,13.37,0.04,16.762,0.02,3.392,0.04472136
405,296.23917,-14.90233,13.68,0.05,14.826,0.006,1.146,0.050358713
406,296.20155,-14.81271,13,0.04,18.303,0.069,5.303,0.079755878
407,296.21728,-14.77642,13.24,0.04,17.87,0.048,4.63,0.062481997
409,296.09261,-14.89636,13.94,0.04,14.381,0.005,0.441,0.040311289
410,296.12019,-14.69049,13.87,0.09,14.467,0.004,0.597,0.090088845
411,296.30182,-14.90358,12.91,0.05,18.394,0.072,5.484,0.087658428
412,296.17147,-14.8003,13.82,0.05,14.228,0.004,0.408,0.050159745
413,296.25971,-14.87689,13.83,0.06,14.742,0.006,0.912,0.060299254
414,296.31328,-14.86183,13.96,0.03,14.297,0.004,0.337,0.030265492
415,296.33235,-14.82031,13.91,0.04,14.262,0.004,0.352,0.040199502
416,296.37409,-14.87158,13.94,0.06,14.535,0.005,0.595,0.060207973
417,296.10117,-14.92425,13.12,0.05,18.414,0.075,5.294,0.090138782
418,296.21151,-14.69475,13.87,0.04,14.415,0.004,0.545,0.040199502
420,296.13992,-14.95619,13.84,0.04,14.893,0.006,1.053,0.040447497
421,296.15848,-14.83374,13.28,0.03,17.91,0.049,4.63,0.05745433
422,296.16824,-14.94555,13.68,0.04,14.086,0.004,0.406,0.040199502
423,296.35621,-14.71428,14.01,0.04,14.319,0.004,0.309,0.040199502
424,296.42556,-14.9086,13.62,0.08,14.931,0.006,1.311,0.080224684
426,296.26722,-14.7638,13.78,0.05,14.893,0.006,1.113,0.050358713
427,296.06653,-14.70909,14.13,0.14,14.314,0.004,0.184,0.140057131
428,296.10204,-14.74425,13.71,0.04,14.066,0.004,0.356,0.040199502
429,296.37957,-14.71572,13.89,0.05,14.379,0.004,0.489,0.050159745
430,296.22277,-14.7647,13.5,0.06,14.893,0.006,1.393,0.060299254
431,296.13868,-14.74344,13.99,0.04,14.412,0.005,0.422,0.040311289
432,296.20045,-14.75512,13.78,0.04,14.84,0.006,1.06,0.040447497
433,296.06528,-14.75053,14,0.04,14.316,0.005,0.316,0.040311289
435,296.29714,-14.80258,13.59,0.08,16.821,0.021,3.231,0.082710338
437,296.18201,-14.78494,13.41,0.03,18.635,0.09,5.225,0.09486833
438,296.07212,-14.93931,13.83,0.12,14.603,0.005,0.773,0.120104121
439,296.23456,-14.77322,13.32,0.02,17.275,0.03,3.955,0.036055513
440,296.27399,-14.91612,13.72,0.05,14.925,0.006,1.205,0.050358713
441,296.35902,-14.76511,13.97,0.04,14.405,0.005,0.435,0.040311289
