ID,RA,Dec,k80mag,e80mag,Jmag,eJmag,jMINUSeightzero,ERRORjMINUSeightzero
14680,296.15661,-14.83725,15.89,0.14,18.895,0.112,3.005,0.179287479
14687,296.1022,-14.90155,16.48,0.15,18.663,0.092,2.183,0.175965906
14689,296.14375,-14.94452,16.02,0.18,18.37,0.071,2.35,0.19349677
14696,296.37891,-14.81609,16.58,0.27,18.903,0.09,2.323,0.284604989
14703,296.24819,-14.90559,16.04,0.16,18.81,0.104,2.77,0.190829767
14708,296.2536,-14.93003,15.82,0.2,18.818,0.104,2.998,0.225424045
14709,296.24443,-14.69864,16.6,0.19,18.465,0.074,1.865,0.203901937
14711,296.26265,-14.85997,16.98,0.26,18.986,0.119,2.006,0.285938805
14712,296.22796,-14.9003,15.68,0.06,18.595,0.087,2.915,0.10568349
14714,296.13345,-14.87501,16.63,0.2,18.414,0.075,1.784,0.213600094
14716,296.37645,-14.68892,15.47,0.15,18.767,0.098,3.297,0.179175891
14718,296.28314,-14.72131,15.23,0.08,18.999,0.115,3.769,0.140089257
14728,296.2301,-14.78056,16.19,0.18,18.57,0.086,2.38,0.199489348
14729,296.08967,-14.78522,16.12,0.12,18.294,0.077,2.174,0.142579802
14731,296.1346,-14.81344,16.39,0.15,19.076,0.13,2.686,0.198494332
14735,296.27861,-14.91699,16.18,0.17,19.095,0.13,2.915,0.214009346
14742,296.17664,-14.85425,16.04,0.09,18.385,0.073,2.345,0.115883562
14746,296.25259,-14.79022,14.98,0.06,18.995,0.121,4.015,0.135059246
14748,296.15162,-14.87418,16.09,0.12,18.672,0.093,2.582,0.151818971
14752,296.2972,-14.70142,16.39,0.22,19.205,0.137,2.815,0.259169828
14763,296.13972,-14.8327,16.14,0.11,19.415,0.173,3.275,0.205009756
14770,296.23829,-14.86617,16.73,0.28,18.972,0.119,2.242,0.304238393
14771,296.11,-14.84916,16.81,0.26,18.898,0.113,2.088,0.283494268
14786,296.12213,-14.70594,15.99,0.1,19.207,0.138,3.217,0.170423003
14788,296.39533,-14.81863,16.52,0.3,18.518,0.066,1.998,0.307174218
14791,296.08577,-14.94352,16.01,0.24,18.787,0.098,2.777,0.259237343
14792,296.23297,-14.67088,16.4,0.16,18.962,0.112,2.562,0.19530489
