ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk,ID,CMD1region
3505,296.17857,-14.7799,17.11,0.026,16.249,0.023,0.861,0.03471311,6205,2
3506,296.17703,-14.85564,16.68,0.019,16.358,0.025,0.322,0.031400637,6214,2
3509,296.34278,-14.83922,17.418,0.028,16.403,0.024,1.015,0.036878178,6218,2
3510,296.15019,-14.71579,17.22,0.027,16.294,0.021,0.926,0.034205263,6219,2
3511,296.22498,-14.84514,17.454,0.035,16.432,0.026,1.022,0.043600459,6226,2
3514,296.24804,-14.91665,16.724,0.02,15.856,0.017,0.868,0.026248809,6229,2
3515,296.38049,-14.86139,16.49,0.015,16.036,0.018,0.454,0.023430749,6252,2
3516,296.28415,-14.79293,17.867,0.047,16.591,0.03,1.276,0.055758407,6253,2
3517,296.14739,-14.84448,17.365,0.032,16.438,0.026,0.927,0.041231056,6259,2
3518,296.14572,-14.70691,16.869,0.02,16.249,0.02,0.62,0.028284271,6264,2
3520,296.09323,-14.80809,17.323,0.031,16.132,0.021,1.191,0.03744329,6269,2
3521,296.1298,-14.85408,16.982,0.024,16.252,0.023,0.73,0.03324154,6276,2
3522,296.18323,-14.90251,16.921,0.023,16.153,0.021,0.768,0.031144823,6278,2
3523,296.11951,-14.7254,16.518,0.017,16.108,0.02,0.41,0.026248809,6283,2
3524,296.09191,-14.89497,17.06,0.025,16.236,0.022,0.824,0.033301652,6285,2
3526,296.30995,-14.79896,17.253,0.029,16.348,0.027,0.905,0.039623226,6286,2
3529,296.25557,-14.75264,17.057,0.025,16.326,0.024,0.731,0.034655447,6287,2
3530,296.20296,-14.76569,17.495,0.035,15.933,0.018,1.562,0.039357337,6291,2
3531,296.37675,-14.79721,17.071,0.022,16.301,0.022,0.77,0.031112698,6294,2
3533,296.22951,-14.88961,16.829,0.021,16.25,0.022,0.579,0.030413813,6295,2
3534,296.26805,-14.87381,17.149,0.027,16.358,0.024,0.791,0.036124784,6304,2
3541,296.35439,-14.68098,16.594,0.017,16.182,0.019,0.412,0.025495098,6308,2
3542,296.18959,-14.86223,17.313,0.031,16.409,0.026,0.904,0.040459857,6310,2
3543,296.04015,-14.75238,16.611,0.02,16.271,0.023,0.34,0.030479501,6322,2
3544,296.40007,-14.75835,17.275,0.025,16.431,0.025,0.844,0.035355339,6323,2
3545,296.16468,-14.79549,16.781,0.021,16.085,0.02,0.696,0.029,6325,2
3546,296.15283,-14.67007,16.968,0.022,16.204,0.019,0.764,0.029068884,6330,2
3547,296.32098,-14.82606,16.698,0.017,16.319,0.023,0.379,0.028600699,6331,2
3549,296.27614,-14.73747,17.378,0.032,16.362,0.027,1.016,0.041868843,6343,2
3550,296.24311,-14.83133,17.047,0.025,16.21,0.022,0.837,0.033301652,6345,2
3551,296.10428,-14.95152,16.574,0.018,16.058,0.021,0.516,0.027658633,6347,2
3553,296.10564,-14.91853,16.402,0.016,16.114,0.02,0.288,0.025612497,6348,2
3554,296.30914,-14.77494,17.173,0.027,16.482,0.03,0.691,0.040360872,6358,2
3555,296.24517,-14.81752,17.037,0.025,16.184,0.021,0.853,0.032649655,6359,2
3556,296.22094,-14.79139,17.022,0.025,16.249,0.023,0.773,0.033970576,6363,2
3557,296.2217,-14.83946,17.929,0.051,16.501,0.028,1.428,0.058180753,6364,2
3558,296.15841,-14.79742,17.227,0.029,16.212,0.022,1.015,0.036400549,6372,2
3559,296.20512,-14.73186,16.629,0.018,15.7,0.015,0.929,0.023430749,6375,2
3560,296.20874,-14.73936,16.978,0.024,16.064,0.019,0.914,0.030610456,6377,2
3561,296.0831,-14.84028,16.641,0.021,16.179,0.021,0.462,0.029698485,6384,2
3562,296.32055,-14.81026,16.525,0.015,16.147,0.02,0.378,0.025,6386,2
3563,296.21309,-14.78353,17.373,0.032,16.364,0.025,1.009,0.040607881,6387,2
3564,296.36285,-14.76148,17.355,0.027,16.497,0.026,0.858,0.03748333,6390,2
3565,296.2672,-14.69637,17.231,0.027,16.376,0.022,0.855,0.03482815,6393,2
3566,296.1191,-14.79396,17.187,0.028,16.393,0.026,0.794,0.038209946,6402,2
3568,296.22268,-14.64627,17.086,0.024,16.234,0.02,0.852,0.031240999,6408,2
3569,296.20879,-14.85432,17.221,0.029,16.134,0.021,1.087,0.035805028,6410,2
3570,296.22804,-14.82843,17.54,0.037,16.47,0.027,1.07,0.04580393,6422,2
3571,296.10427,-14.73529,17.261,0.029,16.162,0.021,1.099,0.035805028,6427,2
3572,296.31493,-14.90416,17.355,0.031,16.433,0.026,0.922,0.040459857,6428,2
3573,296.05365,-14.72656,16.83,0.024,16.039,0.021,0.791,0.031890437,6436,2
3576,296.3657,-14.7546,17.003,0.021,16.174,0.02,0.829,0.029,6439,2
3577,296.40564,-14.758,17.385,0.027,16.303,0.022,1.082,0.03482815,6446,2
3580,296.07356,-14.8165,17.144,0.03,16.04,0.02,1.104,0.036055513,6450,2
3581,296.33828,-14.9331,16.205,0.012,15.767,0.015,0.438,0.019209373,6466,2
3582,296.39547,-14.83442,17.394,0.027,16.194,0.02,1.2,0.033600595,6473,2
3584,296.142,-14.66509,17.067,0.024,16.217,0.02,0.85,0.031240999,6478,2
3585,296.36076,-14.68653,16.707,0.018,16.29,0.02,0.417,0.026907248,6481,2
3586,296.37564,-14.64916,16.793,0.019,16.107,0.018,0.686,0.026172505,6483,2
3587,296.2481,-14.87794,16.96,0.023,16.289,0.023,0.671,0.032526912,6486,2
3589,296.2473,-14.71576,16.9,0.021,16.226,0.02,0.674,0.029,6488,2
3591,296.29402,-14.64244,16.534,0.016,16.15,0.019,0.384,0.024839485,6494,2
3595,296.21413,-14.7877,17.367,0.032,16.446,0.027,0.921,0.041868843,6498,2
3596,296.21651,-14.66501,17.434,0.032,16.591,0.026,0.843,0.041231056,6499,2
3597,296.22613,-14.77627,17.338,0.032,16.341,0.024,0.997,0.04,6504,2
3598,296.04106,-14.73343,16.757,0.023,16.099,0.021,0.658,0.031144823,6511,2
3599,296.03131,-14.70665,16.492,0.017,16.074,0.018,0.418,0.024758837,6513,2
3600,296.30981,-14.6715,16.616,0.017,16.136,0.018,0.48,0.024758837,6520,2
3601,296.15967,-14.92523,17.261,0.029,16.448,0.026,0.813,0.038948684,6526,2
3603,296.28498,-14.70088,16.656,0.017,16.206,0.019,0.45,0.025495098,6533,2
3604,296.132,-14.87971,16.698,0.019,16.168,0.021,0.53,0.028319605,6537,2
3605,296.24943,-14.79197,17.327,0.031,16.337,0.024,0.99,0.039204592,6540,2
3606,296.07337,-14.82848,16.62,0.021,16.209,0.022,0.411,0.030413813,6541,2
3607,296.25477,-14.77995,17.206,0.028,16.273,0.023,0.933,0.036235342,6547,2
3608,296.17371,-14.83833,16.644,0.019,16.189,0.022,0.455,0.029068884,6551,2
3610,296.18569,-14.6873,16.995,0.022,16.351,0.022,0.644,0.031112698,6552,2
3613,296.31548,-14.66301,17.486,0.033,16.571,0.026,0.915,0.042011903,6557,2
3615,296.33795,-14.63738,17.005,0.023,16.23,0.019,0.775,0.029832868,6565,2
3616,296.11725,-14.80781,17.324,0.031,16.599,0.03,0.725,0.043139309,6568,2
3617,296.12557,-14.87327,14.691,0.006,14.333,0.006,0.358,0.008485281,6571,2
3618,296.19765,-14.8993,17.107,0.026,16.098,0.02,1.009,0.032802439,6574,2
3619,296.31271,-14.6542,16.576,0.016,16.189,0.019,0.387,0.024839485,6576,2
3620,296.35483,-14.89424,17.01,0.021,16.238,0.021,0.772,0.029698485,6582,2
3621,296.1739,-14.92962,17.362,0.032,16.301,0.024,1.061,0.04,6583,2
3622,296.26266,-14.83748,17.44,0.034,16.297,0.023,1.143,0.041048752,6587,2
3623,296.18308,-14.82892,17.601,0.039,16.577,0.03,1.024,0.049203658,6591,2
3624,296.21184,-14.77081,16.62,0.018,16.291,0.023,0.329,0.029206164,6594,2
3625,296.25169,-14.77651,17.517,0.036,16.546,0.029,0.971,0.046227697,6599,2
3626,296.13577,-14.73894,17.497,0.035,16.452,0.027,1.045,0.044204072,6600,2
3628,296.36977,-14.63358,16.82,0.02,16.126,0.018,0.694,0.026907248,6604,2
3629,296.24398,-14.79831,16.885,0.022,16.188,0.021,0.697,0.030413813,6605,2
3630,296.23334,-14.77602,17.209,0.028,16.124,0.02,1.085,0.034409301,6607,2
3631,296.0867,-14.82329,16.502,0.019,15.984,0.019,0.518,0.026870058,6609,2
3632,296.22333,-14.79894,17.436,0.034,16.353,0.025,1.083,0.042201896,6610,2
3634,296.1505,-14.84416,16.598,0.018,16.209,0.022,0.389,0.028425341,6614,2
3635,296.29705,-14.72772,16.692,0.019,16.298,0.028,0.394,0.033837849,6624,2
3636,296.24843,-14.78617,16.471,0.016,16.106,0.02,0.365,0.025612497,6627,2
3638,296.22614,-14.71252,17.783,0.042,16.48,0.024,1.303,0.048373546,6628,2
3639,296.18267,-14.86585,17.396,0.033,16.332,0.024,1.064,0.040804412,6633,2
3641,296.12268,-14.75955,17.369,0.032,16.531,0.029,0.838,0.043185646,6635,2
3643,296.30791,-14.84977,17.418,0.033,16.413,0.026,1.005,0.042011903,6640,2
3644,296.13066,-14.76558,16.534,0.017,16.161,0.021,0.373,0.027018512,6645,2
3645,296.16045,-14.78416,17.327,0.031,16.184,0.021,1.143,0.03744329,6649,2
3646,296.23965,-14.76584,17.25,0.029,16.52,0.028,0.73,0.040311289,6650,2
3647,296.32868,-14.73848,16.68,0.017,16.319,0.023,0.361,0.028600699,6658,2
3648,296.20125,-14.94734,16.672,0.019,16.065,0.021,0.607,0.028319605,6659,2
3649,296.10986,-14.72491,17.377,0.03,16.334,0.022,1.043,0.03720215,6665,2
3651,296.24761,-14.84679,17.148,0.027,16.327,0.024,0.821,0.036124784,6666,2
3653,296.34334,-14.89353,16.842,0.019,16.319,0.022,0.523,0.029068884,6673,2
3655,296.25297,-14.69066,17.276,0.028,16.428,0.023,0.848,0.036235342,6679,2
3656,296.36304,-14.87657,17.001,0.021,16.179,0.02,0.822,0.029,6681,2
3657,296.16186,-14.85839,17.426,0.034,16.358,0.025,1.068,0.042201896,6682,2
3658,296.36323,-14.91261,16.706,0.017,16.198,0.02,0.508,0.026248809,6688,2
3660,296.32276,-14.92158,16.93,0.02,16.102,0.019,0.828,0.027586228,6689,2
3661,296.26735,-14.91812,16.939,0.023,16.181,0.021,0.758,0.031144823,6699,2
3665,296.13139,-14.70107,17.463,0.032,16.592,0.026,0.871,0.041231056,6702,2
3667,296.14639,-14.73411,17.544,0.036,16.559,0.029,0.985,0.046227697,6711,2
3668,296.14106,-14.73386,16.599,0.018,16.314,0.024,0.285,0.03,6712,2
3669,296.21532,-14.85103,17.008,0.024,16.08,0.02,0.928,0.031240999,6715,2
3670,296.24992,-14.74356,17.201,0.028,16.224,0.023,0.977,0.036235342,6717,2
3672,296.32087,-14.66152,16.596,0.017,16.235,0.02,0.361,0.026248809,6718,2
3674,296.20087,-14.72406,16.912,0.021,16.224,0.02,0.688,0.029,6723,2
3676,296.28611,-14.92115,17.386,0.032,16.309,0.024,1.077,0.04,6725,2
3677,296.21548,-14.83459,17.326,0.031,16.257,0.023,1.069,0.038600518,6726,2
3678,296.23258,-14.74911,17.379,0.032,16.381,0.025,0.998,0.040607881,6731,2
3679,296.11212,-14.75918,17.095,0.026,16.328,0.024,0.767,0.035383612,6739,2
3680,296.34098,-14.65422,17.173,0.026,16.362,0.021,0.811,0.03342155,6743,2
3681,296.28482,-14.78666,17.355,0.031,16.457,0.027,0.898,0.04110961,6744,2
3682,296.15853,-14.80779,17.63,0.039,16.423,0.026,1.207,0.046872167,6745,2
3684,296.07262,-14.91506,16.844,0.024,16.123,0.02,0.721,0.031240999,6750,2
3685,296.293,-14.86285,17.431,0.033,16.199,0.022,1.232,0.039661064,6751,2
3686,296.23531,-14.75164,17.204,0.028,16.216,0.022,0.988,0.035608988,6754,2
3687,296.11748,-14.81466,17.564,0.037,16.436,0.026,1.128,0.045221676,6756,2
3689,296.11106,-14.94397,16.9,0.022,16.426,0.028,0.474,0.035608988,6765,2
3690,296.0932,-14.88725,17.094,0.026,16.34,0.024,0.754,0.035383612,6772,2
3691,296.11149,-14.92954,17.496,0.035,16.715,0.034,0.781,0.048795492,6776,2
3692,296.22189,-14.77793,16.334,0.015,16.317,0.024,0.017,0.028301943,6780,2
3693,296.16201,-14.87876,16.683,0.019,16.175,0.021,0.508,0.028319605,6783,2
3694,296.27098,-14.78687,17.372,0.032,16.462,0.027,0.91,0.041868843,6789,2
3695,296.25454,-14.93775,16.737,0.02,16.223,0.022,0.514,0.029732137,6799,2
3700,296.23721,-14.73918,18.568,0.085,16.855,0.038,1.713,0.093107465,6800,2
3701,296.30168,-14.79377,17.054,0.025,16.328,0.027,0.726,0.036796739,6801,2
3702,296.18545,-14.82982,17.528,0.036,16.418,0.026,1.11,0.044407207,6809,2
3703,296.04157,-14.79085,16.839,0.024,16.02,0.019,0.819,0.030610456,6814,2
3704,296.10409,-14.70131,16.617,0.017,16.202,0.019,0.415,0.025495098,6816,2
3706,296.24363,-14.79632,16.887,0.022,16.152,0.021,0.735,0.030413813,6821,2
3708,296.43444,-14.83468,17.483,0.029,16.324,0.023,1.159,0.037013511,6826,2
3709,296.2348,-14.75042,17.226,0.029,16.239,0.023,0.987,0.037013511,6828,2
3711,296.39563,-14.62742,17.477,0.033,16.611,0.026,0.866,0.042011903,6844,2
3712,296.27344,-14.80854,17.578,0.037,16.42,0.026,1.158,0.045221676,6846,2
3713,296.25388,-14.76769,17.03,0.024,16.253,0.023,0.777,0.03324154,6848,2
3714,296.21508,-14.82497,16.96,0.024,16.247,0.023,0.713,0.03324154,6854,2
3715,296.27983,-14.88271,17.362,0.031,16.427,0.026,0.935,0.040459857,6855,2
3716,296.20117,-14.67765,17.176,0.026,16.494,0.024,0.682,0.035383612,6858,2
3717,296.18739,-14.91468,17.301,0.03,16.291,0.023,1.01,0.037802116,6862,2
3718,296.22448,-14.90081,16.743,0.02,16.338,0.024,0.405,0.031240999,6863,2
3719,296.38001,-14.81922,17.404,0.028,16.421,0.024,0.983,0.036878178,6868,2
3721,296.43302,-14.8183,16.567,0.015,15.83,0.015,0.737,0.021213203,6871,2
3723,296.22792,-14.76913,17.226,0.029,16.195,0.022,1.031,0.036400549,6876,2
3724,296.21748,-14.73901,17.408,0.033,16.274,0.023,1.134,0.040224371,6877,2
3725,296.15601,-14.81161,16.713,0.02,16.45,0.027,0.263,0.033600595,6883,2
3727,296.14718,-14.89039,16.903,0.022,16.227,0.022,0.676,0.031112698,6888,2
3729,296.32322,-14.77824,16.972,0.02,16.278,0.022,0.694,0.029732137,6891,2
3730,296.22434,-14.69049,17.241,0.027,16.226,0.02,1.015,0.033600595,6892,2
3731,296.2157,-14.77652,18.142,0.06,16.783,0.035,1.359,0.06946222,6895,2
3733,296.17833,-14.84342,17.358,0.032,16.404,0.026,0.954,0.041231056,6896,2
3734,296.29725,-14.78323,17.189,0.028,16.316,0.025,0.873,0.037536649,6898,2
3735,296.1896,-14.7997,17.369,0.032,16.274,0.023,1.095,0.039408121,6899,2
3737,296.07271,-14.85657,17.547,0.042,16.473,0.026,1.074,0.049396356,6901,2
3738,296.4127,-14.75641,17.442,0.028,16.714,0.031,0.728,0.041773197,6904,2
3739,296.16801,-14.84227,17.722,0.042,16.601,0.03,1.121,0.051613952,6908,2
3740,296.23241,-14.79036,17.016,0.024,16.268,0.023,0.748,0.03324154,6909,2
3742,296.34353,-14.92179,16.595,0.016,16.295,0.022,0.3,0.027202941,6919,2
3746,296.18068,-14.86724,17.334,0.031,16.591,0.03,0.743,0.043139309,6922,2
3747,296.21218,-14.80301,17.293,0.031,16.406,0.026,0.887,0.040459857,6924,2
3748,296.13265,-14.76825,18.151,0.06,16.576,0.029,1.575,0.066640828,6927,2
3750,296.20918,-14.70182,17.375,0.03,16.199,0.019,1.176,0.035510562,6930,2
3751,296.28959,-14.66411,16.599,0.017,16.266,0.02,0.333,0.026248809,6931,2
3752,296.25358,-14.81972,17.297,0.03,16.461,0.027,0.836,0.040360872,6934,2
3753,296.17688,-14.79519,16.728,0.02,16.212,0.022,0.516,0.029732137,6938,2
3754,296.28298,-14.82037,16.905,0.022,16.391,0.025,0.514,0.033301652,6940,2
3755,296.08486,-14.93108,17.179,0.031,16.32,0.023,0.859,0.038600518,6941,2
3760,296.30019,-14.81293,17.3,0.03,16.662,0.032,0.638,0.043863424,6944,2
3761,296.22372,-14.82887,17.202,0.028,16.29,0.024,0.912,0.036878178,6951,2
3764,296.07639,-14.95403,17.107,0.025,16.454,0.039,0.653,0.046324939,6952,2
3766,296.29167,-14.93724,17.436,0.033,16.479,0.028,0.957,0.04327817,6956,2
3767,296.19598,-14.83562,17.453,0.034,16.377,0.025,1.076,0.042201896,6957,2
3768,296.1197,-14.80548,17.076,0.026,16.426,0.026,0.65,0.036769553,6958,2
3769,296.24211,-14.75359,17.428,0.033,16.453,0.027,0.975,0.042638011,6964,2
3771,296.21169,-14.85706,17.196,0.028,16.347,0.024,0.849,0.036878178,6965,2
3772,296.38142,-14.72788,17.516,0.03,16.418,0.025,1.098,0.039051248,6966,2
3773,296.25169,-14.79448,17.798,0.045,16.589,0.03,1.209,0.054083269,6970,2
3774,296.394,-14.72842,16.871,0.019,16.303,0.022,0.568,0.029068884,6973,2
3776,296.02927,-14.68646,19.31,0.164,18.045,0.089,1.265,0.18659314,6978,2
3777,296.27553,-14.9108,17.047,0.025,16.309,0.024,0.738,0.034655447,6982,2
3778,296.23373,-14.93013,17.268,0.029,16.487,0.027,0.781,0.039623226,6986,2
3779,296.4066,-14.82321,17.196,0.024,16.415,0.024,0.781,0.033941125,6989,2
3780,296.11295,-14.85258,16.962,0.024,16.228,0.022,0.734,0.032557641,6991,2
3781,296.26255,-14.68751,16.782,0.019,16.405,0.023,0.377,0.029832868,7000,2
3782,296.179,-14.88167,17.517,0.036,16.396,0.025,1.121,0.043829214,7003,2
3784,296.2828,-14.88013,17.101,0.026,16.372,0.025,0.729,0.036069378,7021,2
3785,296.26494,-14.80828,17.518,0.036,16.508,0.028,1.01,0.045607017,7027,2
3786,296.4273,-14.85887,17.41,0.028,16.575,0.028,0.835,0.03959798,7032,2
3787,296.21024,-14.79322,17.212,0.029,16.447,0.027,0.765,0.039623226,7039,2
3788,296.33263,-14.8415,18.54,0.067,17.508,0.061,1.032,0.09060905,7051,2
3791,296.31528,-14.84249,17.352,0.031,16.291,0.024,1.061,0.039204592,7059,2
3792,296.25562,-14.79498,17.317,0.031,16.28,0.023,1.037,0.038600518,7062,2
3794,296.16875,-14.78432,17.467,0.035,16.472,0.027,0.995,0.044204072,7063,2
3795,296.32718,-14.80459,17.231,0.024,16.201,0.021,1.03,0.031890437,7065,2
3796,296.08886,-14.81911,17.206,0.032,16.383,0.027,0.823,0.041868843,7079,2
3797,296.23565,-14.68322,16.887,0.021,16.28,0.021,0.607,0.029698485,7086,2
3798,296.30306,-14.92395,17.552,0.036,16.517,0.029,1.035,0.046227697,7091,2
3799,296.37408,-14.68593,16.703,0.018,16.298,0.02,0.405,0.026907248,7096,2
3801,296.22966,-14.82247,17.644,0.04,16.609,0.03,1.035,0.05,7097,2
3802,296.3049,-14.7313,17.31,0.03,16.79,0.046,0.52,0.054918121,7099,2
3803,296.16045,-14.85114,17.335,0.031,16.372,0.025,0.963,0.039824616,7100,2
3804,296.11106,-14.69232,16.731,0.018,16.219,0.02,0.512,0.026907248,7115,2
3805,296.06728,-14.89928,16.522,0.019,16.209,0.021,0.313,0.028319605,7121,2
3806,296.09317,-14.86092,17.108,0.026,16.254,0.023,0.854,0.03471311,7122,2
3807,296.28073,-14.7986,17.804,0.045,16.754,0.035,1.05,0.057008771,7138,2
3808,296.26923,-14.84352,17.876,0.047,16.597,0.03,1.279,0.055758407,7143,2
3809,296.25223,-14.81316,17.496,0.035,16.247,0.022,1.249,0.041340053,7145,2
3810,296.40463,-14.86283,16.681,0.017,16.23,0.021,0.451,0.027018512,7146,2
3811,296.37474,-14.76264,17.504,0.03,16.355,0.023,1.149,0.037802116,7154,2
3812,296.2516,-14.93109,17.573,0.037,16.477,0.027,1.096,0.04580393,7163,2
3813,296.30505,-14.9379,17.308,0.03,16.261,0.023,1.047,0.037802116,7169,2
3815,296.32859,-14.84058,18.709,0.077,17.726,0.073,0.983,0.106103723,7171,2
3816,296.31608,-14.63695,16.709,0.018,16.333,0.021,0.376,0.027658633,7176,2
3817,296.19553,-14.85638,17.284,0.03,16.445,0.027,0.839,0.040360872,7177,2
3819,296.22426,-14.79527,17.375,0.032,16.354,0.025,1.021,0.040607881,7187,2
3820,296.3953,-14.86143,16.95,0.02,16.254,0.021,0.696,0.029,7189,2
3821,296.37146,-14.82119,16.715,0.017,16.313,0.022,0.402,0.027802878,7191,2
3823,296.2312,-14.84231,16.984,0.024,16.285,0.023,0.699,0.03324154,7192,2
3824,296.27592,-14.75651,16.794,0.02,16.456,0.027,0.338,0.033600595,7195,2
3826,296.27972,-14.93083,19.117,0.133,17.321,0.055,1.796,0.143923591,7199,2
3827,296.2751,-14.76311,17.143,0.027,16.293,0.024,0.85,0.036124784,7205,2
3828,296.29946,-14.75638,17.668,0.04,16.84,0.041,0.828,0.057280014,7206,2
3830,296.07275,-14.87088,16.452,0.018,16.144,0.02,0.308,0.026907248,7213,2
3831,296.12747,-14.73369,17.563,0.037,16.415,0.026,1.148,0.045221676,7214,2
3832,296.27418,-14.80017,17.574,0.037,16.403,0.026,1.171,0.045221676,7217,2
3836,296.18044,-14.85714,17.184,0.028,16.437,0.026,0.747,0.038209946,7218,2
3838,296.2707,-14.77071,16.94,0.023,16.365,0.025,0.575,0.033970576,7220,2
3839,296.13572,-14.81966,17.243,0.029,16.02,0.019,1.223,0.034669872,7230,2
3840,296.18018,-14.77471,16.684,0.019,16.239,0.022,0.445,0.029068884,7232,2
3842,296.37062,-14.79043,16.667,0.016,16.237,0.021,0.43,0.026400758,7237,2
3843,296.41657,-14.90159,16.75,0.017,16.228,0.021,0.522,0.027018512,7238,2
3844,296.18294,-14.8417,17.344,0.031,16.297,0.023,1.047,0.038600518,7247,2
3845,296.38089,-14.79536,17.176,0.023,16.342,0.023,0.834,0.032526912,7256,2
3847,296.28494,-14.85092,17.257,0.029,16.334,0.024,0.923,0.03764306,7257,2
3848,296.3987,-14.64058,17.132,0.025,16.349,0.021,0.783,0.032649655,7277,2
3849,296.36223,-14.87945,17.037,0.021,16.215,0.021,0.822,0.029698485,7281,2
3850,296.06943,-14.86698,18.444,0.087,16.906,0.037,1.538,0.094540996,7286,2
3851,296.10828,-14.79127,16.62,0.018,16.213,0.022,0.407,0.028425341,7292,2
3852,296.3128,-14.90892,17.07,0.025,16.36,0.025,0.71,0.035355339,7296,2
3853,296.15228,-14.78488,16.712,0.02,16.422,0.026,0.29,0.032802439,7298,2
3854,296.15395,-14.85235,17.523,0.036,16.47,0.027,1.053,0.045,7306,2
3855,296.42599,-14.84063,17.342,0.026,16.499,0.026,0.843,0.036769553,7310,2
3856,296.04446,-14.68711,16.408,0.016,15.964,0.016,0.444,0.022627417,7312,2
3857,296.28906,-14.8476,18.21,0.062,16.681,0.032,1.529,0.069771054,7313,2
3858,296.06846,-14.82359,17.311,0.035,16.444,0.027,0.867,0.044204072,7319,2
3859,296.15501,-14.70443,17.617,0.037,16.46,0.024,1.157,0.044102154,7322,2
3860,296.28541,-14.86483,17.668,0.04,16.631,0.031,1.037,0.050606324,7325,2
3861,296.26328,-14.88003,16.962,0.023,16.315,0.024,0.647,0.03324154,7332,2
3862,296.3708,-14.90537,16.915,0.02,16.411,0.024,0.504,0.031240999,7339,2
3863,296.43202,-14.80682,17.009,0.021,16.252,0.021,0.757,0.029698485,7341,2
3865,296.25552,-14.76187,17.528,0.036,16.46,0.027,1.068,0.045,7351,2
3866,296.02685,-14.68667,16.589,0.018,16.171,0.019,0.418,0.026172505,7384,2
3868,296.2547,-14.91081,15.676,0.01,14.88,0.008,0.796,0.012806248,7394,2
3870,296.36009,-14.90248,17.095,0.022,16.27,0.022,0.825,0.031112698,7395,2
3871,296.18799,-14.78817,16.475,0.016,16.401,0.025,0.074,0.029681644,7399,2
3875,296.26576,-14.93873,17.373,0.032,17.142,0.047,0.231,0.056859476,7407,2
3876,296.27959,-14.81588,17.565,0.037,16.598,0.03,0.967,0.047634021,7412,2
3877,296.09564,-14.80109,16.897,0.022,16.193,0.022,0.704,0.031112698,7414,2
3878,296.22196,-14.86669,17.063,0.025,16.233,0.022,0.83,0.033301652,7417,2
3879,296.24954,-14.8365,17.561,0.037,16.481,0.027,1.08,0.04580393,7419,2
3880,296.21818,-14.72307,18.033,0.051,16.878,0.034,1.155,0.061294372,7429,2
3881,296.10666,-14.7142,16.662,0.018,16.236,0.02,0.426,0.026907248,7433,2
3882,296.32821,-14.93112,17.399,0.028,16.558,0.027,0.841,0.038897301,7436,2
3883,296.26321,-14.84881,17.286,0.03,16.265,0.023,1.021,0.037802116,7437,2
3885,296.2939,-14.70877,17.537,0.034,16.344,0.022,1.193,0.040496913,7439,2
3886,296.34203,-14.8222,17.481,0.029,16.401,0.024,1.08,0.03764306,7442,2
3887,296.39719,-14.79289,16.642,0.016,16.247,0.021,0.395,0.026400758,7443,2
3889,296.3414,-14.81744,17.62,0.032,16.499,0.026,1.121,0.041231056,7451,2
3890,296.03834,-14.74275,17.513,0.04,16.573,0.03,0.94,0.05,7452,2
3891,296.35818,-14.6995,16.978,0.022,16.199,0.019,0.779,0.029068884,7457,2
3894,296.39091,-14.86035,16.838,0.018,16.189,0.02,0.649,0.026907248,7458,2
3895,296.23523,-14.8723,16.69,0.019,16.297,0.023,0.393,0.029832868,7459,2
3896,296.17409,-14.65384,16.539,0.016,16.022,0.017,0.517,0.023345235,7470,2
3897,296.18528,-14.74756,17.622,0.039,16.588,0.03,1.034,0.049203658,7473,2
3898,296.28313,-14.8049,17.327,0.031,16.317,0.024,1.01,0.039204592,7474,2
3901,296.20893,-14.77729,16.659,0.019,15.879,0.017,0.78,0.025495098,7484,2
3902,296.16342,-14.95955,16.583,0.018,16.194,0.023,0.389,0.029206164,7488,2
3903,296.044,-14.79951,17.434,0.038,16.545,0.028,0.889,0.047201695,7490,2
3904,296.40337,-14.6658,16.791,0.019,16.467,0.023,0.324,0.029832868,7496,2
3905,296.22709,-14.71182,18.77,0.096,18.113,0.095,0.657,0.135059246,7498,2
3908,296.39253,-14.71366,17.203,0.027,16.368,0.022,0.835,0.03482815,7500,2
3910,296.1504,-14.95849,17.379,0.032,16.584,0.032,0.795,0.045254834,7503,2
3911,296.25635,-14.92495,17.314,0.03,16.436,0.026,0.878,0.039698866,7504,2
3912,296.17954,-14.89046,16.637,0.018,16.218,0.022,0.419,0.028425341,7514,2
3913,296.44288,-14.8602,17.146,0.023,16.159,0.02,0.987,0.030479501,7519,2
3914,296.40923,-14.78431,17.537,0.03,16.632,0.029,0.905,0.041725292,7524,2
3915,296.28586,-14.91176,17.441,0.033,16.403,0.025,1.038,0.041400483,7530,2
3916,296.17834,-14.86181,17.517,0.036,16.433,0.026,1.084,0.044407207,7544,2
3917,296.26133,-14.88373,17.94,0.05,16.788,0.035,1.152,0.061032778,7550,2
3918,296.20295,-14.79555,17.335,0.031,16.366,0.025,0.969,0.039824616,7554,2
3919,296.13382,-14.66959,16.723,0.018,16.256,0.02,0.467,0.026907248,7566,2
3921,296.39784,-14.86078,16.882,0.019,16.504,0.026,0.378,0.032202484,7568,2
3922,296.27104,-14.84014,17.45,0.034,16.39,0.025,1.06,0.042201896,7574,2
3925,296.17244,-14.7342,17.212,0.028,16.483,0.027,0.729,0.038897301,7577,2
3926,296.28763,-14.71618,16.677,0.018,16.297,0.021,0.38,0.027658633,7580,2
