ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
66,4,296.22735,-14.85768,13.59,0.13,11.87,0.03,1.72,0.133416641
77,4,296.25895,-14.88794,12.98,0.06,11.07,0.03,1.91,0.067082039
94,4,296.19855,-14.71823,13.11,0.04,11.61,0.03,1.5,0.05
102,4,296.38612,-14.85478,13.34,0.04,11.9,0.03,1.44,0.05
103,4,296.19068,-14.87268,13.36,0.1,11.83,0.04,1.53,0.107703296
117,4,296.42594,-14.78076,13.5,0.1,11.89,0.06,1.61,0.116619038
123,4,296.25169,-14.76934,13.59,0.04,11.64,0.02,1.95,0.04472136
138,4,296.24643,-14.73465,13.56,0.02,12.05,0.04,1.51,0.04472136
143,4,296.28905,-14.81079,13.74,0.04,11.84,0.03,1.9,0.05
151,4,296.22565,-14.79905,13.67,0.05,11.79,0.02,1.88,0.053851648
153,4,296.25735,-14.77634,13.54,0.05,11.99,0.05,1.55,0.070710678
163,4,296.30324,-14.79227,13.76,0.05,12.07,0.03,1.69,0.058309519
164,4,296.36525,-14.7382,13.68,0.07,11.81,0.02,1.87,0.072801099
165,4,296.11468,-14.81123,13.98,0.1,11.89,0.05,2.09,0.111803399
170,4,296.25547,-14.6868,13.65,0.05,11.59,0.03,2.06,0.058309519
171,4,296.26687,-14.74033,13.57,0.04,12.24,0.03,1.33,0.05
180,4,296.35531,-14.71987,13.58,0.05,12.29,0.03,1.29,0.058309519
182,4,296.21629,-14.83186,14.12,0.05,11.91,0.06,2.21,0.078102497
187,4,296.06117,-14.82045,13.87,0.06,12.05,0.05,1.82,0.078102497
189,4,296.08593,-14.76217,14.28,0.08,12.17,0.04,2.11,0.089442719
194,4,296.23884,-14.87026,13.81,0.06,12.43,0.05,1.38,0.078102497
203,4,296.19679,-14.7511,13.94,0.04,11.91,0.02,2.03,0.04472136
205,4,296.28122,-14.67392,14.03,0.06,12.27,0.02,1.76,0.063245553
221,4,296.22998,-14.85172,14.08,0.07,12.34,0.04,1.74,0.080622577
226,4,296.24499,-14.90904,13.98,0.04,12.06,0.05,1.92,0.064031242
