ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
1935,5,296.36731,-14.69113,15.78,0.03,12.75,0.06,3.03,0.067082039
1952,5,296.27362,-14.72028,16.04,0.07,13.65,0.08,2.39,0.106301458
2084,5,296.24628,-14.80893,15.99,0.07,13.88,0.05,2.11,0.086023253
2098,5,296.26884,-14.85827,16.2,0.05,13.76,0.04,2.44,0.064031242
2130,5,296.09826,-14.97091,15.97,0.07,13.41,0.09,2.56,0.114017543
2181,5,296.27092,-14.72068,16.43,0.07,13.24,0.09,3.19,0.114017543
2216,5,296.14557,-14.95632,16.05,0.08,13.64,0.07,2.41,0.106301458
2226,5,296.30262,-14.8009,16.03,0.07,14.24,0.06,1.79,0.092195445
2233,5,296.1073,-14.94869,15.86,0.08,13.68,0.04,2.18,0.089442719
2294,5,296.07814,-14.88067,16.14,0.1,13.27,0.05,2.87,0.111803399
2298,5,296.1426,-14.8818,16.29,0.08,13.93,0.08,2.36,0.113137085
2316,5,296.26883,-14.72344,16.09,0.06,12.73,0.04,3.36,0.072111026
2336,5,296.21625,-14.78288,16.44,0.08,13.47,0.04,2.97,0.089442719
2347,5,296.35185,-14.71952,16.34,0.05,14.06,0.05,2.28,0.070710678
2399,5,296.2711,-14.85178,16.53,0.05,13.73,0.04,2.8,0.064031242
2453,5,296.09379,-14.77655,17.16,0.28,13.5,0.13,3.66,0.308706981
2466,5,296.2924,-14.77358,15.93,0.04,12.6,0.03,3.33,0.05
2491,5,296.05716,-14.83338,16.11,0.11,13.55,0.05,2.56,0.12083046
2595,5,296.27148,-14.72034,16.85,0.12,12.91,0.1,3.94,0.156204994
2630,5,296.27209,-14.7192,16.38,0.07,12.97,0.1,3.41,0.122065556
2639,5,296.4434,-14.87511,16.79,0.07,13.55,0.05,3.24,0.086023253
2688,5,296.07247,-14.92742,16.27,0.08,13.46,0.05,2.81,0.094339811
2712,5,296.27785,-14.80047,15.81,0.06,13.92,0.05,1.89,0.078102497
2724,5,296.20404,-14.87566,16.01,0.08,12.57,0.06,3.44,0.1
2735,5,296.32995,-14.77679,16.16,0.1,14.47,0.08,1.69,0.128062485
2788,5,296.0663,-14.93727,16.82,0.07,14.55,0.09,2.27,0.114017543
2841,5,296.20017,-14.80544,16.26,0.07,14.36,0.07,1.9,0.098994949
2871,5,296.27058,-14.72007,16.49,0.09,12.77,0.05,3.72,0.102956301
2888,5,296.16902,-14.81217,16.38,0.04,13.52,0.04,2.86,0.056568542
2898,5,296.25435,-14.8485,15.89,0.07,13.54,0.04,2.35,0.080622577
2899,5,296.09587,-14.9023,16.26,0.07,14.25,0.07,2.01,0.098994949
2901,5,296.11153,-14.66341,16.66,0.13,13.44,0.04,3.22,0.136014705
2905,5,296.44242,-14.88637,16.53,0.1,14.16,0.11,2.37,0.148660687
2939,5,296.21354,-14.80348,16.72,0.04,13.95,0.04,2.77,0.056568542
2952,5,296.252,-14.78832,17.08,0.08,13.51,0.04,3.57,0.089442719
3042,5,296.41669,-14.84007,16.44,0.1,13.17,0.04,3.27,0.107703296
3053,5,296.24856,-14.7971,15.84,0.04,13.94,0.06,1.9,0.072111026
3060,5,296.18605,-14.80218,16.43,0.04,14.23,0.03,2.2,0.05
3061,5,296.13917,-14.86057,16.79,0.18,14.08,0.05,2.71,0.186815417
3117,5,296.39652,-14.86325,16.21,0.03,14.26,0.05,1.95,0.058309519
3122,5,296.16412,-14.71816,16.57,0.08,13.52,0.07,3.05,0.106301458
3125,5,296.29198,-14.76506,16.43,0.07,14.39,0.05,2.04,0.086023253
3136,5,296.21391,-14.71784,16.39,0.08,12.74,0.05,3.65,0.094339811
3142,5,296.21784,-14.86633,16.29,0.09,13.84,0.08,2.45,0.120415946
3158,5,296.2531,-14.78473,16.17,0.04,14.52,0.08,1.65,0.089442719
3169,5,296.07683,-14.90864,16.24,0.08,14.64,0.18,1.6,0.196977156
3182,5,296.26033,-14.7893,15.86,0.03,13.64,0.06,2.22,0.067082039
3187,5,296.17235,-14.88327,16.31,0.05,14.5,0.05,1.81,0.070710678
3195,5,296.27115,-14.71956,16.69,0.07,13.21,0.09,3.48,0.114017543
3201,5,296.2786,-14.72329,15.86,0.08,13.98,0.08,1.88,0.113137085
3206,5,296.41201,-14.76573,16.16,0.07,13.38,0.04,2.78,0.080622577
3237,5,296.33396,-14.88066,16.65,0.1,14.28,0.04,2.37,0.107703296
3279,5,296.43081,-14.80076,16.69,0.09,14.7,0.09,1.99,0.127279221
3283,5,296.42257,-14.89746,17.31,0.17,14.55,0.07,2.76,0.183847763
3299,5,296.16565,-14.79227,16.85,0.19,14.45,0.07,2.4,0.202484567
3309,5,296.27307,-14.72422,16.94,0.12,12.93,0.09,4.01,0.15
3347,5,296.22345,-14.72024,16,0.07,12.8,0.11,3.2,0.130384048
3363,5,296.12721,-14.69792,16.83,0.06,13.53,0.04,3.3,0.072111026
3369,5,296.27981,-14.9343,16.87,0.05,14.53,0.09,2.34,0.102956301
3383,5,296.21752,-14.78961,16.22,0.25,13.13,0.03,3.09,0.251793566
3397,5,296.12222,-14.89934,16.4,0.08,14.56,0.05,1.84,0.094339811
3449,5,296.14806,-14.95662,17.27,0.2,14.03,0.09,3.24,0.219317122
3474,5,296.16448,-14.9186,16.19,0.04,13.03,0.05,3.16,0.064031242
3513,5,296.17675,-14.72554,16.56,0.06,14.3,0.05,2.26,0.078102497
3528,5,296.16892,-14.82726,16.59,0.12,14.24,0.05,2.35,0.13
3537,5,296.07512,-14.84449,16.4,0.08,14.5,0.05,1.9,0.094339811
3552,5,296.29615,-14.91083,16.62,0.04,14,0.03,2.62,0.05
3578,5,296.36134,-14.64126,16.92,0.07,14.18,0.1,2.74,0.122065556
3590,5,296.37151,-14.66088,16.6,0.06,14.51,0.08,2.09,0.1
3638,5,296.22614,-14.71252,16.11,0.05,13.65,0.07,2.46,0.086023253
3639,5,296.18267,-14.86585,15.93,0.05,13.93,0.07,2,0.086023253
3640,5,296.09583,-14.94947,16.48,0.09,13.92,0.08,2.56,0.120415946
3657,5,296.16186,-14.85839,16.03,0.07,14.27,0.09,1.76,0.114017543
