ID,CMD1region,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
4037,4,296.24056,-14.79563,18.266,0.066,16.986,0.041,1.28,0.077698134
4094,4,296.18736,-14.85399,18.166,0.061,16.937,0.04,1.229,0.072945185
4121,4,296.22508,-14.85271,18.238,0.065,16.929,0.039,1.309,0.075802375
4262,4,296.28345,-14.80745,18.1,0.057,16.888,0.039,1.212,0.069065187
4317,4,296.21955,-14.76769,18.224,0.065,17.184,0.049,1.04,0.081400246
4782,4,296.11981,-14.73227,18.263,0.066,17.109,0.047,1.154,0.081024688
4836,4,296.22125,-14.74323,18.112,0.059,16.927,0.04,1.185,0.071281134
4851,4,296.20344,-14.80198,18.354,0.072,17.24,0.051,1.114,0.088232647
5088,4,296.21232,-14.80562,18.337,0.071,17.064,0.044,1.273,0.083528438
5120,4,296.16256,-14.83356,18.214,0.064,17.087,0.045,1.127,0.07823682
5241,4,296.40826,-14.67433,18.233,0.062,17.02,0.037,1.213,0.072201108
5315,4,296.22817,-14.81257,18.265,0.066,17.304,0.054,0.961,0.085276022
5331,4,296.26404,-14.77926,18.246,0.064,17.001,0.042,1.245,0.076550637
5412,4,296.20596,-14.80926,18.05,0.056,16.913,0.039,1.137,0.068242216
5419,4,296.34289,-14.76401,18.2,0.051,17.018,0.04,1.182,0.064815122
5561,4,296.24253,-14.80351,18.038,0.055,16.902,0.038,1.136,0.06685058
5625,4,296.30197,-14.85017,18.292,0.066,17.313,0.055,0.979,0.085912746
5639,4,296.2232,-14.79649,18.151,0.061,17.06,0.044,1.091,0.075213031
5667,4,296.2471,-14.72296,18.125,0.056,17.034,0.038,1.091,0.067675697
5717,4,296.30728,-14.81123,18.016,0.053,16.884,0.04,1.132,0.066400301
5735,4,296.24037,-14.85754,18.14,0.059,17.105,0.045,1.035,0.074202426
5751,4,296.22528,-14.79764,18.134,0.06,16.936,0.04,1.198,0.072111026
5761,4,296.23915,-14.82675,18.133,0.059,17.005,0.042,1.128,0.072422372
5918,4,296.14546,-14.71597,18.114,0.055,17.057,0.039,1.057,0.067424031
5921,4,296.18755,-14.86339,18.029,0.054,16.932,0.04,1.097,0.06720119
5937,4,296.33543,-14.68113,18.391,0.072,17.091,0.039,1.3,0.081884064
5990,4,296.15817,-14.88727,18.238,0.065,17.076,0.044,1.162,0.078492038
6018,4,296.29516,-14.86733,18.172,0.06,16.991,0.041,1.181,0.072670489
6098,4,296.30547,-14.84012,18.19,0.061,16.923,0.039,1.267,0.072401657
6139,4,296.20357,-14.80467,18.291,0.068,17.141,0.047,1.15,0.082661962
6162,4,296.22042,-14.72842,18.265,0.066,17.151,0.048,1.114,0.081608823
6176,4,296.16627,-14.81523,18.067,0.056,16.979,0.041,1.088,0.069404611
6184,4,296.22744,-14.67226,18.374,0.068,17.246,0.045,1.128,0.081541401
6234,4,296.19009,-14.8133,18.121,0.059,17.082,0.045,1.039,0.074202426
6270,4,296.16327,-14.77147,18.114,0.058,17.022,0.043,1.092,0.072201108
6271,4,296.1939,-14.66479,18.34,0.066,17.257,0.046,1.083,0.080448741
6288,4,296.20314,-14.87639,18.341,0.07,17.257,0.052,1.084,0.087200917
6292,4,296.05121,-14.81998,18.097,0.065,17.044,0.043,1.053,0.077935871
6350,4,296.18318,-14.93229,18.064,0.056,16.964,0.041,1.1,0.069404611
6373,4,296.30795,-14.76129,18.228,0.063,17.112,0.053,1.116,0.08232861
6374,4,296.18118,-14.77924,18.02,0.054,16.925,0.039,1.095,0.06661081
6389,4,296.3444,-14.67236,18.297,0.066,17.251,0.045,1.046,0.079881162
6391,4,296.26324,-14.89838,18.173,0.061,17.075,0.044,1.098,0.075213031
6401,4,296.1351,-14.89229,18.164,0.061,17.059,0.044,1.105,0.075213031
6407,4,296.22168,-14.9135,18.01,0.053,16.893,0.038,1.117,0.065215029
6409,4,296.2014,-14.79868,18.236,0.065,17.271,0.053,0.965,0.083868945
6429,4,296.26071,-14.76812,18.174,0.061,17.007,0.042,1.167,0.074060786
6456,4,296.2893,-14.83694,18.173,0.06,17.094,0.045,1.079,0.075
6459,4,296.10913,-14.79008,18.164,0.061,16.994,0.042,1.17,0.074060786
6460,4,296.26368,-14.71887,18.472,0.074,17.358,0.05,1.114,0.089308454
6479,4,296.2143,-14.71421,18.142,0.056,17.098,0.04,1.044,0.068818602
6490,4,296.19527,-14.79914,18.042,0.055,16.962,0.041,1.08,0.068600292
6518,4,296.20596,-14.87528,18.207,0.063,16.988,0.042,1.219,0.075716577
6525,4,296.24147,-14.69462,18.115,0.055,17.058,0.039,1.057,0.067424031
6542,4,296.25921,-14.86539,18.021,0.053,16.88,0.038,1.141,0.065215029
6548,4,296.27526,-14.92612,18.321,0.068,17.123,0.046,1.198,0.082097503
6569,4,296.29031,-14.80528,18.19,0.061,17.13,0.047,1.06,0.077006493
6572,4,296.155,-14.83892,18.278,0.067,16.94,0.04,1.338,0.078032045
6619,4,296.31529,-14.89825,18.143,0.059,17.059,0.044,1.084,0.073600272
6632,4,296.21736,-14.73729,18.131,0.059,17.062,0.044,1.069,0.073600272
6647,4,296.263,-14.89485,18.122,0.058,17.045,0.043,1.077,0.072201108
6719,4,296.22337,-14.69675,18.123,0.055,17.055,0.039,1.068,0.067424031
6749,4,296.10637,-14.72122,18.15,0.06,17.043,0.043,1.107,0.073817342
6760,4,296.19835,-14.81185,18.1,0.058,17.052,0.044,1.048,0.072801099
6777,4,296.33415,-14.85856,18.255,0.053,17.105,0.043,1.15,0.068249542
6791,4,296.07733,-14.91895,18.054,0.063,16.887,0.037,1.167,0.073061618
6806,4,296.24478,-14.90138,18.102,0.057,16.911,0.039,1.191,0.069065187
6819,4,296.20354,-14.82956,18.209,0.064,17.15,0.048,1.059,0.08
6841,4,296.31281,-14.80761,18.12,0.058,16.989,0.045,1.131,0.073409809
6905,4,296.20409,-14.79585,18.136,0.06,16.971,0.041,1.165,0.072670489
6942,4,296.20615,-14.87458,18.145,0.06,17.039,0.043,1.106,0.073817342
6946,4,296.25547,-14.89832,18.352,0.07,17.308,0.054,1.044,0.088408144
6968,4,296.27068,-14.80029,18.232,0.064,17.195,0.049,1.037,0.08060397
6977,4,296.15879,-14.65868,18.056,0.052,16.977,0.036,1.079,0.063245553
7018,4,296.19994,-14.80632,18.149,0.06,17.136,0.047,1.013,0.076216796
7025,4,296.23535,-14.86463,18.181,0.061,17.103,0.045,1.078,0.075802375
7037,4,296.23387,-14.91713,18.347,0.07,17.324,0.055,1.023,0.089022469
7042,4,296.25655,-14.85174,18.1,0.057,17.035,0.043,1.065,0.07140028
7052,4,296.17897,-14.78434,18.418,0.075,17.308,0.054,1.11,0.092417531
7055,4,296.28999,-14.82554,18.482,0.078,17.232,0.051,1.25,0.093193347
7074,4,296.16347,-14.75987,18.301,0.068,17.34,0.056,0.961,0.088090862
7105,4,296.20674,-14.78241,18.318,0.07,17.052,0.044,1.266,0.082680106
7112,4,296.15816,-14.79931,18.123,0.059,17.043,0.044,1.08,0.073600272
7132,4,296.26499,-14.8244,18.374,0.072,17.061,0.044,1.313,0.084380092
7155,4,296.21136,-14.866,18.173,0.061,17.153,0.048,1.02,0.077620873
7172,4,296.22903,-14.79159,18.29,0.068,17.236,0.051,1.054,0.085
7234,4,296.235,-14.83756,18.307,0.069,17.263,0.052,1.044,0.086400231
7244,4,296.16974,-14.78095,18.325,0.069,17.325,0.056,1,0.088865066
7251,4,296.144,-14.86149,18.079,0.057,17.012,0.042,1.067,0.070802542
7331,4,296.19361,-14.88672,18.299,0.068,17.215,0.05,1.084,0.084403791
7353,4,296.26321,-14.78646,18.295,0.067,17.158,0.048,1.137,0.082419658
7366,4,296.20671,-14.80479,18.096,0.058,16.99,0.042,1.106,0.071610055
7372,4,296.27709,-14.82065,18.32,0.069,17.11,0.046,1.21,0.082927679
7385,4,296.11363,-14.94763,18.07,0.056,17.003,0.046,1.067,0.072470684
7397,4,296.37123,-14.70399,18.079,0.055,16.991,0.036,1.088,0.065734314
7406,4,296.04141,-14.71046,18.237,0.067,17.17,0.043,1.067,0.079611557
7408,4,296.21032,-14.88691,18.214,0.063,17.172,0.049,1.042,0.07981228
7438,4,296.12161,-14.75537,18.294,0.068,17.014,0.043,1.28,0.080454956
7444,4,296.17635,-14.88509,18.049,0.055,16.925,0.039,1.124,0.067424031
7448,4,296.26212,-14.79274,18.364,0.072,17.312,0.054,1.052,0.09
7471,4,296.21697,-14.80288,18.157,0.061,16.98,0.041,1.177,0.073498299
7481,4,296.21071,-14.84752,18.18,0.062,16.971,0.041,1.209,0.074330344
7505,4,296.16827,-14.84872,18.362,0.072,17.225,0.051,1.137,0.088232647
7525,4,296.22697,-14.87246,18.29,0.067,17.158,0.048,1.132,0.082419658
7529,4,296.1822,-14.90878,18.029,0.054,16.935,0.04,1.094,0.06720119
7592,4,296.42557,-14.77608,18.288,0.054,17.286,0.05,1.002,0.073593478
7605,4,296.25579,-14.78628,18.197,0.062,17.169,0.048,1.028,0.078409183
7620,4,296.19965,-14.7809,18.414,0.075,17.201,0.05,1.213,0.090138782
7644,4,296.34744,-14.83652,18.252,0.053,17.154,0.045,1.098,0.069526973
7645,4,296.16452,-14.67998,18.232,0.06,17.189,0.043,1.043,0.073817342
7651,4,296.20456,-14.67432,18.323,0.065,17.281,0.047,1.042,0.080212219
7676,4,296.23504,-14.91745,18.292,0.067,17.344,0.056,0.948,0.087321246
7681,4,296.24301,-14.81653,18.132,0.059,17.101,0.045,1.031,0.074202426
7688,4,296.19218,-14.88006,18.307,0.069,17.214,0.05,1.093,0.085211502
7692,4,296.17088,-14.73509,18.178,0.061,17.097,0.045,1.081,0.075802375
7709,4,296.07087,-14.90679,18.266,0.075,17.308,0.052,0.958,0.091263355
7710,4,296.19589,-14.88332,18.223,0.064,17.156,0.048,1.067,0.08
7751,4,296.25617,-14.82795,18.2,0.062,17.206,0.049,0.994,0.079025312
7756,4,296.15032,-14.75522,18.24,0.064,17.157,0.048,1.083,0.08
7763,4,296.22318,-14.78096,18.35,0.072,17.352,0.057,0.998,0.091831367
7779,4,296.26771,-14.76068,18.406,0.074,17.324,0.056,1.082,0.092800862
7788,4,296.15005,-14.80837,18.182,0.062,17.085,0.045,1.097,0.076609399
7791,4,296.1476,-14.73092,18.299,0.067,17.071,0.045,1.228,0.080709355
7810,4,296.13291,-14.68639,18.43,0.071,17.194,0.043,1.236,0.083006024
7824,4,296.24947,-14.90675,18.259,0.065,17.277,0.053,0.982,0.083868945
7830,4,296.19715,-14.67678,18.375,0.068,17.296,0.047,1.079,0.082661962
7842,4,296.41081,-14.82199,18.393,0.059,17.161,0.045,1.232,0.074202426
7850,4,296.17999,-14.7116,18.122,0.055,17.03,0.038,1.092,0.06685058
7869,4,296.12477,-14.85209,18.213,0.064,17.229,0.051,0.984,0.0818352
7879,4,296.24787,-14.88071,18.232,0.064,17.26,0.052,0.972,0.082462113
7896,4,296.24892,-14.71512,18.228,0.061,17.185,0.043,1.043,0.074632433
7904,4,296.25985,-14.82495,18.196,0.062,17.198,0.049,0.998,0.079025312
7960,4,296.30884,-14.81002,18.145,0.059,17.003,0.045,1.142,0.074202426
7962,4,296.23757,-14.83089,18.35,0.071,17.312,0.054,1.038,0.089202018
7966,4,296.23316,-14.82116,18.294,0.068,17.062,0.044,1.232,0.080993827
7985,4,296.09777,-14.72924,18.524,0.081,17.353,0.056,1.171,0.098473347
7995,4,296.19491,-14.81255,18.38,0.073,17.308,0.055,1.072,0.091400219
8016,4,296.1834,-14.79429,18.235,0.065,17.118,0.046,1.117,0.079630396
8025,4,296.25173,-14.8148,18.397,0.074,17.355,0.056,1.042,0.092800862
8027,4,296.19941,-14.85444,18.483,0.079,17.298,0.054,1.185,0.095692215
8036,4,296.22883,-14.8176,18.394,0.074,17.311,0.055,1.083,0.092200868
8054,4,296.27652,-14.80853,18.263,0.065,17.282,0.053,0.981,0.083868945
8055,4,296.08249,-14.93374,18.268,0.075,17.223,0.049,1.045,0.089587946
8059,4,296.19577,-14.68859,18.552,0.079,17.357,0.05,1.195,0.093493315
8071,4,296.38165,-14.6869,18.357,0.069,17.313,0.047,1.044,0.083486526
8076,4,296.34873,-14.76769,18.259,0.053,17.135,0.044,1.124,0.06888396
8082,4,296.18648,-14.7992,18.298,0.068,17.159,0.048,1.139,0.083234608
8090,4,296.20255,-14.77478,18.293,0.068,17.238,0.051,1.055,0.085
8100,4,296.2771,-14.64737,18.167,0.057,17.162,0.042,1.005,0.070802542
8101,4,296.19468,-14.72409,18.369,0.072,17.294,0.054,1.075,0.09
8114,4,296.25449,-14.93652,18.114,0.058,17.05,0.043,1.064,0.072201108
8129,4,296.27857,-14.84754,18.241,0.064,17.239,0.051,1.002,0.0818352
8137,4,296.34561,-14.85971,18.186,0.05,17.07,0.042,1.116,0.065299311
8141,4,296.20425,-14.80682,18.31,0.069,17.267,0.053,1.043,0.087005747
8146,4,296.23326,-14.68646,18.338,0.066,17.077,0.039,1.261,0.076661594
8153,4,296.17486,-14.71802,18.3,0.064,17.296,0.047,1.004,0.07940403
8170,4,296.17237,-14.70238,18.24,0.061,17.265,0.046,0.975,0.076400262
8189,4,296.21781,-14.81704,18.287,0.068,17.335,0.056,0.952,0.088090862
8195,4,296.23698,-14.66413,18.313,0.065,17.36,0.05,0.953,0.082006097
8205,4,296.25001,-14.72404,18.349,0.07,17.195,0.051,1.154,0.086608314
8213,4,296.18647,-14.66033,18.247,0.061,17.172,0.043,1.075,0.074632433
8225,4,296.2839,-14.77101,18.275,0.066,17.341,0.058,0.934,0.087863531
8231,4,296.37623,-14.91897,18.18,0.05,17.166,0.045,1.014,0.06726812
8263,4,296.33154,-14.77039,18.27,0.054,17.26,0.049,1.01,0.072917762
8311,4,296.22514,-14.79491,18.289,0.068,17.292,0.054,0.997,0.086833173
8319,4,296.2125,-14.86221,18.541,0.083,17.344,0.056,1.197,0.100124922
8328,4,296.24562,-14.80476,18.207,0.063,17.11,0.046,1.097,0.07800641
8353,4,296.18056,-14.65643,18.255,0.061,17.264,0.046,0.991,0.076400262
8363,4,296.33455,-14.87369,18.188,0.05,17.174,0.046,1.014,0.067941151
8411,4,296.13351,-14.70897,18.267,0.062,17.2,0.044,1.067,0.076026311
8424,4,296.28133,-14.86371,18.471,0.077,17.179,0.048,1.292,0.09073588
8440,4,296.24891,-14.80582,18.282,0.067,17.345,0.056,0.937,0.087321246
8464,4,296.16133,-14.71973,18.247,0.061,17.291,0.047,0.956,0.077006493
8476,4,296.2379,-14.84428,18.371,0.073,17.224,0.051,1.147,0.089050547
8477,4,296.14126,-14.74623,18.385,0.072,17.227,0.051,1.158,0.088232647
8487,4,296.27118,-14.84579,18.4,0.073,17.362,0.056,1.038,0.092005435
8505,4,296.12168,-14.79853,18.344,0.071,17.36,0.057,0.984,0.091049437
8512,4,296.31069,-14.74122,18.109,0.057,17.05,0.06,1.059,0.082758685
8516,4,296.14502,-14.93523,18.327,0.069,17.22,0.05,1.107,0.085211502
8520,4,296.21815,-14.85471,18.394,0.074,17.221,0.05,1.173,0.089308454
8522,4,296.09616,-14.94589,18.333,0.069,17.339,0.06,0.994,0.091438504
8535,4,296.37482,-14.6888,18.448,0.075,17.278,0.046,1.17,0.087982953
8538,4,296.1947,-14.68449,18.353,0.067,17.328,0.049,1.025,0.083006024
8587,4,296.07589,-14.71192,18.142,0.062,17.101,0.04,1.041,0.073783467
8601,4,296.19673,-14.89146,18.306,0.068,17.252,0.052,1.054,0.085603738
8604,4,296.20069,-14.94565,18.235,0.064,17.083,0.048,1.152,0.08
8624,4,296.3232,-14.88834,18.301,0.055,17.3,0.051,1.001,0.075006666
