ID,CMD1region,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
466,2,296.12876,-14.80718,16.794,0.021,16.161,0.021,0.633,0.029698485
1450,2,296.21991,-14.82894,16.315,0.015,15.546,0.013,0.769,0.019849433
1494,2,296.20335,-14.74503,16.302,0.015,15.604,0.014,0.698,0.020518285
1546,2,296.08262,-14.75004,16.47,0.018,15.552,0.017,0.918,0.024758837
1547,2,296.29332,-14.83707,16.361,0.015,15.661,0.014,0.7,0.020518285
1645,2,296.34137,-14.7495,16.38,0.014,15.615,0.013,0.765,0.019104973
1704,2,296.33295,-14.7501,16.412,0.014,15.586,0.013,0.826,0.019104973
1707,2,296.39788,-14.77112,16.567,0.015,15.768,0.015,0.799,0.021213203
1736,2,296.27541,-14.64816,16.435,0.015,15.615,0.012,0.82,0.019209373
1741,2,296.31149,-14.68462,16.394,0.014,15.67,0.013,0.724,0.019104973
1743,2,296.3233,-14.67507,16.458,0.015,15.579,0.012,0.879,0.019209373
1771,2,296.35578,-14.87274,16.466,0.014,15.689,0.014,0.777,0.01979899
1781,2,296.19,-14.73405,16.295,0.014,15.54,0.013,0.755,0.019104973
1788,2,296.32001,-14.89208,16.406,0.014,15.613,0.013,0.793,0.019104973
1791,2,296.39321,-14.79982,16.512,0.015,15.708,0.014,0.804,0.020518285
1792,2,296.21859,-14.8352,16.497,0.017,15.689,0.015,0.808,0.022671568
1794,2,296.23887,-14.86442,16.327,0.015,15.546,0.013,0.781,0.019849433
1813,2,296.19211,-14.93954,16.392,0.016,15.546,0.014,0.846,0.021260292
1815,2,296.32282,-14.73722,16.67,0.017,15.777,0.015,0.893,0.022671568
1816,2,296.23612,-14.85651,16.303,0.015,15.549,0.013,0.754,0.019849433
1850,2,296.16402,-14.75184,16.384,0.015,15.569,0.013,0.815,0.019849433
1861,2,296.154,-14.78707,16.335,0.015,15.533,0.013,0.802,0.019849433
1866,2,296.4087,-14.76869,16.486,0.015,15.708,0.014,0.778,0.020518285
1876,2,296.10064,-14.82921,16.337,0.015,15.536,0.013,0.801,0.019849433
1900,2,296.26621,-14.78322,16.303,0.015,15.583,0.014,0.72,0.020518285
1907,2,296.24671,-14.8211,16.399,0.016,15.634,0.014,0.765,0.021260292
