ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
323,296.24518,-14.84766,18.731,0.098,16.854,0.037,1.877,0.104752088
451,296.22233,-14.9099,19.303,0.156,16.295,0.023,3.008,0.157686398
495,296.21259,-14.80132,19.159,0.142,16.253,0.023,2.906,0.143850617
694,296.30872,-14.8658,19.182,0.139,16.588,0.029,2.594,0.141992958
734,296.23407,-14.68634,18.404,0.07,16.343,0.022,2.061,0.073375745
783,296.20345,-14.78944,18.498,0.081,16.259,0.023,2.239,0.084202138
857,296.14661,-14.85973,18.627,0.09,16.26,0.023,2.367,0.092892411
1070,296.40278,-14.79796,18.368,0.058,16.283,0.022,2.085,0.06203225
1091,296.24964,-14.71938,18.472,0.078,16.584,0.031,1.888,0.083934498
1111,296.3106,-14.78295,18.859,0.107,16.593,0.033,2.266,0.111973211
1154,296.27749,-14.87469,18.677,0.092,16.294,0.023,2.383,0.094831429
1196,296.2599,-14.7479,18.354,0.07,16.654,0.032,1.7,0.076967526
1316,296.31143,-14.83887,18.594,0.085,16.392,0.025,2.202,0.088600226
1346,296.22772,-14.76104,18.418,0.076,16.382,0.025,2.036,0.08000625
2095,296.18646,-14.79796,19.467,0.181,17.323,0.055,2.144,0.18917188
2152,296.21695,-14.72789,18.572,0.085,16.228,0.022,2.344,0.087800911
2239,296.20377,-14.85092,18.389,0.073,16.473,0.027,1.916,0.077833155
2272,296.38097,-14.84534,18.461,0.063,16.578,0.028,1.883,0.068942005
2377,296.24116,-14.93741,18.914,0.113,16.912,0.039,2.002,0.119540788
2619,296.25967,-14.71721,19.079,0.124,16.905,0.034,2.174,0.128576825
3229,296.1962,-14.94345,18.751,0.098,17.332,0.06,1.419,0.114908659
3313,296.29221,-14.79543,18.879,0.109,16.956,0.041,1.923,0.116456
3456,296.16202,-14.96085,18.719,0.094,16.873,0.041,1.846,0.102552426
3462,296.28499,-14.92403,18.702,0.094,17.069,0.044,1.633,0.103788246
3700,296.23721,-14.73918,18.568,0.085,16.855,0.038,1.713,0.093107465
3826,296.27972,-14.93083,19.117,0.133,17.321,0.055,1.796,0.143923591
3850,296.06943,-14.86698,18.444,0.087,16.906,0.037,1.538,0.094540996
4101,296.33242,-14.90311,19.212,0.117,17.27,0.049,1.942,0.126846364
4218,296.19496,-14.79079,18.465,0.078,17.061,0.044,1.404,0.089554453
4278,296.18677,-14.74649,18.432,0.075,17.027,0.043,1.405,0.086452299
4392,296.09771,-14.71572,18.952,0.111,17.366,0.05,1.586,0.121741529
4447,296.29521,-14.79666,19.563,0.193,17.336,0.057,2.227,0.201241149
4784,296.1666,-14.85066,18.845,0.108,16.982,0.041,1.863,0.115520561
4891,296.09039,-14.81615,18.465,0.089,17.111,0.051,1.354,0.1025768
5148,296.13134,-14.82919,18.901,0.113,17.311,0.055,1.59,0.125674182
5320,296.29667,-14.84896,18.576,0.084,16.975,0.041,1.601,0.093471921
5445,296.38388,-14.86289,18.877,0.088,17.221,0.047,1.656,0.099764723
5778,296.20497,-14.85349,18.774,0.101,17.217,0.05,1.557,0.112698713
5819,296.07772,-14.93846,18.85,0.103,17.051,0.069,1.799,0.123975804
5937,296.33543,-14.68113,18.391,0.072,17.091,0.039,1.3,0.081884064
6184,296.22744,-14.67226,18.374,0.068,17.246,0.045,1.128,0.081541401
6201,296.29434,-14.76099,18.542,0.082,17.16,0.053,1.382,0.097637083
6460,296.26368,-14.71887,18.472,0.074,17.358,0.05,1.114,0.089308454
6728,296.19505,-14.82605,18.469,0.079,17.375,0.058,1.094,0.098005102
7052,296.17897,-14.78434,18.418,0.075,17.308,0.054,1.11,0.092417531
7055,296.28999,-14.82554,18.482,0.078,17.232,0.051,1.25,0.093193347
7132,296.26499,-14.8244,18.374,0.072,17.061,0.044,1.313,0.084380092
7279,296.37114,-14.83677,18.409,0.06,17.374,0.054,1.035,0.080721744
7338,296.23369,-14.81991,18.427,0.076,17.364,0.057,1.063,0.095
7620,296.19965,-14.7809,18.414,0.075,17.201,0.05,1.213,0.090138782
7779,296.26771,-14.76068,18.406,0.074,17.324,0.056,1.082,0.092800862
7810,296.13291,-14.68639,18.43,0.071,17.194,0.043,1.236,0.083006024
7830,296.19715,-14.67678,18.375,0.068,17.296,0.047,1.079,0.082661962
7842,296.41081,-14.82199,18.393,0.059,17.161,0.045,1.232,0.074202426
7985,296.09777,-14.72924,18.524,0.081,17.353,0.056,1.171,0.098473347
7995,296.19491,-14.81255,18.38,0.073,17.308,0.055,1.072,0.091400219
8025,296.25173,-14.8148,18.397,0.074,17.355,0.056,1.042,0.092800862
