ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
8027,296.19941,-14.85444,18.483,0.079,17.298,0.054,1.185,0.095692215
8036,296.22883,-14.8176,18.394,0.074,17.311,0.055,1.083,0.092200868
8059,296.19577,-14.68859,18.552,0.079,17.357,0.05,1.195,0.093493315
8101,296.19468,-14.72409,18.369,0.072,17.294,0.054,1.075,0.09
8221,296.22044,-14.86184,18.442,0.077,17.367,0.057,1.075,0.095801879
8319,296.2125,-14.86221,18.541,0.083,17.344,0.056,1.197,0.100124922
8424,296.28133,-14.86371,18.471,0.077,17.179,0.048,1.292,0.09073588
8476,296.2379,-14.84428,18.371,0.073,17.224,0.051,1.147,0.089050547
8477,296.14126,-14.74623,18.385,0.072,17.227,0.051,1.158,0.088232647
8487,296.27118,-14.84579,18.4,0.073,17.362,0.056,1.038,0.092005435
8520,296.21815,-14.85471,18.394,0.074,17.221,0.05,1.173,0.089308454
8529,296.31382,-14.7274,18.439,0.075,17.383,0.09,1.056,0.117153745
8535,296.37482,-14.6888,18.448,0.075,17.278,0.046,1.17,0.087982953
8638,296.14659,-14.78565,18.366,0.072,17.24,0.051,1.126,0.088232647
8664,296.23569,-14.81075,18.399,0.074,17.288,0.053,1.111,0.091021975
8738,296.2423,-14.80026,18.466,0.078,17.327,0.055,1.139,0.095441081
8900,296.3876,-14.82366,18.475,0.063,17.359,0.053,1.116,0.08232861
8938,296.21479,-14.83438,18.56,0.085,17.336,0.056,1.224,0.101788997
8947,296.21591,-14.74766,18.446,0.077,17.337,0.055,1.109,0.094625578
8950,296.16607,-14.80869,18.388,0.073,17.344,0.056,1.044,0.092005435
8952,296.05272,-14.69826,18.596,0.09,17.374,0.051,1.222,0.103445638
9123,296.20797,-14.93593,18.549,0.082,17.372,0.062,1.177,0.102800778
9187,296.21285,-14.76289,18.374,0.073,17.346,0.056,1.028,0.092005435
9200,296.30134,-14.70813,18.441,0.072,17.272,0.047,1.169,0.085982556
9210,296.38061,-14.72931,18.446,0.062,17.385,0.055,1.061,0.08287943
9276,296.19887,-14.84968,18.391,0.074,17.23,0.051,1.161,0.089872131
9287,296.21135,-14.85114,18.683,0.094,17.33,0.055,1.353,0.108908218
9351,296.03813,-14.68658,18.46,0.08,17.374,0.05,1.086,0.094339811
9377,296.22983,-14.83735,18.629,0.09,17.309,0.054,1.32,0.104957134
9431,296.28202,-14.90355,18.528,0.081,17.361,0.056,1.167,0.098473347
9553,296.43098,-14.84083,18.388,0.059,17.366,0.053,1.022,0.07930952
9637,296.1543,-14.77868,18.516,0.081,17.338,0.056,1.178,0.098473347
9642,296.17321,-14.80179,18.422,0.075,17.385,0.058,1.037,0.094810337
9687,296.36728,-14.82969,18.37,0.058,17.322,0.052,1.048,0.077897368
9708,296.20741,-14.75608,18.578,0.086,17.376,0.057,1.202,0.103174609
9718,296.27437,-14.75718,18.437,0.075,17.321,0.057,1.116,0.094201911
9721,296.30383,-14.72185,18.445,0.072,17.322,0.048,1.123,0.086533231
9767,296.25376,-14.72201,18.585,0.081,17.236,0.045,1.349,0.092660671
9781,296.32658,-14.74794,18.427,0.061,17.336,0.052,1.091,0.080156098
9824,296.33997,-14.90433,18.444,0.062,17.337,0.052,1.107,0.080919713
9905,296.20755,-14.75722,18.581,0.086,17.364,0.057,1.217,0.103174609
9911,296.34018,-14.66582,18.488,0.078,17.356,0.049,1.132,0.09211406
9913,296.30749,-14.82616,18.524,0.081,17.344,0.058,1.18,0.099624294
9966,296.30176,-14.84017,18.595,0.085,17.267,0.052,1.328,0.099644368
10007,296.16493,-14.93591,18.378,0.072,17.373,0.057,1.005,0.091831367
10023,296.19977,-14.81035,18.614,0.089,17.345,0.056,1.269,0.105152271
10030,296.24356,-14.87654,18.404,0.074,17.362,0.057,1.042,0.093407708
10043,296.29929,-14.65117,18.409,0.07,17.365,0.05,1.044,0.086023253
10113,296.15124,-14.72794,18.788,0.101,17.237,0.051,1.551,0.113145923
10372,296.25348,-14.7364,18.397,0.073,17.261,0.054,1.136,0.090801982
10424,296.1654,-14.82078,18.371,0.072,17.339,0.056,1.032,0.091214034
10546,296.11966,-14.77765,18.428,0.076,17.342,0.056,1.086,0.09440339
10602,296.37925,-14.91411,18.431,0.061,17.351,0.053,1.08,0.080808415
10621,296.25871,-14.74011,18.56,0.084,17.385,0.059,1.175,0.10264989
10646,296.17907,-14.79041,18.419,0.075,17.379,0.058,1.04,0.094810337
10715,296.10414,-14.92781,18.377,0.072,17.366,0.058,1.011,0.092455395
10981,296.25609,-14.76346,18.464,0.077,17.336,0.056,1.128,0.095210294
11051,296.25778,-14.76358,18.533,0.082,17.269,0.053,1.264,0.097637083
11119,296.04134,-14.80475,18.681,0.106,17.334,0.054,1.347,0.118962179
11199,296.12303,-14.72193,18.372,0.072,17.262,0.053,1.11,0.089403579
11303,296.14462,-14.93676,18.398,0.073,17.365,0.057,1.033,0.092617493
11317,296.16097,-14.90375,18.517,0.081,17.356,0.056,1.161,0.098473347
11976,296.36222,-14.69495,18.509,0.079,17.381,0.05,1.128,0.093493315
12119,296.28398,-14.93742,18.678,0.091,16.975,0.054,1.703,0.105815878
12589,296.21159,-14.78562,18.61,0.089,16.532,0.028,2.078,0.093300589
12677,296.22129,-14.81411,18.407,0.075,17.383,0.058,1.024,0.094810337
12706,296.24407,-14.73041,18.409,0.074,17.356,0.057,1.053,0.093407708
13262,296.22844,-14.72406,18.512,0.081,17.335,0.057,1.177,0.099045444
14689,296.14375,-14.94452,18.37,0.071,17.297,0.06,1.073,0.092956979
14847,296.16602,-14.82102,19.049,0.127,17.339,0.056,1.71,0.138798415
14919,296.226,-14.79249,18.508,0.082,17.154,0.048,1.354,0.095015788
15165,296.15721,-14.77985,18.601,0.087,17.134,0.047,1.467,0.09888377
15345,296.24015,-14.75854,18.676,0.093,16.828,0.037,1.848,0.10008996
16525,296.20754,-14.74741,19.253,0.151,17.254,0.052,1.999,0.159702849
18334,296.3048,-14.67508,19.243,0.141,16.889,0.034,2.354,0.145041373
18777,296.41234,-14.78829,18.762,0.08,17.017,0.04,1.745,0.089442719
19293,296.16115,-14.89973,18.792,0.103,17.118,0.046,1.674,0.112805142
19861,296.12985,-14.82567,19.346,0.163,17.063,0.044,2.283,0.168834238
20898,296.30948,-14.80792,19.165,0.138,16.994,0.047,2.171,0.145784087
94,296.19855,-14.71823,18.579,0.081,15.278,0.01,3.301,0.08161495
102,296.38612,-14.85478,19.305,0.125,15.861,0.016,3.444,0.12601984
106,296.29324,-14.90859,17.938,0.05,15.398,0.012,2.54,0.051419841
117,296.42594,-14.78076,19.301,0.125,15.225,0.01,4.076,0.125399362
153,296.25735,-14.77634,18.777,0.1,15.449,0.012,3.328,0.100717426
164,296.36525,-14.7382,18.52,0.066,15.162,0.009,3.358,0.06661081
180,296.35531,-14.71987,17.886,0.04,15.039,0.009,2.847,0.041
203,296.19679,-14.7511,18.738,0.098,15.035,0.009,3.703,0.098412398
243,296.15348,-14.74935,17.719,0.042,14.88,0.008,2.839,0.042755117
262,296.25351,-14.76931,17.572,0.037,15.035,0.009,2.537,0.038078866
270,296.16417,-14.701,18.739,0.093,15.354,0.01,3.385,0.093536089
286,296.27052,-14.73476,17.683,0.041,15.153,0.01,2.53,0.042201896
299,296.26108,-14.73758,17.45,0.034,15.07,0.009,2.38,0.035171011
313,296.25864,-14.73678,17.718,0.042,15.452,0.013,2.266,0.043965896
316,296.22874,-14.79328,18.5,0.081,15.927,0.018,2.573,0.0829759
319,296.1512,-14.90698,19.145,0.138,15.428,0.012,3.717,0.138520757
327,296.27563,-14.74918,19.367,0.164,15.976,0.019,3.391,0.165096941
342,296.28421,-14.81188,16.919,0.022,14.778,0.008,2.141,0.0234094
348,296.18379,-14.68244,17.629,0.037,14.965,0.008,2.664,0.037854986
350,296.24753,-14.82685,17.756,0.043,15.195,0.01,2.561,0.04414748
351,296.24298,-14.83828,17.831,0.047,15.523,0.013,2.308,0.048764741
361,296.09812,-14.78564,19.207,0.145,16.07,0.02,3.137,0.146372812
365,296.2992,-14.69142,17.723,0.04,15.237,0.01,2.486,0.041231056
367,296.38771,-14.87301,17.766,0.036,15.057,0.009,2.709,0.037107951
368,296.17956,-14.77517,18.045,0.055,15.468,0.012,2.577,0.056293872
385,296.17297,-14.7113,18.417,0.071,15.745,0.014,2.672,0.07236712
399,296.0803,-14.91414,18.568,0.096,15.333,0.011,3.235,0.096628153
406,296.20155,-14.81271,18.303,0.069,15.481,0.013,2.822,0.070213959
407,296.21728,-14.77642,17.87,0.048,15.394,0.012,2.476,0.049477268
411,296.30182,-14.90358,18.394,0.072,15.374,0.011,3.02,0.072835431
417,296.10117,-14.92425,18.414,0.075,15.688,0.015,2.726,0.076485293
421,296.15848,-14.83374,17.91,0.049,15.094,0.009,2.816,0.049819675
437,296.18201,-14.78494,18.635,0.09,16.088,0.02,2.547,0.092195445
439,296.23456,-14.77322,17.275,0.03,15.107,0.01,2.168,0.031622777
442,296.20242,-14.8177,17.872,0.048,15.577,0.013,2.295,0.049729267
456,296.17461,-14.78841,18.057,0.056,15.699,0.015,2.358,0.057974132
481,296.26769,-14.68058,18.597,0.082,15.934,0.016,2.663,0.083546394
488,296.30353,-14.74166,17.877,0.047,15.513,0.016,2.364,0.049648766
498,296.19167,-14.82955,18.039,0.055,15.404,0.012,2.635,0.056293872
505,296.24052,-14.84932,18.845,0.108,15.623,0.014,3.222,0.108903627
508,296.30461,-14.71427,17.845,0.044,15.669,0.013,2.176,0.045880279
540,296.21112,-14.91068,19.013,0.123,16.092,0.02,2.921,0.124615408
565,296.22632,-14.72547,18.179,0.061,15.627,0.014,2.552,0.062585941
593,296.12413,-14.72402,18.18,0.058,15.734,0.014,2.446,0.059665736
595,296.32184,-14.8362,18.041,0.045,15.843,0.015,2.198,0.047434165
608,296.34788,-14.75763,18.643,0.073,16.059,0.018,2.584,0.075186435
616,296.18319,-14.76298,18.354,0.071,15.661,0.014,2.693,0.07236712
618,296.24557,-14.82234,17.694,0.042,15.566,0.013,2.128,0.043965896
620,296.22933,-14.65249,17.698,0.039,15.496,0.011,2.202,0.040521599
631,296.10421,-14.79254,17.933,0.05,15.67,0.014,2.263,0.05192302
643,296.22372,-14.83954,17.928,0.051,15.789,0.016,2.139,0.053450912
654,296.27779,-14.82281,18.45,0.077,16.004,0.019,2.446,0.07930952
661,296.16415,-14.84146,18.66,0.092,16.054,0.019,2.606,0.093941471
685,296.18369,-14.77243,17.568,0.037,15.38,0.012,2.188,0.038897301
692,296.15969,-14.85963,18.204,0.063,15.841,0.016,2.363,0.065
751,296.27219,-14.76137,18.044,0.054,15.641,0.014,2.403,0.055785303
771,296.24573,-14.79351,17.739,0.043,15.535,0.013,2.204,0.044922155
811,296.11263,-14.91131,18.481,0.079,15.422,0.012,3.059,0.079906195
812,296.06145,-14.8147,18.406,0.084,15.804,0.016,2.602,0.085510233
936,296.19488,-14.82261,18.242,0.065,15.829,0.016,2.413,0.066940272
1068,296.17439,-14.83888,18.485,0.08,16.084,0.02,2.401,0.082462113
1160,296.17514,-14.85969,17.985,0.053,15.672,0.014,2.313,0.05481788
1175,296.24627,-14.86645,17.841,0.046,15.636,0.014,2.205,0.048083261
1186,296.31615,-14.82493,19.144,0.11,15.412,0.011,3.732,0.110548632
1220,296.10461,-14.84272,18.108,0.058,15.826,0.016,2.282,0.060166436
1311,296.16007,-14.71459,17.793,0.042,15.666,0.013,2.127,0.043965896
1327,296.16806,-14.83692,18.081,0.057,15.934,0.018,2.147,0.059774577
1473,296.38454,-14.7362,18.139,0.048,16.008,0.018,2.131,0.051264022
1497,296.19254,-14.86781,18.078,0.057,15.865,0.017,2.213,0.059481089
1631,296.28272,-14.91359,27.265,5.897,15.262,0.011,12.003,5.897010259
1784,296.26704,-14.91036,17.84,0.046,15.701,0.015,2.139,0.048383882
1969,296.29507,-14.82566,18.237,0.064,15.995,0.019,2.242,0.066760767
1995,296.11257,-14.91157,18.481,0.079,15.422,0.012,3.059,0.079906195
2138,296.23264,-14.91174,18.228,0.064,16.082,0.02,2.146,0.067052218
2160,296.24275,-14.78727,18.35,0.07,16.192,0.022,2.158,0.073375745
9213,296.27406,-14.80375,17.995,0.052,15.591,0.014,2.404,0.053851648
9259,296.17133,-14.85966,18.479,0.079,15.916,0.017,2.563,0.080808415
11562,296.31209,-14.92194,18.17,0.06,15.792,0.016,2.378,0.062096699
13337,296.43114,-14.90797,18.447,0.062,16.015,0.018,2.432,0.06456005
14549,296.10329,-14.84317,18.206,0.063,15.585,0.013,2.621,0.064327288
16882,296.21879,-14.82095,18.485,0.08,15.488,0.013,2.997,0.081049368
