ID,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
13190,296.13241,-14.69052,17.36,0.06,17.997,0.05,0.637,0.078102497
13191,296.26425,-14.89836,17.39,0.04,18.561,0.084,1.171,0.093037627
13192,296.22216,-14.88989,17.32,0.05,18.564,0.085,1.244,0.098615415
13193,296.08675,-14.72777,17.91,0.11,19.077,0.146,1.167,0.182800438
13194,296.36348,-14.7394,17.56,0.05,18.879,0.088,1.319,0.101212647
13195,296.36873,-14.87329,17.56,0.08,18.336,0.057,0.776,0.098229324
13197,296.15343,-14.76028,17.56,0.04,18.891,0.111,1.331,0.117987287
13198,296.24324,-14.82373,17.12,0.07,18.406,0.075,1.286,0.102591423
13202,296.27571,-14.89925,17.66,0.05,18.868,0.108,1.208,0.119012604
13204,296.2349,-14.66407,17.48,0.07,18.6,0.082,1.12,0.107814656
13205,296.39298,-14.62867,17.79,0.1,18.98,0.118,1.19,0.15467385
13206,296.22512,-14.90432,17.51,0.08,18.787,0.102,1.277,0.129630243
13207,296.4046,-14.72683,17.83,0.11,18.784,0.081,0.954,0.136605271
13213,296.20631,-14.69595,17.61,0.05,18.716,0.091,1.106,0.103831594
13216,296.1721,-14.76575,17.58,0.08,18.586,0.086,1.006,0.117456375
13218,296.34391,-14.76523,17.49,0.05,18.625,0.072,1.135,0.087658428
13222,296.15441,-14.89964,17.49,0.07,18.832,0.106,1.342,0.127027556
13223,296.2808,-14.69942,17.51,0.05,18.792,0.097,1.282,0.109128365
13224,296.26859,-14.89362,17.73,0.07,18.857,0.107,1.127,0.127863208
13226,296.40451,-14.85759,17.32,0.07,18.501,0.065,1.181,0.095524866
13227,296.08384,-14.87463,17.56,0.07,18.41,0.085,0.85,0.110113578
13230,296.2759,-14.79433,17.3,0.07,18.467,0.078,1.167,0.10480458
13231,296.14598,-14.71459,17.52,0.07,18.22,0.06,0.7,0.092195445
13232,296.28305,-14.85516,17.48,0.08,18.793,0.101,1.313,0.128844868
13234,296.44671,-14.91217,17.39,0.11,18.588,0.069,1.198,0.129849913
13235,296.28425,-14.93491,17.45,0.03,18.771,0.099,1.321,0.103445638
13236,296.26836,-14.7395,17.51,0.06,18.649,0.09,1.139,0.108166538
13237,296.34143,-14.89463,17.4,0.05,18.757,0.08,1.357,0.094339811
13238,296.10806,-14.71971,17.61,0.07,18.249,0.062,0.639,0.093509358
13239,296.35011,-14.86803,17.66,0.07,18.813,0.084,1.153,0.109343495
