,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
3681,3682,296.15853,-14.807789999999999,16.02,0.07,0.09,16.11,0.09,0.04,16.11,0.09,-0.04,16.39,0.13,-9999.0,12.11,-9999.0,0.24620908742614,296.158508,-14.807725,17.63,0.039,16.765,0.027999999999999997,16.423,0.026000000000000002,3,4,2
3686,3687,296.11748,-14.81466,15.97,0.06,0.02,16.11,0.07,0.01,15.7,0.07,0.04,15.62,0.09,0.3,12.36,-9999.0,0.32096520832623,296.117401,-14.814614,17.564,0.037000000000000005,16.81,0.028999999999999998,16.436,0.026000000000000002,3,4,2
3707,3708,296.43444,-14.834679999999999,15.93,0.08,-0.13,16.12,0.07,-0.04,15.47,0.09,-0.44,15.63,0.12,-0.46,12.45,-9999.0,0.290272839884365,296.434357,-14.834672,17.483,0.028999999999999998,16.722,0.022000000000000002,16.324,0.023,3,4,2
3711,3712,296.27344,-14.808539999999999,15.96,0.06,-0.09,16.12,0.03,-0.02,15.61,0.06,-0.28,15.69,0.08,-0.06,11.96,-9999.0,0.33747535163615194,296.273346,-14.808517000000002,17.578,0.037000000000000005,16.736,0.027000000000000003,16.42,0.026000000000000002,3,4,2
3831,3832,296.27418,-14.800170000000001,15.99,0.06,-0.04,16.15,0.05,-0.06,16.03,0.12,-0.06,16.27,0.25,0.24,12.04,-9999.0,0.248062066793724,296.274109,-14.800164,17.574,0.037000000000000005,16.748,0.027000000000000003,16.403,0.026000000000000002,3,4,2
3884,3885,296.2939,-14.708770000000001,15.98,0.03,-0.04,16.17,0.07,-0.1,15.91,0.07,-0.34,15.62,0.09,-0.17,12.5,-9999.0,0.16687019588256,296.293854,-14.708782999999999,17.537,0.034,16.573,0.018000000000000002,16.344,0.022000000000000002,3,4,2
3935,3936,296.24567,-14.78655,16.05,0.05,-0.18,16.19,0.03,-0.11,16.64,0.23,0.42,15.9,0.11,1.68,9.62,0.04,0.183624783607977,296.245636,-14.786510999999999,17.585,0.038,16.734,0.027000000000000003,16.459,0.027000000000000003,3,4,2
3950,3951,296.20826,-14.79721,15.98,0.05,-0.01,16.19,0.04,0.11,16.05,0.12,0.38,15.51,0.11,0.14,12.88,-9999.0,0.497418458962862,296.208191,-14.797331,17.674,0.040999999999999995,16.91,0.032,16.454,0.027000000000000003,3,4,2
4033,4034,296.37489,-14.798060000000001,16.18,0.07,-0.13,16.21,0.05,-0.09,16.15,0.11,-9999.0,15.71,0.11,-0.75,12.53,-9999.0,0.151772299527043,296.37484700000005,-14.798067000000001,17.733,0.035,16.792,0.023,16.549,0.027000000000000003,3,4,2
4035,4036,296.23482,-14.86258,16.16,0.05,0.19,16.21,0.05,0.1,16.22,0.11,0.17,15.35,0.1,-0.23,12.5,-9999.0,0.168909177912224,296.234772,-14.862573000000001,17.709,0.042,16.987000000000002,0.033,16.683,0.032,3,4,2
4174,4175,296.27706,-14.79449,16.19,0.05,-0.06,16.25,0.04,-0.08,15.85,0.14,-0.58,15.45,0.08,-0.12,12.52,-9999.0,0.18113708796597802,296.277008,-14.794492000000002,17.776,0.044000000000000004,16.873,0.03,16.624000000000002,0.031,3,4,2
4188,4189,296.26332,-14.841920000000002,16.06,0.07,-0.17,16.26,0.06,-0.25,15.84,0.08,-0.29,15.8,0.12,-0.44,12.43,-9999.0,0.2882680729117669,296.26324500000004,-14.841885999999999,17.593,0.038,16.749000000000002,0.027000000000000003,16.508,0.027999999999999997,3,4,2
4202,4203,296.24957,-14.860579999999999,16.16,0.05,-0.04,16.26,0.05,-0.04,16.45,0.24,0.37,15.62,0.12,-0.12,12.04,0.22,0.203383447033268,296.24951200000004,-14.860573,17.724,0.042,17.017,0.034,16.680999999999997,0.032,3,4,2
4370,4371,296.31126,-14.836739999999999,16.2,0.03,-0.07,16.31,0.05,-0.08,16.08,0.09,-0.32,15.69,0.13,-9999.0,12.06,0.15,0.25880186066903604,296.311188,-14.836757999999998,17.766,0.043,16.974,0.035,16.54,0.028999999999999998,3,4,2
4440,4441,296.24582000000004,-14.889629999999999,16.27,0.05,0.29,16.33,0.08,0.37,16.4,0.09,0.2,15.89,0.13,0.45,12.8,-9999.0,0.11261428801952099,296.245789,-14.889639,17.847,0.047,17.132,0.037000000000000005,16.874000000000002,0.038,3,4,2
4471,4472,296.26825,-14.766279999999998,16.2,0.05,0.07,16.34,0.03,0.03,16.97,0.17,0.42,15.93,0.11,0.43,11.17,0.17,0.37464497061462393,296.268158,-14.766334,17.852999999999998,0.047,17.055,0.036000000000000004,16.844,0.037000000000000005,3,4,2
4549,4550,296.20552999999995,-14.84585,16.23,0.04,0.12,16.36,0.07,0.1,16.23,0.1,0.68,15.26,0.06,0.72,12.24,-9999.0,0.319396611982674,296.205444,-14.845819,17.852,0.047,16.959,0.033,16.707,0.033,3,4,2
4568,4569,296.2258,-14.806220000000001,16.21,0.07,-0.1,16.36,0.05,-0.15,16.0,0.08,-0.65,15.9,0.12,-9999.0,12.16,-9999.0,0.21596987576305,296.22573900000003,-14.806208999999999,17.798,0.045,16.857,0.03,16.622,0.031,3,4,2
5107,5108,296.30265,-14.847679999999999,16.42,0.05,0.08,16.48,0.04,-0.19,15.95,0.07,-0.81,15.62,0.08,-9999.0,12.27,-9999.0,0.3444999748607411,296.302551,-14.847679999999999,17.977,0.051,17.186,0.039,17.069000000000003,0.044000000000000004,3,4,2
5472,5473,296.26542,-14.92487,15.9,0.04,0.06,16.55,0.19,0.49,15.76,0.06,0.02,15.68,0.18,-9999.0,12.49,-9999.0,0.620534413315141,296.265289,-14.924987,17.427,0.033,16.546,0.023,16.302,0.023,3,4,2
