ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
1338,2,296.36142,-14.90521,14.94,0.06,15.84,0.01,0.9,0.060827625
1341,2,296.30022,-14.86826,15,0.04,16.11,0.013,1.11,0.042059482
1344,2,296.22554,-14.88011,14.91,0.05,15.939,0.011,1.029,0.051195703
1351,2,296.17167,-14.71605,15.01,0.04,16.049,0.011,1.039,0.041484937
1352,2,296.40909,-14.71209,15.13,0.05,16.245,0.013,1.115,0.051662365
1353,2,296.23307,-14.78889,14.84,0.05,15.969,0.012,1.129,0.051419841
1363,2,296.11173,-14.81478,15.18,0.06,16.085,0.013,0.905,0.061392182
1366,2,296.18052,-14.82188,15.07,0.03,16.008,0.012,0.938,0.032310989
1372,2,296.22372,-14.87956,15,0.04,15.893,0.011,0.893,0.041484937
1375,2,296.27622,-14.75816,15.08,0.04,16,0.012,0.92,0.041761226
1380,2,296.13208,-14.83257,15.06,0.04,16.094,0.013,1.034,0.042059482
1381,2,296.36062,-14.64106,15.02,0.06,15.937,0.01,0.917,0.060827625
1387,2,296.2516,-14.80102,15.17,0.04,16.307,0.015,1.137,0.042720019
1390,2,296.34043,-14.81332,15.19,0.04,15.99,0.011,0.8,0.041484937
1394,2,296.38623,-14.68603,15.1,0.06,15.899,0.01,0.799,0.060827625
1395,2,296.24101,-14.77739,15.1,0.07,16.226,0.014,1.126,0.071386273
1396,2,296.16277,-14.90994,14.93,0.08,15.869,0.011,0.939,0.080752709
1405,2,296.26784,-14.92617,14.88,0.04,15.887,0.011,1.007,0.041484937
1408,2,296.23075,-14.87487,14.97,0.07,15.913,0.011,0.943,0.070859015
1421,2,296.37,-14.84959,15.15,0.04,16.148,0.012,0.998,0.041761226
1428,2,296.223,-14.78365,15,0.07,16.03,0.012,1.03,0.071021124
1436,2,296.24884,-14.77692,14.99,0.03,16.016,0.012,1.026,0.032310989
1437,2,296.40417,-14.82505,15.12,0.07,16.179,0.012,1.059,0.071021124
1438,2,296.44163,-14.8501,15.32,0.11,16.27,0.013,0.95,0.110765518
1444,2,296.34108,-14.65118,15.09,0.08,15.981,0.011,0.891,0.080752709
1451,2,296.29922,-14.79196,15.11,0.05,16.117,0.013,1.007,0.051662365
1457,2,296.08467,-14.77598,15.18,0.07,16.326,0.017,1.146,0.072034714
1462,2,296.24308,-14.77248,15.15,0.07,16.251,0.014,1.101,0.071386273
1467,2,296.38849,-14.80333,15.19,0.07,16.247,0.013,1.057,0.07119691
1468,2,296.35961,-14.76966,15.21,0.03,16.219,0.012,1.009,0.032310989
1471,2,296.07491,-14.84209,15.28,0.09,16.455,0.018,1.175,0.091782351
1477,2,296.3278,-14.72582,15.31,0.04,16.193,0.012,0.883,0.041761226
1479,2,296.11027,-14.92047,15.14,0.06,16.034,0.012,0.894,0.061188234
1480,2,296.24219,-14.90293,15.07,0.06,16.009,0.012,0.939,0.061188234
1481,2,296.18083,-14.74719,15.25,0.07,16.198,0.014,0.948,0.071386273
1483,2,296.25469,-14.91049,14.71,0.07,15.676,0.01,0.966,0.070710678
1487,2,296.40784,-14.82461,15.08,0.06,16.072,0.011,0.992,0.061
1491,2,296.23327,-14.85273,15.01,0.06,16.007,0.012,0.997,0.061188234
1493,2,296.16886,-14.70239,15.17,0.05,15.993,0.011,0.823,0.051195703
1494,2,296.20335,-14.74503,15.2,0.06,16.302,0.015,1.102,0.061846584
1507,2,296.21492,-14.78258,15.06,0.04,16.309,0.015,1.249,0.042720019
1509,2,296.20503,-14.73254,15.25,0.03,16.301,0.015,1.051,0.03354102
1513,2,296.35464,-14.67423,15.16,0.04,16.089,0.012,0.929,0.041761226
1526,2,296.31293,-14.8012,15.08,0.04,16.087,0.012,1.007,0.041761226
1528,2,296.2961,-14.89765,15.05,0.05,16.022,0.012,0.972,0.051419841
1535,2,296.22927,-14.76873,15.08,0.07,16.035,0.012,0.955,0.071021124
1539,2,296.26614,-14.71331,15.24,0.05,16.336,0.014,1.096,0.05192302
1541,2,296.09529,-14.90017,15.24,0.09,16.131,0.013,0.891,0.090934042
1547,2,296.29332,-14.83707,15.25,0.06,16.361,0.015,1.111,0.061846584
1549,2,296.18881,-14.7138,15.09,0.04,16.07,0.012,0.98,0.041761226
1557,2,296.24417,-14.84365,15.08,0.03,16.101,0.013,1.021,0.032695565
1560,2,296.359,-14.90219,15.19,0.04,16.223,0.012,1.033,0.041761226
1568,2,296.17098,-14.81347,15.22,0.04,16.258,0.014,1.038,0.04237924
1571,2,296.22061,-14.88528,14.97,0.03,15.913,0.011,0.943,0.031953091
1572,2,296.14113,-14.84907,15.26,0.07,16.283,0.014,1.023,0.071386273
1578,2,296.35301,-14.80183,15.18,0.06,16.252,0.013,1.072,0.061392182
1580,2,296.12102,-14.79166,15.25,0.04,16.134,0.013,0.884,0.042059482
1581,2,296.19437,-14.77764,15.23,0.04,16.289,0.014,1.059,0.04237924
1599,2,296.28544,-14.78437,15.12,0.06,16.002,0.012,0.882,0.061188234
1605,2,296.10427,-14.82904,15.22,0.06,16.276,0.014,1.056,0.061611687
