ID,RA,Dec,k80mag,e80mag,k24mag,e24mag,eightzeroMINUStwentyfour,ERROReightzeroMINUStwentyfour
888,296.16512,-14.90679,14.44,0.06,12.76,-9999,1.68,9999
889,296.24478,-14.84503,14.17,0.05,12.59,-9999,1.58,9999
890,296.23203,-14.65333,14.67,0.05,11.88,-9999,2.79,9999
891,296.16923,-14.88418,14.41,0.06,11.88,-9999,2.53,9999
892,296.36869,-14.74891,14.09,0.04,12.99,-9999,1.1,9999
893,296.27273,-14.82619,14.88,0.06,12.76,-9999,2.12,9999
894,296.24956,-14.82093,14.31,0.03,10.99,0.15,3.32,0.152970585
895,296.27212,-14.83149,14.56,0.19,12.56,-9999,2,9999.000002
896,296.06393,-14.81412,14.46,0.06,12.41,-9999,2.05,9999
897,296.15118,-14.82489,14.43,0.03,12,-9999,2.43,9999
898,296.11704,-14.88514,14.63,0.05,13.32,-9999,1.31,9999
899,296.29034,-14.66346,14.79,0.05,12.98,-9999,1.81,9999
900,296.27004,-14.77461,14.23,0.03,12.27,-9999,1.96,9999
901,296.24381,-14.85481,14.92,0.08,12.49,-9999,2.43,9999
902,296.07838,-14.9038,14.46,0.05,12.36,-9999,2.1,9999
903,296.15623,-14.86099,13.94,0.05,12.21,-9999,1.73,9999
904,296.186,-14.71863,14.56,0.05,11.64,0.16,2.92,0.167630546
905,296.19471,-14.68917,14.64,0.05,12.42,-9999,2.22,9999
906,296.23635,-14.83041,14.17,0.05,12.28,-9999,1.89,9999
907,296.33008,-14.76777,14.37,0.04,12.33,-9999,2.04,9999
908,296.3171,-14.64107,15.01,0.05,12.56,-9999,2.45,9999
909,296.16709,-14.74346,14.94,0.06,12.12,-9999,2.82,9999
910,296.10225,-14.84017,14.65,0.04,12.12,-9999,2.53,9999
911,296.23877,-14.89657,14.32,0.04,12.43,-9999,1.89,9999
912,296.15195,-14.70034,14,0.04,11.53,-9999,2.47,9999
913,296.20668,-14.92663,14.38,0.16,12.56,-9999,1.82,9999.000001
914,296.13893,-14.7516,14.5,0.06,12.33,0.23,2.17,0.237697286
915,296.165,-14.85327,14.28,0.08,10.67,0.12,3.61,0.144222051
916,296.36821,-14.91326,14.6,0.15,12.67,-9999,1.93,9999.000001
917,296.23017,-14.81552,14.12,0.04,12.09,-9999,2.03,9999
918,296.27654,-14.72609,14.7,0.09,9.69,0.04,5.01,0.098488578
919,296.12967,-14.87665,14.05,0.07,11.36,0.05,2.69,0.086023253
920,296.16249,-14.85978,14.39,0.05,9.72,0.04,4.67,0.064031242
921,296.23009,-14.6512,14.29,0.04,12.43,-9999,1.86,9999
922,296.16383,-14.86169,14.58,0.05,12.17,-9999,2.41,9999
923,296.4064,-14.80079,14.16,0.05,12.58,-9999,1.58,9999
924,296.30954,-14.80203,14.16,0.04,12.45,-9999,1.71,9999
925,296.21354,-14.84353,14.63,0.05,11.94,-9999,2.69,9999
926,296.12463,-14.88023,14.66,0.06,12.37,-9999,2.29,9999
927,296.22858,-14.9329,14.59,0.09,12.62,-9999,1.97,9999
928,296.42693,-14.86507,14.9,0.08,12.57,-9999,2.33,9999
929,296.30981,-14.77058,14.9,0.06,12.1,-9999,2.8,9999
930,296.29047,-14.79542,14.14,0.06,11.82,0.12,2.32,0.134164079
931,296.36964,-14.87292,14.12,0.05,12.43,-9999,1.69,9999
932,296.21507,-14.94357,14.37,0.11,12.66,-9999,1.71,9999.000001
933,296.28732,-14.79587,14.5,0.04,12.49,-9999,2.01,9999
934,296.3841,-14.71772,14.82,0.08,12.8,-9999,2.02,9999
935,296.19778,-14.76335,14.18,0.05,12.07,-9999,2.11,9999
936,296.19488,-14.82261,14.09,0.03,12,0.19,2.09,0.192353841
937,296.29527,-14.77354,14.3,0.04,12.81,-9999,1.49,9999
938,296.23695,-14.81634,14.64,0.04,11.56,0.15,3.08,0.155241747
939,296.32133,-14.75828,12.21,0.05,7.41,0.01,4.8,0.050990195
940,296.28985,-14.89584,14.69,0.07,12.9,-9999,1.79,9999
941,296.21193,-14.7224,14.51,0.04,9.11,0.04,5.4,0.056568542
942,296.37154,-14.9042,14.16,0.06,12.52,-9999,1.64,9999
943,296.16249,-14.76067,14.96,0.05,11.6,0.18,3.36,0.186815417
944,296.22611,-14.72835,14.47,0.07,12.22,-9999,2.25,9999
945,296.05792,-14.84481,14.55,0.06,12.27,-9999,2.28,9999
946,296.3559,-14.72544,14.16,0.05,12.58,-9999,1.58,9999
947,296.07886,-14.85536,14.89,0.1,12.24,-9999,2.65,9999.000001
948,296.37422,-14.63271,14.83,0.11,12.15,-9999,2.68,9999.000001
949,296.18202,-14.79817,13.05,0.03,9.34,0.02,3.71,0.036055513
950,296.33692,-14.639,14.99,0.07,12.59,-9999,2.4,9999
951,296.29422,-14.88469,14.23,0.05,10.97,0.12,3.26,0.13
952,296.26885,-14.72955,14.9,0.07,11.19,-9999,3.71,9999
953,296.33006,-14.64385,14.96,0.09,12.56,-9999,2.4,9999
954,296.24779,-14.87731,14.7,0.04,12.46,-9999,2.24,9999
955,296.21253,-14.77143,14.68,0.05,13.16,-9999,1.52,9999
956,296.17873,-14.94162,14.88,0.07,12.34,-9999,2.54,9999
957,296.26086,-14.83242,14.77,0.08,11.97,0.13,2.8,0.152643375
958,296.23336,-14.91262,14.8,0.05,11.93,0.05,2.87,0.070710678
959,296.27899,-14.75508,14.86,0.04,12.65,-9999,2.21,9999
960,296.17422,-14.70016,14.72,0.06,12.45,-9999,2.27,9999
961,296.28568,-14.87812,14.14,0.03,11.84,0.13,2.3,0.133416641
962,296.24235,-14.77008,14.92,0.09,12.59,-9999,2.33,9999
963,296.19794,-14.80249,14.19,0.06,12.5,-9999,1.69,9999
964,296.16416,-14.71964,14.45,0.05,10.48,0.09,3.97,0.102956301
965,296.20722,-14.74505,14.26,0.07,12.95,-9999,1.31,9999
966,296.25739,-14.8993,15.22,0.08,12.42,-9999,2.8,9999
967,296.37589,-14.7309,14.65,0.08,12.42,-9999,2.23,9999
968,296.25287,-14.77035,14.54,0.09,12.31,-9999,2.23,9999
969,296.26238,-14.84864,14.44,0.05,12.49,-9999,1.95,9999
970,296.35676,-14.81927,14.6,0.03,12.82,-9999,1.78,9999
971,296.11882,-14.84548,14.3,0.07,11.35,0.17,2.95,0.183847763
972,296.2263,-14.68306,14.65,0.05,12.55,-9999,2.1,9999
973,296.12699,-14.78975,14.31,0.03,10.18,0.07,4.13,0.076157731
974,296.32251,-14.69566,14.56,0.04,12.08,-9999,2.48,9999
975,296.29329,-14.76405,14.25,0.04,11.76,-9999,2.49,9999
976,296.31318,-14.80477,14.72,0.06,12.23,-9999,2.49,9999
977,296.22715,-14.742,14.67,0.06,12.7,-9999,1.97,9999
978,296.26434,-14.91442,14.68,0.07,12.34,-9999,2.34,9999
979,296.24552,-14.74956,14.33,0.03,12.16,-9999,2.17,9999
980,296.3005,-14.66264,14.73,0.07,13.18,-9999,1.55,9999
981,296.36409,-14.63904,14.97,0.1,12.55,-9999,2.42,9999.000001
982,296.22091,-14.83114,15.02,0.1,12.11,-9999,2.91,9999.000001
983,296.28607,-14.72358,14.96,0.05,12.78,-9999,2.18,9999
984,296.14721,-14.82902,14.89,0.05,13.39,-9999,1.5,9999
985,296.21878,-14.66318,14.64,0.04,12.69,-9999,1.95,9999
986,296.23268,-14.81768,14.93,0.07,12.2,-9999,2.73,9999
987,296.27726,-14.86934,15.04,0.14,11.98,-9999,3.06,9999.000001
988,296.28573,-14.74072,14.1,0.04,12.4,-9999,1.7,9999
989,296.28527,-14.77252,14.9,0.04,11.73,0.24,3.17,0.243310501
990,296.22784,-14.75351,14.83,0.04,12.03,-9999,2.8,9999
991,296.21777,-14.78553,14.2,0.05,11.54,0.14,2.66,0.148660687
992,296.29455,-14.80926,14.11,0.05,12.18,-9999,1.93,9999
993,296.26496,-14.72719,14.42,0.06,9.69,0.05,4.73,0.078102497
994,296.27114,-14.85257,14.26,0.03,10.18,0.07,4.08,0.076157731
995,296.40447,-14.80689,14.86,0.12,12.75,-9999,2.11,9999.000001
996,296.05798,-14.83924,14.81,0.06,12.28,-9999,2.53,9999
997,296.24718,-14.76697,14.45,0.04,11.72,-9999,2.73,9999
998,296.2324,-14.90058,15.23,0.15,12.58,-9999,2.65,9999.000001
999,296.17265,-14.85896,15.01,0.06,12.37,-9999,2.64,9999
1000,296.20958,-14.94349,14.03,0.06,12.28,-9999,1.75,9999
1001,296.25169,-14.73629,14.09,0.05,10.68,0.09,3.41,0.102956301
1002,296.28954,-14.75593,14.85,0.06,11.78,-9999,3.07,9999
1003,296.18292,-14.78774,14.76,0.05,12.64,-9999,2.12,9999
1004,296.24039,-14.83157,14.61,0.05,12.54,-9999,2.07,9999
1005,296.22874,-14.8155,14.36,0.06,12.22,-9999,2.14,9999
1006,296.24419,-14.81313,14.33,0.05,12.92,-9999,1.41,9999
1007,296.34484,-14.70667,14.8,0.08,12,-9999,2.8,9999
1008,296.24542,-14.85231,14.43,0.04,12.61,-9999,1.82,9999
1009,296.37105,-14.8905,14.86,0.09,12.36,-9999,2.5,9999
1010,296.20528,-14.77653,14.18,0.04,12.58,-9999,1.6,9999
1011,296.22524,-14.83635,14.44,0.08,12.22,-9999,2.22,9999
1012,296.42871,-14.8785,15.05,0.09,12.52,-9999,2.53,9999
1013,296.32855,-14.88639,15.12,0.09,12.69,-9999,2.43,9999
1014,296.11074,-14.76174,14.42,0.04,12.68,-9999,1.74,9999
1015,296.23341,-14.6881,14.72,0.05,12.94,-9999,1.78,9999
1016,296.16522,-14.86933,14.72,0.05,11.64,0.2,3.08,0.206155281
1017,296.13679,-14.72049,14.51,0.04,12.67,-9999,1.84,9999
1018,296.24467,-14.83238,14.39,0.06,12.5,-9999,1.89,9999
1019,296.33087,-14.70701,14.34,0.05,11.3,0.08,3.04,0.094339811
1020,296.23573,-14.66725,14.72,0.05,12.71,-9999,2.01,9999
1021,296.24286,-14.81939,14.64,0.06,12.27,-9999,2.37,9999
1022,296.37736,-14.8422,13.87,0.03,12.15,-9999,1.72,9999
1023,296.23234,-14.82881,14.65,0.08,12.2,-9999,2.45,9999
1024,296.20544,-14.74466,14.65,0.07,12.62,-9999,2.03,9999
1025,296.41017,-14.68638,15.09,0.11,11.12,0.09,3.97,0.142126704
1026,296.282,-14.75313,14.75,0.06,12.13,-9999,2.62,9999
1027,296.37274,-14.67893,14.88,0.1,12.88,-9999,2,9999.000001
1028,296.32626,-14.90982,14.98,0.1,11.8,0.15,3.18,0.180277564
1029,296.18832,-14.82665,14.58,0.08,11.76,-9999,2.82,9999
1030,296.32072,-14.93264,14.92,0.07,11.73,0.21,3.19,0.221359436
1031,296.2395,-14.77544,14.29,0.05,12.18,-9999,2.11,9999
1032,296.40053,-14.67689,14.96,0.1,12.64,-9999,2.32,9999.000001
1033,296.19091,-14.85227,14.48,0.03,12.96,0.12,1.52,0.123693169
1034,296.33761,-14.79731,14.84,0.05,12.38,-9999,2.46,9999
1035,296.33577,-14.76125,14.88,0.08,12.55,-9999,2.33,9999
1036,296.25361,-14.84689,14.09,0.05,12.31,-9999,1.78,9999
1037,296.27564,-14.77443,15.01,0.12,12.17,-9999,2.84,9999.000001
1038,296.08825,-14.75603,14.81,0.07,12.52,-9999,2.29,9999
1039,296.17853,-14.69105,14.72,0.06,12.64,-9999,2.08,9999
1040,296.04068,-14.75571,14.96,0.07,11.99,-9999,2.97,9999
1041,296.11932,-14.89223,14.82,0.06,12.84,-9999,1.98,9999
1042,296.38189,-14.77029,14.81,0.11,11.74,0.08,3.07,0.136014705
1043,296.14676,-14.75353,14.85,0.04,12.51,-9999,2.34,9999
1044,296.30483,-14.73928,14.46,0.06,10,0.07,4.46,0.092195445
1045,296.37487,-14.91908,14.92,0.09,12.23,-9999,2.69,9999
1046,296.24398,-14.79239,13.31,0.07,10.67,-9999,2.64,9999
1047,296.19328,-14.69662,14.89,0.08,12.34,-9999,2.55,9999
1048,296.31267,-14.75345,15.2,0.11,12.14,-9999,3.06,9999.000001
1049,296.09436,-14.85173,14.88,0.09,12.61,-9999,2.27,9999
1050,296.15346,-14.88787,14.15,0.06,12.17,-9999,1.98,9999
1051,296.27641,-14.87552,14.77,0.08,11.53,0.05,3.24,0.094339811
1052,296.20386,-14.86884,14.34,0.04,11.46,-9999,2.88,9999
1053,296.15862,-14.73592,14.78,0.05,12.28,-9999,2.5,9999
1054,296.24444,-14.757,15.12,0.06,12.05,-9999,3.07,9999
1055,296.21678,-14.81113,14.18,0.06,11.25,0.16,2.93,0.170880075
1056,296.35603,-14.80528,13.38,0.04,11.53,0.06,1.85,0.072111026
1057,296.17995,-14.86104,15,0.04,11.99,-9999,3.01,9999
1058,296.25126,-14.82856,14.45,0.04,11.92,-9999,2.53,9999
1059,296.17465,-14.79376,14.46,0.05,11.36,0.17,3.1,0.177200451
1060,296.2866,-14.79251,14.79,0.05,12.17,-9999,2.62,9999
1061,296.4196,-14.84131,15.57,0.18,12.15,-9999,3.42,9999.000002
1062,296.21358,-14.92607,14.34,0.08,12.26,-9999,2.08,9999
1063,296.26798,-14.68941,15.02,0.06,12.76,-9999,2.26,9999
1064,296.26951,-14.93167,14.92,0.09,12.47,-9999,2.45,9999
1065,296.34393,-14.79628,14.91,0.07,12.11,-9999,2.8,9999
1066,296.42735,-14.88016,15.05,0.06,11.86,0.26,3.19,0.266833281
1067,296.29643,-14.64971,14.82,0.07,12.35,-9999,2.47,9999
1068,296.17439,-14.83888,14.08,0.05,9.8,0.05,4.28,0.070710678
1069,296.35293,-14.7855,14.73,0.06,12.65,-9999,2.08,9999
1070,296.40278,-14.79796,14.48,0.07,12.68,-9999,1.8,9999
1071,296.3868,-14.80472,14.59,0.08,13.85,-9999,0.74,9999
1072,296.25796,-14.90376,14.44,0.06,12.37,-9999,2.07,9999
1073,296.22114,-14.80916,14.43,0.05,10.7,0.12,3.73,0.13
1074,296.12346,-14.83348,13.72,0.04,12.41,-9999,1.31,9999
1075,296.14891,-14.78752,14.21,0.05,12.71,-9999,1.5,9999
1076,296.23615,-14.74519,14.37,0.06,12.64,-9999,1.73,9999
1077,296.34676,-14.91954,14.23,0.05,12.44,-9999,1.79,9999
1078,296.13929,-14.79633,14.13,0.05,11.82,-9999,2.31,9999
1079,296.18405,-14.82661,14.52,0.07,12,-9999,2.52,9999
1080,296.16793,-14.78602,14.92,0.06,12.29,-9999,2.63,9999
1081,296.26797,-14.90182,15.14,0.21,12.5,-9999,2.64,9999.000002
1082,296.16153,-14.88935,15.03,0.08,11.92,-9999,3.11,9999
1083,296.39878,-14.67959,14.72,0.07,11.89,0.15,2.83,0.165529454
1084,296.15147,-14.67175,15.16,0.05,12.73,-9999,2.43,9999
1085,296.36966,-14.78604,14.78,0.06,12.91,-9999,1.87,9999
1086,296.2648,-14.89141,14.88,0.08,12.13,-9999,2.75,9999
1087,296.25808,-14.75052,14.78,0.04,12.3,-9999,2.48,9999
1088,296.23075,-14.72119,14.51,0.04,11.81,-9999,2.7,9999
1089,296.33533,-14.63979,14.77,0.06,12.14,-9999,2.63,9999
1090,296.15575,-14.74565,14.16,0.06,12.4,-9999,1.76,9999
1091,296.24964,-14.71938,13.88,0.05,11.98,-9999,1.9,9999
1092,296.22325,-14.81971,14.8,0.05,12.66,-9999,2.14,9999
1093,296.21133,-14.81136,14.35,0.06,11.9,-9999,2.45,9999
1094,296.27944,-14.74063,14.04,0.04,9.73,0.15,4.31,0.155241747
1095,296.36672,-14.81647,14.88,0.07,12.26,-9999,2.62,9999
1096,296.43558,-14.88603,14.95,0.18,11.94,-9999,3.01,9999.000002
1097,296.319,-14.78023,15.03,0.07,12.46,-9999,2.57,9999
1098,296.19299,-14.7994,14.16,0.07,12.83,-9999,1.33,9999
1099,296.19898,-14.79247,14.8,0.08,13.48,-9999,1.32,9999
1100,296.24638,-14.86479,14.31,0.04,12.5,-9999,1.81,9999
1101,296.267,-14.87026,14.74,0.06,12.54,-9999,2.2,9999
1102,296.08088,-14.86264,14.86,0.08,12.49,-9999,2.37,9999
1103,296.19081,-14.743,14.07,0.05,12.09,-9999,1.98,9999
1104,296.06283,-14.87357,14.69,0.05,11.75,0.25,2.94,0.254950976
1105,296.14562,-14.92112,14.62,0.05,11.79,0.2,2.83,0.206155281
1106,296.22378,-14.73653,15.13,0.13,11.65,-9999,3.48,9999.000001
1107,296.27439,-14.92154,15,0.06,12.53,-9999,2.47,9999
1108,296.22812,-14.70658,14.71,0.07,11.73,-9999,2.98,9999
1109,296.26025,-14.67919,14.49,0.06,13.29,-9999,1.2,9999
1110,296.03119,-14.71621,14.36,0.11,12.06,-9999,2.3,9999.000001
1111,296.3106,-14.78295,14.26,0.05,12.82,-9999,1.44,9999
1112,296.11513,-14.67492,14.98,0.07,11.97,-9999,3.01,9999
1113,296.43151,-14.82629,14.97,0.15,12.38,-9999,2.59,9999.000001
1114,296.24382,-14.85026,14.56,0.04,12.3,-9999,2.26,9999
1115,296.23639,-14.88749,14.72,0.05,12.44,-9999,2.28,9999
1116,296.1632,-14.89449,14.44,0.04,12.21,-9999,2.23,9999
1117,296.21608,-14.79618,14.64,0.05,12.39,-9999,2.25,9999
1118,296.23459,-14.73234,14.89,0.1,12.41,-9999,2.48,9999.000001
1119,296.25391,-14.93104,15.05,0.12,13.19,-9999,1.86,9999.000001
1120,296.21316,-14.95277,15.42,0.16,12.01,0.26,3.41,0.30528675
1121,296.08318,-14.79685,14.98,0.09,12.39,-9999,2.59,9999
1122,296.26945,-14.78085,14.39,0.06,11.33,0.21,3.06,0.218403297
1123,296.11107,-14.85967,14.5,0.06,12.52,-9999,1.98,9999
1124,296.22053,-14.85472,14.21,0.05,11.89,0.22,2.32,0.225610283
1125,296.29306,-14.67066,15.01,0.08,12.78,-9999,2.23,9999
1126,296.11565,-14.8911,14.82,0.05,12.47,-9999,2.35,9999
1127,296.28043,-14.69493,14.96,0.07,12.92,-9999,2.04,9999
1128,296.22276,-14.76122,14.65,0.05,11.9,-9999,2.75,9999
1129,296.26861,-14.72636,14.48,0.04,9.43,0.01,5.05,0.041231056
1130,296.09131,-14.68537,15.09,0.06,12.12,0.29,2.97,0.296141858
1131,296.23334,-14.81589,14.79,0.09,12.16,-9999,2.63,9999
1132,296.08245,-14.74034,15.04,0.13,12.54,-9999,2.5,9999.000001
1133,296.20433,-14.89677,14.29,0.06,12.7,-9999,1.59,9999
1134,296.07897,-14.88152,15.01,0.08,10.63,0.06,4.38,0.1
1135,296.2774,-14.83823,14.34,0.04,12.51,-9999,1.83,9999
1136,296.31705,-14.90934,14.68,0.1,12.51,-9999,2.17,9999.000001
1137,296.08051,-14.85869,14.86,0.09,12.29,-9999,2.57,9999
1138,296.15742,-14.6636,15,0.07,12.98,-9999,2.02,9999
1139,296.22636,-14.82627,15.1,0.11,12.59,-9999,2.51,9999.000001
1140,296.37969,-14.72871,15.12,0.18,12.44,-9999,2.68,9999.000002
1141,296.33414,-14.9204,14.5,0.05,12.34,-9999,2.16,9999
1142,296.36338,-14.80113,14.61,0.04,12.73,-9999,1.88,9999
1143,296.35053,-14.84138,14.88,0.04,12.67,-9999,2.21,9999
1144,296.28842,-14.64923,14.78,0.05,12.02,-9999,2.76,9999
1145,296.12778,-14.6935,11.56,0.04,5.95,0.01,5.61,0.041231056
1146,296.34366,-14.83446,14.66,0.04,12.44,-9999,2.22,9999
1147,296.29431,-14.73015,14.81,0.06,11.98,0.19,2.83,0.199248588
1148,296.21699,-14.85602,14.53,0.05,9.62,0.02,4.91,0.053851648
1149,296.20935,-14.88916,14.56,0.06,12.58,-9999,1.98,9999
1150,296.16039,-14.87466,15,0.06,11.93,0.24,3.07,0.247386338
1151,296.35368,-14.80412,14.75,0.04,12.6,-9999,2.15,9999
1152,296.26799,-14.71334,15.32,0.24,11.3,-9999,4.02,9999.000003
1153,296.13342,-14.8211,15.07,0.07,12.39,-9999,2.68,9999
1154,296.27749,-14.87469,14.28,0.06,11.84,-9999,2.44,9999
1155,296.10372,-14.7247,14.24,0.07,11.78,0.27,2.46,0.278926514
1156,296.3326,-14.72259,14.96,0.06,13.07,-9999,1.89,9999
1157,296.25965,-14.84787,14.48,0.04,12.21,-9999,2.27,9999
1158,296.10174,-14.96154,15.03,0.14,12.42,-9999,2.61,9999.000001
1159,296.38215,-14.86245,14.92,0.09,12.29,-9999,2.63,9999
1160,296.17514,-14.85969,14.31,0.04,12.18,-9999,2.13,9999
1161,296.27549,-14.90463,14.94,0.1,12.88,-9999,2.06,9999.000001
1162,296.1313,-14.8271,14.73,0.06,12.37,-9999,2.36,9999
1163,296.26334,-14.73773,14.33,0.04,12.77,-9999,1.56,9999
1164,296.11772,-14.94464,14.84,0.08,11.64,0.18,3.2,0.196977156
1165,296.15043,-14.84831,13.03,0.04,9.34,0.03,3.69,0.05
1166,296.29685,-14.81694,12.76,0.05,7.55,0.01,5.21,0.050990195
1167,296.37077,-14.71413,14.83,0.06,12.68,0.25,2.15,0.257099203
1168,296.15709,-14.75433,15.06,0.08,11.18,0.1,3.88,0.128062485
1169,296.21673,-14.82293,14.64,0.07,11.68,0.15,2.96,0.165529454
1170,296.35548,-14.70919,15.03,0.07,12.41,-9999,2.62,9999
1171,296.15005,-14.77312,14.87,0.07,11.98,-9999,2.89,9999
1172,296.3704,-14.87448,15.04,0.08,12.02,0.2,3.02,0.215406592
1173,296.22385,-14.80525,14.62,0.05,12.93,-9999,1.69,9999
1174,296.23083,-14.80294,14.25,0.1,10.66,0.15,3.59,0.180277564
1175,296.24627,-14.86645,14.46,0.05,12.87,-9999,1.59,9999
1176,296.32963,-14.83191,14.46,0.07,11.88,0.21,2.58,0.221359436
1177,296.39144,-14.79798,15.07,0.09,12.43,-9999,2.64,9999
1178,296.16716,-14.76067,14.97,0.07,12.14,-9999,2.83,9999
1179,296.40159,-14.84347,14.96,0.05,13.17,-9999,1.79,9999
1180,296.2119,-14.84416,14.79,0.06,12.04,-9999,2.75,9999
1181,296.13549,-14.82316,14.42,0.08,12.43,-9999,1.99,9999
1182,296.20145,-14.89242,14.84,0.1,12.03,-9999,2.81,9999.000001
1183,296.40237,-14.8741,14.7,0.17,12.62,-9999,2.08,9999.000001
1184,296.23245,-14.89517,14.32,0.04,13.3,-9999,1.02,9999
1185,296.17284,-14.92291,14.64,0.12,11.89,0.23,2.75,0.259422435
1186,296.31615,-14.82493,14.39,0.04,12.94,-9999,1.45,9999
1187,296.40169,-14.71219,14.91,0.1,11.5,0.12,3.41,0.156204994
1188,296.2158,-14.81363,14.57,0.05,11.25,0.14,3.32,0.148660687
1189,296.27554,-14.85384,14.45,0.04,11.99,-9999,2.46,9999
1190,296.24942,-14.67103,14.73,0.06,13.13,-9999,1.6,9999
1191,296.10777,-14.71477,15.01,0.06,12.8,-9999,2.21,9999
1192,296.13161,-14.85487,14.3,0.05,12.79,-9999,1.51,9999
1193,296.34546,-14.76026,15.09,0.08,11.58,0.26,3.51,0.27202941
1194,296.19003,-14.78828,15.99,0.26,12.43,-9999,3.56,9999.000003
1195,296.23927,-14.7246,14.43,0.06,12,-9999,2.43,9999
1196,296.2599,-14.7479,14.9,0.13,12.42,-9999,2.48,9999.000001
1197,296.19093,-14.84753,14.9,0.19,12.38,-9999,2.52,9999.000002
1198,296.24073,-14.80141,14.51,0.06,11.48,-9999,3.03,9999
1199,296.23262,-14.81552,14.73,0.09,11.92,-9999,2.81,9999
1200,296.33418,-14.89822,13.76,0.03,10.37,0.03,3.39,0.042426407
1201,296.18698,-14.72459,14.7,0.06,12.22,0.28,2.48,0.286356421
1202,296.2626,-14.84786,14.36,0.06,13.59,-9999,0.77,9999
1203,296.24271,-14.78802,13.46,0.05,7.3,0.01,6.16,0.050990195
1204,296.2663,-14.7292,14.36,0.05,10.73,0.2,3.63,0.206155281
1205,296.20367,-14.95316,14.69,0.14,11.95,-9999,2.74,9999.000001
1206,296.18294,-14.77813,14.69,0.05,12,-9999,2.69,9999
1207,296.10696,-14.67451,14.99,0.08,12.33,-9999,2.66,9999
1208,296.04897,-14.83939,14.77,0.1,11.6,-9999,3.17,9999.000001
1209,296.25065,-14.77025,14.5,0.06,11,0.05,3.5,0.078102497
1210,296.29355,-14.85477,14.87,0.06,12.6,-9999,2.27,9999
1211,296.27832,-14.78013,14.45,0.04,11.6,0.09,2.85,0.098488578
1212,296.17891,-14.73867,15.16,0.15,12.63,-9999,2.53,9999.000001
1213,296.2327,-14.67549,14.82,0.04,12.44,-9999,2.38,9999
1214,296.27429,-14.80432,14.59,0.08,12.09,-9999,2.5,9999
1215,296.30602,-14.82072,14.99,0.06,12.53,-9999,2.46,9999
1216,296.07761,-14.77496,15.07,0.12,12.47,-9999,2.6,9999.000001
1217,296.19915,-14.81282,14.54,0.04,11.85,0.1,2.69,0.107703296
1218,296.25852,-14.82979,14.71,0.04,11.93,-9999,2.78,9999
1219,296.04299,-14.7822,14.33,0.05,12.37,-9999,1.96,9999
1220,296.10461,-14.84272,14.93,0.06,12.37,-9999,2.56,9999
1221,296.36277,-14.67559,14.84,0.07,12.55,-9999,2.29,9999
1222,296.28233,-14.76342,14.34,0.05,12.02,-9999,2.32,9999
1223,296.05341,-14.79629,15.06,0.09,11.75,-9999,3.31,9999
1224,296.30551,-14.75566,14.57,0.05,12.03,-9999,2.54,9999
1225,296.27309,-14.75142,14.61,0.09,11.94,0.16,2.67,0.183575598
1226,296.11041,-14.88274,14.97,0.06,12.39,-9999,2.58,9999
1227,296.23829,-14.94965,14.81,0.14,13.14,-9999,1.67,9999.000001
1228,296.17108,-14.67146,15.17,0.08,12.71,-9999,2.46,9999
1229,296.06503,-14.82164,14.78,0.14,11.93,-9999,2.85,9999.000001
1230,296.19637,-14.77427,14.8,0.07,12.19,-9999,2.61,9999
1231,296.33288,-14.85937,14.41,0.05,12.22,-9999,2.19,9999
1232,296.2931,-14.77066,14.5,0.04,12.28,-9999,2.22,9999
1233,296.08468,-14.94278,15.22,0.12,12.75,-9999,2.47,9999.000001
1234,296.14827,-14.86875,12.4,0.01,12.41,-9999,-0.01,9999
1235,296.26534,-14.83664,14.36,0.06,12.62,-9999,1.74,9999
1236,296.22038,-14.81564,14.68,0.06,13.29,-9999,1.39,9999
1237,296.2829,-14.78793,14.64,0.05,12.54,-9999,2.1,9999
1238,296.40382,-14.69345,15.21,0.09,12.34,-9999,2.87,9999
1239,296.22411,-14.8577,14.84,0.09,12.68,-9999,2.16,9999
1240,296.24461,-14.79362,14.21,0.08,10.58,0.12,3.63,0.144222051
1241,296.2942,-14.75103,14.36,0.04,12.56,-9999,1.8,9999
1242,296.2124,-14.77453,14.57,0.11,13.2,-9999,1.37,9999.000001
1243,296.24363,-14.80116,15.13,0.09,12.01,-9999,3.12,9999
1244,296.18885,-14.857,14.79,0.06,12.63,-9999,2.16,9999
1245,296.0629,-14.77545,14.97,0.08,12.33,-9999,2.64,9999
1246,296.19774,-14.73561,15.15,0.09,11.5,-9999,3.65,9999
1247,296.25042,-14.75474,15.08,0.08,11.56,0.24,3.52,0.252982213
1248,296.15207,-14.81944,14.46,0.08,12.47,0.27,1.99,0.281602557
1249,296.25683,-14.7589,14.5,0.07,12.08,-9999,2.42,9999
1250,296.12805,-14.69345,11.56,0.04,5.98,0.01,5.58,0.041231056
1251,296.24662,-14.78765,14.55,0.07,11.32,0.28,3.23,0.288617394
1252,296.31271,-14.7296,15.32,0.11,12.43,-9999,2.89,9999.000001
1253,296.22395,-14.92243,14.5,0.09,12.42,-9999,2.08,9999
1254,296.25513,-14.83984,13.94,0.05,10.5,0.07,3.44,0.086023253
1255,296.20298,-14.69118,14.6,0.05,12.42,-9999,2.18,9999
1256,296.21556,-14.67363,15.07,0.04,12.85,-9999,2.22,9999
1257,296.41026,-14.84979,14.74,0.1,13.27,-9999,1.47,9999.000001
