ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
3229,5,296.1962,-14.94345,16.21,0.07,18.751,0.098,2.541,0.120432554
3356,5,296.1403,-14.81195,16.2,0.08,18.966,0.119,2.766,0.143391074
3456,5,296.16202,-14.96085,16.42,0.06,18.719,0.094,2.299,0.111516815
3731,5,296.2157,-14.77652,16.25,0.04,18.142,0.06,1.892,0.072111026
3815,5,296.32859,-14.84058,16.68,0.1,18.709,0.077,2.029,0.126210142
3850,5,296.06943,-14.86698,16.31,0.07,18.444,0.087,2.134,0.111664677
3905,5,296.22709,-14.71182,16.28,0.06,18.77,0.096,2.49,0.113207774
3938,5,296.18582,-14.76249,16.33,0.04,18.345,0.07,2.015,0.080622577
3992,5,296.31294,-14.82688,16.22,0.03,18.099,0.057,1.879,0.064412732
4037,5,296.24056,-14.79563,16.2,0.06,18.266,0.066,2.066,0.089196412
4072,5,296.18395,-14.78008,16.38,0.06,18.609,0.088,2.229,0.106508216
4121,5,296.22508,-14.85271,16.32,0.09,18.238,0.065,1.918,0.111018017
4153,5,296.17751,-14.85379,16.25,0.05,18.207,0.063,1.957,0.080430094
4204,5,296.11925,-14.83487,16.25,0.09,18.488,0.08,2.238,0.120415946
4210,5,296.40976,-14.85149,16.28,0.04,19.202,0.115,2.922,0.121757957
4218,5,296.19496,-14.79079,16.23,0.06,18.465,0.078,2.235,0.098407317
4256,5,296.2645,-14.73059,16.21,0.05,18.105,0.057,1.895,0.07582216
4265,5,296.3152,-14.78977,16.5,0.05,18.513,0.08,2.013,0.094339811
4278,5,296.18677,-14.74649,16.42,0.07,18.432,0.075,2.012,0.102591423
4317,5,296.21955,-14.76769,16.33,0.08,18.224,0.065,1.894,0.103077641
4320,5,296.08082,-14.93201,16.71,0.09,18.596,0.098,1.886,0.133056379
4392,5,296.09771,-14.71572,16.34,0.06,18.952,0.111,2.612,0.126178445
4443,5,296.16403,-14.74377,16.21,0.04,18.111,0.058,1.901,0.07045566
4447,5,296.29521,-14.79666,16.55,0.05,19.563,0.193,3.013,0.199371513
4479,5,296.3236,-14.92695,16.82,0.03,19.122,0.109,2.302,0.113053085
4492,5,296.26929,-14.88778,16.53,0.05,18.934,0.114,2.404,0.124482931
4522,5,296.22909,-14.81243,16.25,0.05,18.143,0.06,1.893,0.078102497
4610,5,296.2193,-14.93596,16.21,0.04,18.203,0.062,1.993,0.073783467
4784,5,296.1666,-14.85066,16.51,0.06,18.845,0.108,2.335,0.123547562
4891,5,296.09039,-14.81615,16.52,0.06,18.465,0.089,1.945,0.107335921
4917,5,296.16118,-14.74728,16.45,0.05,19.163,0.139,2.713,0.147719328
4955,5,296.14564,-14.89886,16.62,0.04,18.647,0.091,2.027,0.099403219
4958,5,296.12119,-14.81195,16.74,0.08,19.049,0.128,2.309,0.150943698
4989,5,296.18363,-14.89296,16.53,0.06,19.17,0.141,2.64,0.153235113
5132,5,296.39113,-14.83309,16.53,0.05,18.799,0.082,2.269,0.096041658
5148,5,296.13134,-14.82919,16.87,0.03,18.901,0.113,2.031,0.116914499
5320,5,296.29667,-14.84896,16.42,0.05,18.576,0.084,2.156,0.097754795
5407,5,296.08707,-14.74792,16.53,0.07,19.176,0.159,2.646,0.173726797
5410,5,296.0875,-14.9031,17.05,0.06,19.092,0.149,2.042,0.160626897
5445,5,296.38388,-14.86289,16.76,0.04,18.877,0.088,2.117,0.096664368
