ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
4782,3,296.11981,-14.73227,16.97,0.1,18.263,0.066,1.293,0.119816526
4851,3,296.20344,-14.80198,16.86,0.06,18.354,0.072,1.494,0.093722996
5241,3,296.40826,-14.67433,16.82,0.08,18.233,0.062,1.413,0.101212647
5308,3,296.0489,-14.69681,16.79,0.12,17.905,0.051,1.115,0.130387883
5315,3,296.22817,-14.81257,16.88,0.04,18.265,0.066,1.385,0.077175126
5526,3,296.3599,-14.76458,16.98,0.1,18.24,0.052,1.26,0.112712022
5584,3,296.38754,-14.83427,16.72,0.06,17.817,0.038,1.097,0.071021124
5615,3,296.06696,-14.8066,16.82,0.06,17.896,0.055,1.076,0.081394103
5623,3,296.29152,-14.72947,16.77,0.05,18.07,0.055,1.3,0.074330344
5625,3,296.30197,-14.85017,16.75,0.07,18.292,0.066,1.542,0.096208108
5658,3,296.14694,-14.72237,16.78,0.06,17.905,0.046,1.125,0.075604233
5682,3,296.25932,-14.88937,16.72,0.06,18.07,0.056,1.35,0.082073138
5735,3,296.24037,-14.85754,16.76,0.03,18.14,0.059,1.38,0.066189123
5750,3,296.43485,-14.83605,16.79,0.06,17.903,0.04,1.113,0.072111026
5755,3,296.12522,-14.73996,16.85,0.04,18.024,0.054,1.174,0.06720119
5764,3,296.08833,-14.84541,16.75,0.06,17.869,0.054,1.119,0.080721744
5779,3,296.23149,-14.9223,16.76,0.07,18.052,0.055,1.292,0.089022469
5810,3,296.11662,-14.82519,16.76,0.06,17.866,0.048,1.106,0.076837491
5817,3,296.32554,-14.63332,16.81,0.07,18.063,0.052,1.253,0.087200917
5825,3,296.44861,-14.91152,17.11,0.08,18.3,0.055,1.19,0.097082439
5834,3,296.17872,-14.89569,16.8,0.04,18.085,0.057,1.285,0.069634761
5852,3,296.30692,-14.6392,16.79,0.06,17.953,0.048,1.163,0.076837491
5869,3,296.14237,-14.72899,16.75,0.04,17.891,0.048,1.141,0.062481997
5890,3,296.0453,-14.72867,16.91,0.1,18.334,0.079,1.424,0.127440182
5892,3,296.26974,-14.81759,16.73,0.05,18.226,0.064,1.496,0.081215762
5898,3,296.21487,-14.76289,16.88,0.07,18.139,0.06,1.259,0.092195445
5918,3,296.14546,-14.71597,16.82,0.06,18.114,0.055,1.294,0.081394103
5938,3,296.17395,-14.95626,17.03,0.1,18.183,0.061,1.153,0.117136672
5943,3,296.30426,-14.76003,16.81,0.03,18.197,0.062,1.387,0.068876701
5947,3,296.39089,-14.79633,16.72,0.05,17.892,0.04,1.172,0.064031242
6065,3,296.28915,-14.77916,16.83,0.04,18.139,0.059,1.309,0.071281134
6093,3,296.3347,-14.65604,16.82,0.08,17.954,0.05,1.134,0.094339811
6109,3,296.31625,-14.80984,16.72,0.05,17.995,0.052,1.275,0.072138755
6111,3,296.38393,-14.82595,16.93,0.08,18.037,0.045,1.107,0.091787799
6127,3,296.16749,-14.76777,16.79,0.07,17.923,0.05,1.133,0.086023253
6131,3,296.2554,-14.69839,16.75,0.06,17.95,0.048,1.2,0.076837491
6150,3,296.19877,-14.91334,16.83,0.05,17.985,0.052,1.155,0.072138755
6156,3,296.04998,-14.72261,16.8,0.08,17.907,0.051,1.107,0.0948736
6158,3,296.09835,-14.71753,16.77,0.04,17.919,0.047,1.149,0.061717096
6163,3,296.28854,-14.80912,16.75,0.06,17.929,0.049,1.179,0.077466122
6164,3,296.38878,-14.8363,16.72,0.08,17.912,0.04,1.192,0.089442719
6165,3,296.39824,-14.62833,17.04,0.14,18.126,0.057,1.086,0.151158857
6184,3,296.22744,-14.67226,16.86,0.07,18.374,0.068,1.514,0.097590983
6186,3,296.35,-14.82815,16.73,0.06,17.877,0.039,1.147,0.071561163
6196,3,296.31098,-14.78141,16.72,0.07,17.874,0.047,1.154,0.084314886
6218,3,296.14795,-14.81388,16.83,0.07,18.083,0.057,1.253,0.090271812
6227,3,296.10432,-14.79526,16.74,0.04,17.967,0.052,1.227,0.065604878
6233,3,296.29584,-14.82652,16.74,0.04,18.03,0.054,1.29,0.06720119
6234,3,296.19009,-14.8133,16.86,0.06,18.121,0.059,1.261,0.084148678
6269,3,296.42581,-14.80507,16.91,0.07,17.986,0.043,1.076,0.082152298
6270,3,296.16327,-14.77147,16.88,0.05,18.114,0.058,1.234,0.076576759
6292,3,296.05121,-14.81998,16.73,0.04,18.097,0.065,1.367,0.076321688
6318,3,296.10282,-14.89037,17.1,0.04,18.147,0.06,1.047,0.072111026
6322,3,296.18832,-14.91111,16.79,0.06,17.969,0.052,1.179,0.079397733
6342,3,296.14975,-14.83134,16.9,0.07,18.153,0.06,1.253,0.092195445
6343,3,296.2366,-14.79879,16.73,0.06,17.834,0.046,1.104,0.075604233
6345,3,296.16411,-14.78406,16.75,0.06,17.952,0.051,1.202,0.078746428
6346,3,296.21888,-14.83016,16.73,0.06,17.972,0.052,1.242,0.079397733
6350,3,296.18318,-14.93229,16.72,0.05,18.064,0.056,1.344,0.075073298
6354,3,296.12165,-14.70255,16.74,0.04,17.991,0.05,1.251,0.064031242
6359,3,296.40073,-14.72711,16.72,0.06,17.905,0.04,1.185,0.072111026
6369,3,296.29249,-14.851,16.73,0.07,18.095,0.056,1.365,0.089643739
6373,3,296.30795,-14.76129,16.74,0.03,18.228,0.063,1.488,0.06977822
6376,3,296.27893,-14.84326,16.72,0.06,18.051,0.055,1.331,0.081394103
6380,3,296.23194,-14.88154,16.74,0.07,17.936,0.05,1.196,0.086023253
6389,3,296.3444,-14.67236,16.91,0.05,18.297,0.066,1.387,0.082800966
6401,3,296.1351,-14.89229,16.72,0.04,18.164,0.061,1.444,0.072945185
6409,3,296.2014,-14.79868,16.89,0.07,18.236,0.065,1.346,0.095524866
6435,3,296.38883,-14.71969,16.86,0.05,18.058,0.045,1.198,0.06726812
6437,3,296.12677,-14.95514,16.81,0.07,18.042,0.055,1.232,0.089022469
6441,3,296.04852,-14.6842,16.76,0.05,18.053,0.057,1.293,0.07582216
6442,3,296.21722,-14.85839,16.76,0.06,18.019,0.054,1.259,0.080721744
6445,3,296.14164,-14.83246,16.76,0.04,17.981,0.052,1.221,0.065604878
6450,3,296.28984,-14.80182,16.72,0.05,17.978,0.052,1.258,0.072138755
6456,3,296.2893,-14.83694,16.78,0.05,18.173,0.06,1.393,0.078102497
6459,3,296.10913,-14.79008,16.8,0.07,18.164,0.061,1.364,0.09284934
6467,3,296.40258,-14.84562,16.78,0.08,17.943,0.041,1.163,0.089894382
6478,3,296.10324,-14.74073,16.83,0.05,18.006,0.053,1.176,0.072862885
6479,3,296.2143,-14.71421,16.72,0.05,18.142,0.056,1.422,0.075073298
6484,3,296.29485,-14.71647,16.74,0.05,17.99,0.049,1.25,0.070007142
6486,3,296.32974,-14.92914,16.74,0.07,18.001,0.044,1.261,0.082680106
6487,3,296.23313,-14.7401,16.76,0.05,18.013,0.054,1.253,0.073593478
6500,3,296.08731,-14.91581,16.72,0.04,17.925,0.056,1.205,0.068818602
6507,3,296.41293,-14.74403,16.99,0.07,18.142,0.048,1.152,0.084876381
6520,3,296.10672,-14.75115,16.88,0.06,17.966,0.051,1.086,0.078746428
6525,3,296.24147,-14.69462,16.79,0.08,18.115,0.055,1.325,0.097082439
6527,3,296.27242,-14.74245,17.02,0.05,18.074,0.056,1.054,0.075073298
6533,3,296.30581,-14.88363,16.82,0.03,17.966,0.051,1.146,0.059169249
6545,3,296.28617,-14.73407,16.77,0.04,18.096,0.057,1.326,0.069634761
6549,3,296.38642,-14.89656,16.73,0.05,17.889,0.04,1.159,0.064031242
6550,3,296.32815,-14.64073,16.94,0.06,18.106,0.056,1.166,0.082073138
6553,3,296.11672,-14.85354,16.84,0.05,18.165,0.061,1.325,0.078873316
6556,3,296.2891,-14.91018,16.88,0.06,18.049,0.054,1.169,0.080721744
6557,3,296.36999,-14.88709,16.8,0.04,18.012,0.044,1.212,0.059464275
6561,3,296.08085,-14.94087,16.91,0.09,18.071,0.063,1.161,0.109859001
6564,3,296.37584,-14.67673,17.1,0.07,18.391,0.072,1.291,0.100419122
6571,3,296.26463,-14.73543,16.85,0.05,18.054,0.055,1.204,0.074330344
6572,3,296.155,-14.83892,16.79,0.05,18.278,0.067,1.488,0.083600239
6579,3,296.29657,-14.8086,16.89,0.05,18.009,0.053,1.119,0.072862885
6591,3,296.31228,-14.93427,16.94,0.05,18.08,0.056,1.14,0.075073298
6597,3,296.24715,-14.799,16.83,0.06,18.188,0.062,1.358,0.086278618
6599,3,296.30607,-14.7809,16.77,0.08,17.963,0.051,1.193,0.0948736
6610,3,296.3279,-14.91856,16.79,0.05,17.945,0.042,1.155,0.065299311
6612,3,296.23616,-14.84038,16.79,0.05,18.112,0.059,1.322,0.077336925
6616,3,296.05704,-14.75924,16.82,0.04,17.951,0.058,1.131,0.07045566
6619,3,296.31529,-14.89825,16.9,0.06,18.143,0.059,1.243,0.084148678
6621,3,296.14337,-14.81683,16.92,0.06,18.09,0.057,1.17,0.082758685
6622,3,296.21624,-14.86519,16.84,0.06,18.221,0.064,1.381,0.087726849
6632,3,296.21736,-14.73729,16.78,0.04,18.131,0.059,1.351,0.071281134
6633,3,296.07773,-14.97153,16.76,0.07,17.919,0.047,1.159,0.084314886
6641,3,296.23308,-14.84187,16.73,0.06,18.092,0.058,1.362,0.083450584
6647,3,296.263,-14.89485,16.77,0.05,18.122,0.058,1.352,0.076576759
6651,3,296.16086,-14.83694,16.81,0.05,18.027,0.054,1.217,0.073593478
6652,3,296.3147,-14.81994,16.9,0.06,18.172,0.06,1.272,0.084852814
6654,3,296.21037,-14.77683,16.91,0.05,18.077,0.057,1.167,0.07582216
6665,3,296.15658,-14.79888,16.93,0.07,18.124,0.059,1.194,0.091547802
6668,3,296.14545,-14.77551,16.83,0.05,17.95,0.051,1.12,0.071421285
6673,3,296.2464,-14.65449,17.09,0.06,18.117,0.055,1.027,0.081394103
6679,3,296.20995,-14.88999,16.78,0.06,17.976,0.052,1.196,0.079397733
6683,3,296.25108,-14.92116,17.07,0.05,18.284,0.067,1.214,0.083600239
6689,3,296.25824,-14.82226,16.83,0.06,17.976,0.052,1.146,0.079397733
6693,3,296.26363,-14.90504,17,0.05,18.272,0.066,1.272,0.082800966
6700,3,296.24342,-14.78678,16.81,0.07,18.308,0.068,1.498,0.097590983
6703,3,296.17858,-14.68492,16.83,0.08,18.044,0.052,1.214,0.095414884
6717,3,296.18488,-14.81359,16.88,0.06,17.967,0.052,1.087,0.079397733
6719,3,296.22337,-14.69675,16.81,0.03,18.123,0.055,1.313,0.06264982
6732,3,296.23371,-14.75564,16.78,0.04,17.929,0.051,1.149,0.064815122
6744,3,296.33672,-14.76314,16.94,0.04,18.188,0.051,1.248,0.064815122
6748,3,296.22923,-14.80105,16.77,0.06,18.168,0.061,1.398,0.085562842
6749,3,296.10637,-14.72122,16.87,0.05,18.15,0.06,1.28,0.078102497
6753,3,296.37975,-14.62966,17.07,0.05,18.253,0.063,1.183,0.080430094
6760,3,296.19835,-14.81185,16.82,0.06,18.1,0.058,1.28,0.083450584
6775,3,296.16448,-14.78846,16.78,0.05,18.057,0.056,1.277,0.075073298
6777,3,296.33415,-14.85856,16.97,0.04,18.255,0.053,1.285,0.066400301
6779,3,296.24446,-14.83076,16.75,0.04,17.981,0.052,1.231,0.065604878
6780,3,296.10412,-14.89794,16.84,0.07,17.924,0.05,1.084,0.086023253
6786,3,296.15296,-14.72447,16.79,0.04,17.99,0.052,1.2,0.065604878
6791,3,296.07733,-14.91895,16.73,0.05,18.054,0.063,1.324,0.080430094
6792,3,296.23848,-14.77448,16.75,0.04,17.996,0.053,1.246,0.066400301
6796,3,296.32349,-14.76954,16.75,0.05,17.856,0.039,1.106,0.063411355
6801,3,296.20143,-14.72189,16.92,0.05,18.066,0.053,1.146,0.072862885
6812,3,296.33743,-14.89238,17.03,0.07,18.119,0.048,1.089,0.084876381
6814,3,296.39228,-14.77659,16.9,0.08,18.053,0.045,1.153,0.091787799
6816,3,296.12923,-14.79627,16.92,0.07,18,0.053,1.08,0.087800911
6818,3,296.37216,-14.74219,16.79,0.05,18.038,0.045,1.248,0.06726812
6819,3,296.20354,-14.82956,16.74,0.04,18.209,0.064,1.469,0.075471849
6821,3,296.05882,-14.67639,16.84,0.09,18.013,0.055,1.173,0.105475116
6827,3,296.30215,-14.89753,16.72,0.06,18.013,0.053,1.293,0.08005623
6832,3,296.37773,-14.88481,16.85,0.04,18.142,0.049,1.292,0.063253458
6834,3,296.38487,-14.74023,16.72,0.06,17.992,0.043,1.272,0.073817342
6836,3,296.284,-14.81857,16.87,0.03,18.196,0.062,1.326,0.068876701
6841,3,296.31281,-14.80761,16.89,0.06,18.12,0.058,1.23,0.083450584
6846,3,296.34814,-14.77924,16.81,0.07,17.903,0.04,1.093,0.080622577
6851,3,296.35663,-14.90711,16.82,0.05,18.114,0.048,1.294,0.069310894
6855,3,296.29229,-14.80642,16.81,0.04,18.057,0.055,1.247,0.068007353
6857,3,296.19281,-14.84132,16.73,0.06,18.047,0.055,1.317,0.081394103
6861,3,296.30067,-14.69934,16.87,0.05,18.026,0.051,1.156,0.071421285
6871,3,296.10588,-14.86007,17.01,0.08,18.188,0.062,1.178,0.101212647
6872,3,296.19731,-14.88059,16.72,0.07,17.816,0.046,1.096,0.083761566
6874,3,296.21119,-14.85174,16.78,0.06,18.253,0.066,1.473,0.089196412
6879,3,296.24901,-14.82382,16.78,0.04,18.03,0.055,1.25,0.068007353
6883,3,296.2247,-14.78568,16.79,0.05,17.933,0.051,1.143,0.071421285
6888,3,296.28106,-14.78362,16.77,0.06,17.956,0.051,1.186,0.078746428
6889,3,296.28927,-14.84126,16.78,0.05,18.05,0.054,1.27,0.073593478
6895,3,296.14933,-14.74465,16.93,0.04,18.097,0.057,1.167,0.069634761
6901,3,296.26271,-14.67515,16.87,0.04,17.953,0.048,1.083,0.062481997
6905,3,296.20409,-14.79585,16.73,0.05,18.136,0.06,1.406,0.078102497
6908,3,296.07154,-14.80702,16.98,0.07,18.034,0.062,1.054,0.093509358
6909,3,296.07491,-14.82157,16.8,0.06,17.905,0.056,1.105,0.082073138
6913,3,296.1488,-14.72059,16.92,0.05,18.06,0.053,1.14,0.072862885
6919,3,296.19389,-14.81963,16.77,0.06,17.883,0.049,1.113,0.077466122
6922,3,296.30935,-14.72698,16.77,0.04,18.055,0.055,1.285,0.068007353
6923,3,296.16247,-14.86842,16.98,0.06,18.108,0.058,1.128,0.083450584
6924,3,296.43475,-14.90488,16.93,0.06,18.03,0.044,1.1,0.074404301
6925,3,296.07689,-14.91374,16.78,0.06,17.981,0.059,1.201,0.084148678
6935,3,296.21804,-14.83456,16.76,0.06,17.905,0.05,1.145,0.078102497
6937,3,296.2488,-14.76645,16.79,0.04,17.935,0.05,1.145,0.064031242
6941,3,296.30512,-14.74881,16.84,0.04,18.131,0.058,1.291,0.07045566
6942,3,296.20615,-14.87458,16.8,0.03,18.145,0.06,1.345,0.067082039
6943,3,296.4196,-14.90426,17.13,0.08,18.259,0.053,1.129,0.095963535
6944,3,296.383,-14.84012,16.87,0.05,17.962,0.042,1.092,0.065299311
6946,3,296.25547,-14.89832,16.95,0.05,18.352,0.07,1.402,0.086023253
6947,3,296.25078,-14.74106,16.93,0.08,18.141,0.059,1.211,0.099403219
