ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
3788,4,296.33263,-14.8415,17.05,0.08,18.54,0.067,1.49,0.104350371
5227,4,296.17552,-14.70443,16.81,0.05,18.522,0.077,1.712,0.091809586
5282,4,296.04986,-14.82267,16.78,0.06,18.416,0.085,1.636,0.10404326
5672,4,296.22597,-14.6993,17.15,0.09,18.866,0.103,1.716,0.136780847
5937,4,296.33543,-14.68113,16.76,0.04,18.391,0.072,1.631,0.082365041
6201,4,296.29434,-14.76099,16.95,0.06,18.542,0.082,1.592,0.101607086
6271,4,296.1939,-14.66479,16.74,0.06,18.34,0.066,1.6,0.089196412
6460,4,296.26368,-14.71887,16.93,0.07,18.472,0.074,1.542,0.101862653
6548,4,296.27526,-14.92612,16.72,0.03,18.321,0.068,1.601,0.074323617
6728,4,296.19505,-14.82605,16.86,0.04,18.469,0.079,1.609,0.088549421
6784,4,296.27085,-14.79672,16.82,0.03,18.462,0.077,1.642,0.082637764
7048,4,296.22415,-14.71858,17.06,0.07,18.831,0.101,1.771,0.122886126
7055,4,296.28999,-14.82554,16.9,0.04,18.482,0.078,1.582,0.087658428
7111,4,296.29132,-14.80803,16.92,0.07,18.427,0.075,1.507,0.102591423
7129,4,296.2323,-14.842,16.78,0.09,18.413,0.076,1.633,0.117796435
7241,4,296.23118,-14.7629,16.99,0.09,18.758,0.1,1.768,0.13453624
7261,4,296.25853,-14.85812,17.01,0.06,18.753,0.098,1.743,0.114908659
7279,4,296.37114,-14.83677,16.83,0.05,18.409,0.06,1.579,0.078102497
7352,4,296.23213,-14.7631,17.14,0.08,18.772,0.102,1.632,0.129630243
7401,4,296.2294,-14.8036,16.76,0.05,18.377,0.073,1.617,0.088481637
7404,4,296.40852,-14.69584,17.11,0.07,18.911,0.111,1.801,0.131228808
7508,4,296.23492,-14.7447,16.93,0.06,18.664,0.092,1.734,0.109836242
7576,4,296.27011,-14.81417,16.96,0.06,18.511,0.081,1.551,0.100801786
