ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
7620,4,296.19965,-14.7809,16.85,0.04,18.414,0.075,1.564,0.085
7634,4,296.25028,-14.75298,17.02,0.06,18.548,0.083,1.528,0.102415819
7635,4,296.32241,-14.79577,16.87,0.05,18.433,0.062,1.563,0.079649231
7780,4,296.37721,-14.7324,16.92,0.08,18.529,0.066,1.609,0.103711137
7847,4,296.38451,-14.7474,17.1,0.06,18.648,0.073,1.548,0.094493386
7930,4,296.08821,-14.90059,17.01,0.07,18.482,0.089,1.472,0.113229855
7985,4,296.09777,-14.72924,17.09,0.04,18.524,0.081,1.434,0.090338253
8059,4,296.19577,-14.68859,17.09,0.05,18.552,0.079,1.462,0.093493315
8105,4,296.27044,-14.83257,16.91,0.06,18.563,0.084,1.653,0.103227903
8192,4,296.19153,-14.91429,16.93,0.06,18.634,0.09,1.704,0.108166538
8276,4,296.35377,-14.76605,17.01,0.05,18.566,0.068,1.556,0.084403791
8319,4,296.2125,-14.86221,16.97,0.06,18.541,0.083,1.571,0.102415819
8332,4,296.31406,-14.81439,16.97,0.04,18.567,0.084,1.597,0.093037627
8402,4,296.31046,-14.78432,17.13,0.05,18.605,0.086,1.475,0.099478641
8424,4,296.28133,-14.86371,16.98,0.04,18.471,0.077,1.491,0.08676981
8468,4,296.27926,-14.72151,17.03,0.04,18.619,0.084,1.589,0.093037627
8473,4,296.2501,-14.79045,16.8,0.05,18.479,0.078,1.679,0.092649879
8478,4,296.28214,-14.88401,17.07,0.05,18.528,0.081,1.458,0.095189285
8508,4,296.21399,-14.88118,17.03,0.05,18.66,0.092,1.63,0.104709121
8535,4,296.37482,-14.6888,16.92,0.06,18.448,0.075,1.528,0.096046864
8558,4,296.27898,-14.83463,17.1,0.06,18.596,0.086,1.496,0.104861814
8592,4,296.17194,-14.87694,17.13,0.06,18.601,0.088,1.471,0.106508216
8597,4,296.19919,-14.9201,16.99,0.04,18.533,0.082,1.543,0.091235958
8614,4,296.19971,-14.85505,17,0.03,18.672,0.093,1.672,0.097718985
8733,4,296.28557,-14.81087,17.14,0.05,18.775,0.1,1.635,0.111803399
8738,4,296.2423,-14.80026,16.94,0.08,18.466,0.078,1.526,0.111731822
8777,4,296.27865,-14.82453,17.05,0.05,18.555,0.084,1.505,0.097754795
8858,4,296.10324,-14.76678,17.15,0.06,18.636,0.09,1.486,0.108166538
8918,4,296.26958,-14.80505,17.15,0.07,18.734,0.097,1.584,0.119620232
8938,4,296.21479,-14.83438,17.09,0.05,18.56,0.085,1.47,0.098615415
8949,4,296.22858,-14.84635,17.1,0.06,18.761,0.101,1.661,0.117477657
8959,4,296.3136,-14.89421,17.08,0.05,18.59,0.085,1.51,0.098615415
8993,4,296.31827,-14.78132,17.06,0.12,18.622,0.072,1.562,0.139942845
9070,4,296.39956,-14.64318,17.04,0.11,18.704,0.093,1.664,0.144045132
9081,4,296.24894,-14.82813,17.01,0.04,18.498,0.08,1.488,0.089442719
9131,4,296.22975,-14.72187,17.05,0.04,18.564,0.08,1.514,0.089442719
9222,4,296.19697,-14.82287,17,0.08,18.479,0.08,1.479,0.113137085
9266,4,296.24631,-14.74296,17.07,0.05,18.544,0.083,1.474,0.096896852
9285,4,296.26089,-14.77608,17.12,0.04,18.791,0.102,1.671,0.109562767
9303,4,296.32119,-14.85931,17.15,0.06,18.612,0.071,1.462,0.092956979
9306,4,296.23022,-14.79956,17.13,0.04,18.688,0.094,1.558,0.102156742
9337,4,296.20637,-14.81182,17.02,0.07,18.611,0.089,1.591,0.113229855
9377,4,296.22983,-14.83735,17.01,0.05,18.629,0.09,1.619,0.102956301
9425,4,296.25091,-14.9322,17.13,0.05,18.548,0.083,1.418,0.096896852
9438,4,296.21311,-14.81182,17.09,0.04,18.556,0.085,1.466,0.093941471
9589,4,296.25871,-14.80423,17.15,0.05,18.672,0.093,1.522,0.105588825
9636,4,296.22962,-14.74234,17.07,0.1,18.793,0.103,1.723,0.143558351
9645,4,296.25093,-14.79145,17.15,0.05,18.721,0.096,1.571,0.108240473
9658,4,296.12775,-14.80046,17.13,0.06,18.65,0.091,1.52,0.109
9697,4,296.26904,-14.90328,17.08,0.05,18.52,0.081,1.44,0.095189285
9713,4,296.27029,-14.89006,17.15,0.06,18.722,0.096,1.572,0.113207774
9733,4,296.20381,-14.73981,17.08,0.04,18.642,0.091,1.562,0.099403219
9961,4,296.29516,-14.81014,17.14,0.06,18.823,0.104,1.683,0.120066648
9966,4,296.30176,-14.84017,17.13,0.05,18.595,0.085,1.465,0.098615415
10023,4,296.19977,-14.81035,17.15,0.05,18.614,0.089,1.464,0.102083299
10197,4,296.23499,-14.82498,17.01,0.07,18.494,0.08,1.484,0.106301458
11119,4,296.04134,-14.80475,17.02,0.08,18.681,0.106,1.661,0.132800602
11800,4,296.22797,-14.84788,17.13,0.07,18.538,0.083,1.408,0.108577162
12003,4,296.14705,-14.85374,17.13,0.06,18.718,0.097,1.588,0.114057003
12201,4,296.3818,-14.80226,17.11,0.06,18.816,0.084,1.706,0.103227903
12314,4,296.31794,-14.79548,17.15,0.08,18.912,0.091,1.762,0.121165177
12390,4,296.19967,-14.89314,17.13,0.04,18.532,0.083,1.402,0.092135769
13401,4,296.20969,-14.86589,17.1,0.07,18.634,0.09,1.534,0.114017543
13470,4,296.2113,-14.84156,17.14,0.06,18.589,0.088,1.449,0.106508216
3502,4,296.31474,-14.72387,16.21,0.03,17.955,0.048,1.745,0.056603887
3516,4,296.28415,-14.79293,16.28,0.04,17.867,0.047,1.587,0.061717096
3807,4,296.28073,-14.7986,16.26,0.04,17.804,0.045,1.544,0.060207973
3880,4,296.21818,-14.72307,16.23,0.03,18.033,0.051,1.803,0.059169249
3917,4,296.26133,-14.88373,16.32,0.04,17.94,0.05,1.62,0.064031242
4018,4,296.24055,-14.72972,16.19,0.03,17.938,0.05,1.748,0.058309519
4052,4,296.2511,-14.90636,16.27,0.05,17.965,0.051,1.695,0.071421285
4080,4,296.20385,-14.75527,16.31,0.04,17.967,0.052,1.657,0.065604878
4094,4,296.18736,-14.85399,16.37,0.07,18.166,0.061,1.796,0.09284934
4175,4,296.27706,-14.79449,16.19,0.05,17.776,0.044,1.586,0.066603303
4180,4,296.29196,-14.78906,16.25,0.05,17.893,0.048,1.643,0.069310894
4262,4,296.28345,-14.80745,16.53,0.06,18.1,0.057,1.57,0.082758685
4267,4,296.10348,-14.96051,16.29,0.05,17.858,0.047,1.568,0.068622154
4273,4,296.40315,-14.69905,16.32,0.1,18.094,0.055,1.774,0.114127122
4283,4,296.25261,-14.87476,16.3,0.05,17.965,0.051,1.665,0.071421285
4371,4,296.31126,-14.83674,16.2,0.03,17.766,0.043,1.566,0.052430907
4374,4,296.21383,-14.7839,16.26,0.04,17.895,0.049,1.635,0.063253458
4441,4,296.24582,-14.88963,16.27,0.05,17.847,0.047,1.577,0.068622154
4472,4,296.26825,-14.76628,16.2,0.05,17.853,0.047,1.653,0.068622154
4495,4,296.22977,-14.91162,16.3,0.04,17.901,0.049,1.601,0.063253458
4526,4,296.27387,-14.77382,16.46,0.04,18.021,0.053,1.561,0.066400301
4529,4,296.19546,-14.8156,16.25,0.06,18.083,0.057,1.833,0.082758685
4532,4,296.28385,-14.7417,16.4,0.05,18.103,0.057,1.703,0.07582216
4544,4,296.21954,-14.66899,16.4,0.09,17.978,0.049,1.578,0.102474387
4550,4,296.20553,-14.84585,16.23,0.04,17.852,0.047,1.622,0.061717096
4568,4,296.29041,-14.75833,16.38,0.06,18.125,0.058,1.745,0.083450584
4569,4,296.2258,-14.80622,16.21,0.07,17.798,0.045,1.588,0.083216585
4581,4,296.38907,-14.84655,16.25,0.05,17.98,0.043,1.73,0.065946948
4602,4,296.23693,-14.87214,16.27,0.05,18.017,0.054,1.747,0.073593478
4836,4,296.22125,-14.74323,16.5,0.06,18.112,0.059,1.612,0.084148678
4982,4,296.28502,-14.75273,16.28,0.04,17.985,0.052,1.705,0.065604878
5088,4,296.21232,-14.80562,16.53,0.03,18.337,0.071,1.807,0.077077883
5108,4,296.30265,-14.84768,16.42,0.05,17.977,0.051,1.557,0.071421285
5120,4,296.16256,-14.83356,16.59,0.04,18.214,0.064,1.624,0.075471849
5207,4,296.06252,-14.88139,16.46,0.09,18.022,0.061,1.562,0.108724422
5229,4,296.29747,-14.78917,16.35,0.03,17.918,0.049,1.568,0.05745433
5331,4,296.26404,-14.77926,16.45,0.04,18.246,0.064,1.796,0.075471849
5412,4,296.20596,-14.80926,16.45,0.03,18.05,0.056,1.6,0.063529521
5419,4,296.34289,-14.76401,16.55,0.04,18.2,0.051,1.65,0.064815122
5491,4,296.31137,-14.89106,16.45,0.04,18.094,0.056,1.644,0.068818602
5639,4,296.2232,-14.79649,16.53,0.06,18.151,0.061,1.621,0.085562842
5751,4,296.22528,-14.79764,16.56,0.06,18.134,0.06,1.574,0.084852814
5772,4,296.25817,-14.80767,16.57,0.04,18.305,0.068,1.735,0.078892332
5962,4,296.21835,-14.75182,16.71,0.05,18.321,0.069,1.611,0.085211502
5990,4,296.15817,-14.88727,16.65,0.06,18.238,0.065,1.588,0.08845903
6073,4,296.23893,-14.78341,16.7,0.05,18.34,0.07,1.64,0.086023253
6078,4,296.28322,-14.78509,16.56,0.04,18.166,0.06,1.606,0.072111026
6139,4,296.20357,-14.80467,16.71,0.06,18.291,0.068,1.581,0.090686272
6162,4,296.22042,-14.72842,16.63,0.06,18.265,0.066,1.635,0.089196412
6169,4,296.34359,-14.65671,16.69,0.06,18.365,0.07,1.675,0.092195445
6288,4,296.20314,-14.87639,16.57,0.07,18.341,0.07,1.771,0.098994949
6429,4,296.26071,-14.76812,16.53,0.07,18.174,0.061,1.644,0.09284934
6480,4,296.20104,-14.75617,16.45,0.04,18.007,0.053,1.557,0.066400301
9366,4,296.30791,-14.78157,16.5,0.06,18.28,0.066,1.78,0.089196412
512,4,296.18045,-14.80418,15.52,0.08,17.734,0.043,2.214,0.090824006
1056,4,296.35603,-14.80528,15.74,0.05,17.828,0.038,2.088,0.062801274
1135,4,296.2774,-14.83823,15.58,0.14,17.102,0.026,1.522,0.14239382
1442,4,296.09712,-14.83594,15.53,0.05,17.574,0.038,2.044,0.062801274
1795,4,296.26357,-14.76711,15.48,0.03,17.354,0.031,1.874,0.043139309
1979,4,296.20143,-14.84878,15.47,0.04,17.479,0.035,2.009,0.053150729
1985,4,296.21498,-14.7879,15.55,0.06,17.277,0.03,1.727,0.067082039
2009,4,296.2236,-14.74163,15.48,0.06,17.53,0.037,2.05,0.070491134
2022,4,296.16168,-14.79347,15.48,0.05,17.36,0.032,1.88,0.059363288
2040,4,296.34675,-14.85536,15.51,0.08,17.32,0.026,1.81,0.084118963
2068,4,296.27689,-14.81702,15.47,0.05,17.495,0.035,2.025,0.061032778
2079,4,296.27387,-14.67652,15.54,0.06,17.247,0.027,1.707,0.065795137
2090,4,296.2815,-14.74688,15.69,0.05,17.525,0.036,1.835,0.061611687
2101,4,296.1758,-14.79393,15.6,0.05,17.48,0.035,1.88,0.061032778
2140,4,296.08286,-14.68627,15.6,0.07,17.236,0.03,1.636,0.076157731
2150,4,296.1214,-14.67934,15.64,0.09,17.359,0.03,1.719,0.09486833
2155,4,296.21708,-14.87605,15.47,0.04,17.51,0.036,2.04,0.053814496
2166,4,296.40839,-14.69447,15.53,0.07,17.266,0.028,1.736,0.075392307
2169,4,296.29556,-14.67765,15.72,0.06,17.625,0.037,1.905,0.070491134
2176,4,296.14394,-14.70249,15.67,0.07,17.369,0.03,1.699,0.076157731
2184,4,296.21778,-14.78791,15.6,0.1,17.451,0.034,1.851,0.105621967
2189,4,296.22319,-14.7543,15.74,0.06,17.358,0.032,1.618,0.068
2199,4,296.13552,-14.85899,15.53,0.04,17.247,0.029,1.717,0.049406477
2209,4,296.42117,-14.74717,15.55,0.06,17.184,0.023,1.634,0.064257295
2210,4,296.27907,-14.65919,15.48,0.05,17.931,0.047,2.451,0.068622154
2213,4,296.27655,-14.80747,15.49,0.05,17.792,0.044,2.302,0.066603303
2227,4,296.22341,-14.80098,15.51,0.09,17.69,0.042,2.18,0.099317672
2229,4,296.26363,-14.83353,15.49,0.06,17.484,0.035,1.994,0.06946222
2258,4,296.33589,-14.903,15.62,0.06,17.233,0.024,1.613,0.064621978
2261,4,296.28167,-14.82143,15.53,0.03,17.46,0.034,1.93,0.045343136
2277,4,296.10974,-14.74068,15.5,0.08,17.119,0.026,1.619,0.084118963
2280,4,296.19365,-14.67825,15.67,0.07,17.488,0.033,1.818,0.07738863
2283,4,296.25746,-14.806,15.5,0.02,17.426,0.033,1.926,0.038587563
2286,4,296.20049,-14.79362,15.53,0.04,17.143,0.027,1.613,0.048259714
2288,4,296.09619,-14.80545,15.54,0.04,17.235,0.029,1.695,0.049406477
2296,4,296.21642,-14.81519,15.68,0.05,17.822,0.047,2.142,0.068622154
2314,4,296.24105,-14.85061,15.64,0.07,17.452,0.034,1.812,0.077820306
2318,4,296.24793,-14.89738,15.55,0.06,17.604,0.038,2.054,0.071021124
2325,4,296.34887,-14.67696,15.66,0.05,17.24,0.028,1.58,0.057306195
2326,4,296.26156,-14.76971,15.65,0.03,17.345,0.031,1.695,0.043139309
2329,4,296.17012,-14.80907,15.51,0.04,17.336,0.031,1.826,0.050606324
2334,4,296.11861,-14.73341,15.74,0.05,17.554,0.037,1.814,0.062201286
2349,4,296.07697,-14.878,15.62,0.08,17.476,0.039,1.856,0.089
2354,4,296.08803,-14.7402,15.55,0.08,17.225,0.032,1.675,0.086162637
2363,4,296.1393,-14.81281,15.57,0.07,17.309,0.031,1.739,0.076557168
2364,4,296.29065,-14.83057,15.53,0.05,17.417,0.033,1.887,0.059908263
2367,4,296.21317,-14.89446,15.58,0.05,17.76,0.044,2.18,0.066603303
2368,4,296.25958,-14.72781,15.59,0.05,17.477,0.034,1.887,0.060464866
2370,4,296.20488,-14.76276,15.51,0.07,17.696,0.042,2.186,0.081633327
2373,4,296.19954,-14.83589,15.49,0.04,17.946,0.051,2.456,0.064815122
2386,4,296.23196,-14.85213,15.58,0.1,17.611,0.039,2.031,0.107335921
2390,4,296.24316,-14.83359,15.68,0.04,17.621,0.039,1.941,0.055865911
2396,4,296.3391,-14.82267,15.55,0.05,17.292,0.025,1.742,0.055901699
2397,4,296.31611,-14.67925,15.68,0.06,17.443,0.032,1.763,0.068
2404,4,296.25484,-14.84085,15.63,0.04,17.332,0.031,1.702,0.050606324
2406,4,296.1565,-14.75906,15.57,0.04,17.296,0.03,1.726,0.05
2407,4,296.2312,-14.82569,15.59,0.06,17.762,0.044,2.172,0.074404301
2415,4,296.21023,-14.75964,15.66,0.04,17.825,0.046,2.165,0.060959003
2416,4,296.25737,-14.77405,15.71,0.04,17.421,0.033,1.711,0.051855569
2418,4,296.33302,-14.78195,15.92,0.06,17.791,0.037,1.871,0.070491134
2419,4,296.22073,-14.86389,15.58,0.05,17.288,0.03,1.708,0.058309519
2421,4,296.2056,-14.88774,15.67,0.04,18.007,0.053,2.337,0.066400301
2442,4,296.06738,-14.9031,15.64,0.04,17.492,0.04,1.852,0.056568542
2444,4,296.20033,-14.78958,15.56,0.07,17.463,0.035,1.903,0.078262379
2449,4,296.21906,-14.8026,15.66,0.06,17.309,0.031,1.649,0.067535176
2456,4,296.24573,-14.85094,15.62,0.06,17.307,0.03,1.687,0.067082039
2457,4,296.38598,-14.77067,15.63,0.07,17.497,0.029,1.867,0.075769387
2465,4,296.31809,-14.73903,15.58,0.06,17.173,0.023,1.593,0.064257295
2468,4,296.34572,-14.83459,15.6,0.05,17.219,0.024,1.619,0.055461698
2472,4,296.19329,-14.81105,15.73,0.08,17.499,0.036,1.769,0.087726849
2481,4,296.21521,-14.77994,15.71,0.04,17.349,0.032,1.639,0.051224994
2490,4,296.33833,-14.80884,15.59,0.03,17.411,0.028,1.821,0.041036569
2494,4,296.15429,-14.94937,16.01,0.06,17.822,0.045,1.812,0.075
2499,4,296.25148,-14.79806,15.54,0.05,17.625,0.039,2.085,0.063411355
2502,4,296.34956,-14.89429,15.56,0.04,17.314,0.026,1.754,0.047707442
2504,4,296.22426,-14.94052,15.49,0.05,17.259,0.029,1.769,0.057801384
2512,4,296.18482,-14.71779,15.58,0.04,17.435,0.032,1.855,0.051224994
2520,4,296.18286,-14.74215,15.76,0.05,17.648,0.04,1.888,0.064031242
2524,4,296.25007,-14.89343,15.75,0.07,17.307,0.03,1.557,0.076157731
2526,4,296.38945,-14.77564,15.82,0.05,17.346,0.026,1.526,0.056356011
2527,4,296.265,-14.71538,15.65,0.03,17.411,0.031,1.761,0.043139309
2531,4,296.23052,-14.79259,15.65,0.05,17.228,0.029,1.578,0.057801384
2534,4,296.13513,-14.94191,15.55,0.05,17.856,0.047,2.306,0.068622154
2535,4,296.22253,-14.78229,15.6,0.08,17.499,0.036,1.899,0.087726849
2539,4,296.12955,-14.7898,15.82,0.04,17.436,0.034,1.616,0.052497619
2545,4,296.24529,-14.83366,15.58,0.05,17.074,0.025,1.494,0.055901699
2554,4,296.20177,-14.89958,15.59,0.02,17.568,0.037,1.978,0.042059482
2560,4,296.16308,-14.83488,15.57,0.06,17.367,0.032,1.797,0.068
2562,4,296.10357,-14.72305,15.73,0.07,17.447,0.032,1.717,0.076967526
2566,4,296.06422,-14.73609,15.6,0.04,17.59,0.043,1.99,0.058728187
2571,4,296.18283,-14.80785,15.71,0.07,17.302,0.031,1.592,0.076557168
2574,4,296.14931,-14.87252,15.64,0.05,17.581,0.038,1.941,0.062801274
2576,4,296.15149,-14.65679,15.63,0.11,17.352,0.029,1.722,0.113758516
2580,4,296.1596,-14.90202,15.59,0.05,17.387,0.032,1.797,0.059363288
2582,4,296.26939,-14.67168,15.75,0.04,17.412,0.031,1.662,0.050606324
2583,4,296.21616,-14.79186,15.63,0.07,17.427,0.034,1.797,0.077820306
2588,4,296.22953,-14.78307,15.77,0.04,17.681,0.041,1.911,0.057280014
2589,4,296.22606,-14.67385,15.59,0.09,17.222,0.027,1.632,0.093962759
2596,4,296.26481,-14.77334,15.85,0.06,17.395,0.032,1.545,0.068
2598,4,296.2579,-14.77344,15.65,0.04,17.331,0.031,1.681,0.050606324
2599,4,296.28788,-14.86682,15.74,0.05,17.827,0.045,2.087,0.06726812
2601,4,296.21225,-14.83015,15.54,0.04,17.27,0.03,1.73,0.05
2604,4,296.25003,-14.88985,15.62,0.05,17.376,0.032,1.756,0.059363288
2610,4,296.36466,-14.8653,15.72,0.05,17.454,0.029,1.734,0.057801384
2615,4,296.27181,-14.80144,15.86,0.06,17.641,0.039,1.781,0.071561163
2620,4,296.2761,-14.75169,15.6,0.04,17.531,0.036,1.931,0.053814496
2622,4,296.25074,-14.82453,15.85,0.19,17.455,0.034,1.605,0.193018134
2625,4,296.08376,-14.72388,15.65,0.04,17.549,0.038,1.899,0.055172457
2627,4,296.15238,-14.78843,15.58,0.05,17.135,0.027,1.555,0.056824291
2646,4,296.24486,-14.71601,15.69,0.03,17.331,0.029,1.641,0.041725292
2648,4,296.29463,-14.88905,15.85,0.04,17.517,0.035,1.667,0.053150729
2655,4,296.2195,-14.81692,15.63,0.04,17.468,0.035,1.838,0.053150729
2658,4,296.24772,-14.74262,15.73,0.04,17.401,0.033,1.671,0.051855569
2660,4,296.30771,-14.78693,15.73,0.04,17.558,0.037,1.828,0.054488531
2665,4,296.08957,-14.79139,15.63,0.04,17.168,0.031,1.538,0.050606324
2666,4,296.17552,-14.8511,15.67,0.06,17.488,0.035,1.818,0.06946222
2669,4,296.34382,-14.74659,15.63,0.04,17.437,0.028,1.807,0.048826222
2670,4,296.20264,-14.86327,15.65,0.07,17.273,0.03,1.623,0.076157731
2672,4,296.2001,-14.70608,15.92,0.12,17.71,0.04,1.79,0.126491106
2677,4,296.18849,-14.86113,15.59,0.08,17.551,0.037,1.961,0.088141931
2678,4,296.33987,-14.74514,15.62,0.04,18.044,0.045,2.424,0.060207973
2682,4,296.25516,-14.89223,15.68,0.03,17.523,0.036,1.843,0.046861498
2685,4,296.17013,-14.69651,15.68,0.05,17.366,0.03,1.686,0.058309519
2686,4,296.15569,-14.77777,15.87,0.04,17.538,0.037,1.668,0.054488531
2693,4,296.24014,-14.81849,15.62,0.05,17.235,0.029,1.615,0.057801384
2703,4,296.19769,-14.8837,15.64,0.05,17.866,0.048,2.226,0.069310894
2704,4,296.2777,-14.67853,15.83,0.08,17.335,0.029,1.505,0.085094066
2714,4,296.26969,-14.81192,15.79,0.05,17.43,0.033,1.64,0.059908263
2715,4,296.22305,-14.80579,15.64,0.05,17.685,0.041,2.045,0.064660653
2717,4,296.19493,-14.86145,15.72,0.07,17.267,0.03,1.547,0.076157731
2718,4,296.28979,-14.87625,15.6,0.03,17.404,0.032,1.804,0.043863424
2726,4,296.25215,-14.757,15.8,0.03,17.914,0.049,2.114,0.05745433
2727,4,296.21082,-14.85762,15.78,0.03,17.474,0.035,1.694,0.046097722
2729,4,296.18951,-14.85088,15.61,0.03,17.267,0.03,1.657,0.042426407
2741,4,296.08199,-14.75137,15.7,0.05,17.425,0.038,1.725,0.062801274
2745,4,296.2229,-14.79466,15.7,0.06,17.533,0.037,1.833,0.070491134
2762,4,296.4313,-14.88937,15.81,0.08,17.335,0.026,1.525,0.084118963
2764,4,296.30934,-14.86859,15.69,0.04,17.326,0.03,1.636,0.05
2771,4,296.35422,-14.85556,15.71,0.05,17.334,0.026,1.624,0.056356011
2773,4,296.08544,-14.82648,15.7,0.05,17.72,0.048,2.02,0.069310894
2778,4,296.22128,-14.82709,15.69,0.04,17.23,0.029,1.54,0.049406477
2784,4,296.30856,-14.84051,15.66,0.03,17.247,0.029,1.587,0.041725292
2794,4,296.39396,-14.86748,15.96,0.03,17.776,0.036,1.816,0.046861498
2795,4,296.13171,-14.75936,15.84,0.07,17.368,0.032,1.528,0.076967526
2809,4,296.21205,-14.78519,15.86,0.05,17.944,0.051,2.084,0.071421285
2813,4,296.22001,-14.91932,15.77,0.05,17.669,0.04,1.899,0.064031242
2820,4,296.08997,-14.9054,15.63,0.03,17.896,0.055,2.266,0.06264982
2837,4,296.26012,-14.74436,15.87,0.04,17.379,0.032,1.509,0.051224994
2847,4,296.06931,-14.95065,16.03,0.06,17.63,0.038,1.6,0.071021124
2848,4,296.14161,-14.75492,15.84,0.07,17.915,0.049,2.075,0.085445889
2851,4,296.23314,-14.83075,15.83,0.04,17.391,0.033,1.561,0.051855569
2853,4,296.07205,-14.84899,15.68,0.08,17.291,0.034,1.611,0.086925255
2855,4,296.29615,-14.84267,15.89,0.06,17.485,0.034,1.595,0.068963759
2860,4,296.23341,-14.7499,15.85,0.07,17.907,0.049,2.057,0.085445889
2861,4,296.20746,-14.89638,15.69,0.05,17.393,0.033,1.703,0.059908263
2865,4,296.316,-14.78499,15.76,0.05,17.818,0.045,2.058,0.06726812
2875,4,296.23811,-14.80055,15.64,0.05,17.603,0.038,1.963,0.062801274
2878,4,296.27236,-14.83213,15.8,0.05,17.767,0.043,1.967,0.065946948
2884,4,296.08488,-14.78116,15.74,0.06,17.638,0.045,1.898,0.075
2885,4,296.28341,-14.7894,15.84,0.07,17.473,0.035,1.633,0.078262379
2887,4,296.22267,-14.88186,15.82,0.04,17.357,0.032,1.537,0.051224994
2892,4,296.21095,-14.79293,15.67,0.03,17.738,0.043,2.068,0.052430907
2894,4,296.25945,-14.81701,15.78,0.03,17.445,0.034,1.665,0.045343136
2900,4,296.22833,-14.81498,15.8,0.05,17.693,0.041,1.893,0.064660653
2906,4,296.22125,-14.85777,15.8,0.03,17.662,0.04,1.862,0.05
2911,4,296.12093,-14.85224,15.87,0.06,17.407,0.033,1.537,0.068476273
2917,4,296.07753,-14.78311,15.66,0.05,17.247,0.033,1.587,0.059908263
2933,4,296.23678,-14.67093,15.73,0.07,17.437,0.032,1.707,0.076967526
2934,4,296.25319,-14.84344,15.75,0.05,17.584,0.038,1.834,0.062801274
2955,4,296.18043,-14.82104,15.83,0.04,17.864,0.048,2.034,0.062481997
2969,4,296.20308,-14.81118,15.69,0.03,17.322,0.031,1.632,0.043139309
2971,4,296.11086,-14.79074,15.9,0.03,17.608,0.039,1.708,0.049203658
2978,4,296.28816,-14.67795,15.8,0.03,17.505,0.033,1.705,0.044598206
2989,4,296.18147,-14.72359,15.97,0.04,17.743,0.041,1.773,0.057280014
2990,4,296.23974,-14.81981,15.82,0.04,17.947,0.051,2.127,0.064815122
2996,4,296.22074,-14.72483,15.85,0.05,17.37,0.03,1.52,0.058309519
3002,4,296.16652,-14.86605,15.85,0.06,17.451,0.034,1.601,0.068963759
3005,4,296.26021,-14.9084,15.8,0.06,17.675,0.04,1.875,0.072111026
3019,4,296.2469,-14.80604,15.9,0.06,17.647,0.04,1.747,0.072111026
3021,4,296.26671,-14.84572,15.8,0.03,17.407,0.033,1.607,0.044598206
3031,4,296.21731,-14.71574,16.18,0.06,17.718,0.04,1.538,0.072111026
3036,4,296.19191,-14.7933,15.77,0.04,17.347,0.032,1.577,0.051224994
3059,4,296.23071,-14.74292,15.86,0.06,17.583,0.038,1.723,0.071021124
3066,4,296.10679,-14.87421,15.92,0.04,17.575,0.038,1.655,0.055172457
3069,4,296.23875,-14.80599,15.71,0.06,17.348,0.031,1.638,0.067535176
3074,4,296.18036,-14.74846,15.85,0.06,17.632,0.039,1.782,0.071561163
3075,4,296.08457,-14.83232,15.67,0.1,17.499,0.04,1.829,0.107703296
3079,4,296.27982,-14.75879,15.96,0.06,18.016,0.053,2.056,0.08005623
3086,4,296.16212,-14.82302,15.85,0.06,17.454,0.034,1.604,0.068963759
3101,4,296.09919,-14.70826,15.9,0.08,17.484,0.033,1.584,0.086539009
