,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
9839,9840,296.37414,-14.67387,17.51,0.05,0.04,17.26,0.12,0.01,16.86,0.19,-9999.0,16.31,0.17,-9999.0,12.51,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9840,9841,296.03819,-14.71695,17.31,0.07,0.18,17.26,0.1,0.04,16.47,0.15,-9999.0,16.16,0.25,-9999.0,11.52,0.09,0.36326037787642407,296.03808599999996,-14.716957999999998,18.371,0.075,17.986,0.062,17.671,0.065,-9999,-9999,6
9842,9843,296.20715,-14.899389999999999,17.45,0.14,1.16,17.26,0.14,1.19,16.97,0.1,1.25,15.11,0.13,-9999.0,12.12,0.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9843,9844,296.37011,-14.82846,17.42,0.07,0.08,17.26,0.07,0.05,16.34,0.14,-0.35,16.11,0.12,-9999.0,11.37,0.17,0.0794279934531293,296.370117,-14.828439000000001,18.575,0.069,17.624000000000002,0.048,17.635,0.067,-9999,-9999,6
9844,9845,296.24959,-14.83879,17.39,0.07,0.49,17.26,0.07,0.24,17.18,-9999.0,-9999.0,15.77,0.19,-9999.0,13.0,-9999.0,0.183348780336488,296.249542,-14.838769000000001,18.712,0.09699999999999999,18.017,0.08,17.732,0.078,-9999,-9999,6
9845,9846,296.25137,-14.7716,17.43,0.07,0.32,17.26,0.07,0.03,17.67,0.24,-9999.0,16.0,0.13,-9999.0,12.55,0.21,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9846,9847,296.26306,-14.93876,17.47,0.06,1.07,17.26,0.08,0.74,16.3,0.12,-0.04,15.85,0.19,-9999.0,12.73,-9999.0,0.434513450358104,296.262939,-14.93873,18.608,0.086,-9999.0,-9999.0,17.874000000000002,0.1,-9999,-9999,6
9847,9848,296.1815,-14.82288,17.29,0.05,0.2,17.26,0.04,0.03,16.68,0.1,-9999.0,15.99,0.11,-9999.0,12.26,-9999.0,0.25193690917995604,296.181458,-14.822823000000001,17.936,0.051,17.611,0.055999999999999994,17.594,0.069,-9999,-9999,6
9848,9849,296.15333,-14.878229999999999,17.84,0.06,-0.05,17.26,0.06,-0.1,16.15,0.13,-0.6,15.77,0.14,-9999.0,11.93,0.19,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9849,9850,296.27151000000003,-14.729289999999999,17.39,0.07,-0.06,17.26,0.06,-0.39,17.49,-9999.0,-9999.0,16.08,0.12,-9999.0,11.5,-9999.0,0.335393786326388,296.27142299999997,-14.72933,18.279,0.066,17.993,0.079,18.148,0.126,-9999,-9999,6
9851,9852,296.27074,-14.743770000000001,17.17,0.05,0.14,17.26,0.07,-0.17,16.97,0.18,-9999.0,16.06,0.17,0.32,12.57,-9999.0,0.0528689538712254,296.270752,-14.743761,18.272000000000002,0.066,17.645,0.059000000000000004,17.57,0.071,-9999,-9999,6
9853,9854,296.17869,-14.80228,17.17,0.05,0.3,17.26,0.09,0.04,17.16,0.17,-9999.0,16.21,0.17,-9999.0,11.68,-9999.0,0.35552555309588896,296.17861899999997,-14.802209,18.35,0.071,17.647000000000002,0.057999999999999996,17.489,0.063,-9999,-9999,6
9854,9855,296.31316,-14.87333,17.3,0.03,-0.19,17.26,0.05,-0.29,17.25,0.15,-0.05,16.54,0.26,-9999.0,12.6,-9999.0,0.28939901283343705,296.31307999999996,-14.873307999999998,17.857,0.046,17.733,0.064,17.582,0.068,-9999,-9999,6
9855,9856,296.08715,-14.75111,17.21,0.05,0.03,17.26,0.08,0.07,17.23,0.19,0.74,15.84,0.21,-9999.0,12.74,-9999.0,0.32446717709221995,296.087067,-14.751069000000001,18.298,0.077,17.488,0.054000000000000006,17.365,0.081,-9999,-9999,6
9856,9857,296.24397999999997,-14.807020000000001,17.24,0.07,-0.32,17.26,0.09,-9999.0,16.6,0.12,-9999.0,16.76,0.25,-9999.0,11.67,-9999.0,0.20219491820873997,296.243927,-14.806997,18.224,0.064,17.730999999999998,0.063,17.592,0.069,-9999,-9999,6
9857,9858,296.33477999999997,-14.67317,17.53,0.06,0.75,17.26,0.11,0.5,16.84,0.21,-9999.0,16.04,0.15,-9999.0,10.94,0.1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9858,9859,296.40002000000004,-14.79519,17.6,0.07,0.06,17.26,0.1,-0.11,16.72,0.18,0.44,16.26,0.11,0.15,12.29,-9999.0,0.41828219638044,296.399902,-14.795212,18.705,0.076,17.97,0.063,17.883,0.083,-9999,-9999,6
9859,9860,296.29082999999997,-14.8298,17.12,0.08,1.12,17.26,0.06,1.07,16.63,0.11,0.66,15.29,0.12,-9999.0,12.76,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9863,9864,296.31869,-14.76813,17.79,0.08,-0.01,17.26,0.1,-0.29,17.39,-9999.0,-9999.0,16.11,0.17,-9999.0,12.56,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9864,9865,296.15526,-14.6605,17.35,0.09,0.43,17.26,0.08,0.13,16.9,0.2,-9999.0,16.19,0.14,0.26,12.49,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9868,9869,296.23798,-14.70377,17.28,0.06,0.48,17.27,0.09,0.82,16.54,0.2,0.5,15.1,0.11,-9999.0,11.41,0.12,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
9874,9875,296.26512,-14.943470000000001,17.27,0.05,-0.15,17.27,0.06,-0.28,16.48,0.07,-0.35,15.99,0.14,-9999.0,12.25,-9999.0,0.621561875345379,296.26498399999997,-14.943357999999998,18.453,0.075,17.757,0.06,17.577,0.087,-9999,-9999,6
9879,9880,296.14734,-14.73975,17.34,0.07,0.51,17.27,0.11,0.41,17.19,0.16,0.71,15.89,0.14,-0.53,12.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,6
