ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
5529,296.35183,-14.83,17.677,0.034,16.712,0.031,0.965,0.046010868
5540,296.33065,-14.72123,17.693,0.034,16.557,0.027,1.136,0.043416587
5541,296.31564,-14.93097,17.883,0.047,16.936,0.04,0.947,0.061717096
5548,296.37052,-14.84504,17.702,0.034,16.648,0.029,1.054,0.044687806
5550,296.19251,-14.90135,17.672,0.041,16.644,0.031,1.028,0.051400389
5551,296.41222,-14.76873,17.579,0.031,16.655,0.029,0.924,0.042449971
5579,296.2211,-14.77868,17.706,0.042,16.719,0.033,0.987,0.053413481
5589,296.27322,-14.76203,17.792,0.044,16.859,0.038,0.933,0.058137767
5590,296.21693,-14.8117,17.838,0.047,16.715,0.033,1.123,0.057428216
5592,296.2592,-14.74124,17.792,0.044,16.619,0.031,1.173,0.053823787
5597,296.14522,-14.76161,17.921,0.05,16.946,0.04,0.975,0.064031242
5598,296.18674,-14.80426,17.875,0.048,16.829,0.036,1.046,0.06
5602,296.30608,-14.7237,17.855,0.044,16.908,0.034,0.947,0.055605755
5604,296.32214,-14.74441,17.795,0.037,16.828,0.034,0.967,0.050249378
5615,296.06696,-14.8066,17.896,0.055,16.937,0.042,0.959,0.069202601
5616,296.23387,-14.78914,17.75,0.044,16.735,0.034,1.015,0.055605755
5617,296.24652,-14.74062,17.872,0.047,16.84,0.037,1.032,0.059816386
5626,296.34021,-14.73833,17.775,0.037,16.852,0.035,0.923,0.050931326
5627,296.09663,-14.88143,17.981,0.052,17.029,0.043,0.952,0.067475922
5631,296.28557,-14.73458,17.582,0.037,16.59,0.033,0.992,0.049578221
5638,296.29603,-14.8618,17.968,0.051,17.011,0.042,0.957,0.066068147
5642,296.26745,-14.80683,17.859,0.047,16.748,0.034,1.111,0.05800862
5655,296.17132,-14.74525,18.02,0.054,16.97,0.041,1.05,0.06780118
5660,296.2149,-14.79393,17.744,0.044,16.657,0.032,1.087,0.054405882
5665,296.24883,-14.83193,17.597,0.038,16.59,0.03,1.007,0.048414874
5666,296.37345,-14.78251,17.832,0.038,16.851,0.035,0.981,0.051662365
5675,296.198,-14.84952,17.777,0.044,16.698,0.033,1.079,0.055
5682,296.25932,-14.88937,18.07,0.056,17.095,0.045,0.975,0.0718401
5688,296.16966,-14.77442,17.922,0.05,16.841,0.037,1.081,0.062201286
5701,296.31653,-14.84446,17.693,0.034,16.718,0.031,0.975,0.046010868
5708,296.17389,-14.85556,17.837,0.047,16.649,0.031,1.188,0.056302753
5716,296.35219,-14.72329,17.672,0.034,16.739,0.032,0.933,0.04669047
5727,296.35733,-14.92149,17.726,0.035,16.706,0.031,1.02,0.046754679
5733,296.12778,-14.72983,17.725,0.042,16.64,0.031,1.085,0.052201533
5740,296.1823,-14.78831,17.802,0.045,16.652,0.031,1.15,0.054644304
5743,296.20016,-14.81259,17.91,0.05,16.893,0.038,1.017,0.062801274
5744,296.16823,-14.84602,17.785,0.045,16.793,0.035,0.992,0.057008771
5746,296.06439,-14.81039,17.869,0.054,16.861,0.038,1.008,0.066030296
5753,296.35682,-14.66391,17.828,0.045,16.79,0.03,1.038,0.054083269
5762,296.15582,-14.70294,17.811,0.043,16.901,0.034,0.91,0.05481788
5777,296.25749,-14.87785,17.947,0.05,16.858,0.037,1.089,0.062201286
5779,296.23149,-14.9223,18.052,0.055,17.135,0.047,0.917,0.072346389
5780,296.39093,-14.74783,17.828,0.038,16.857,0.035,0.971,0.051662365
5782,296.23069,-14.83333,17.825,0.046,16.83,0.036,0.995,0.058412327
5783,296.18854,-14.74608,17.779,0.044,16.736,0.033,1.043,0.055
5784,296.18217,-14.79971,17.866,0.048,16.851,0.037,1.015,0.06060528
5785,296.30397,-14.81481,17.866,0.047,16.732,0.035,1.134,0.058600341
5787,296.20055,-14.80013,17.786,0.045,16.759,0.034,1.027,0.056400355
5790,296.38282,-14.70994,17.795,0.043,16.712,0.028,1.083,0.051312766
5803,296.23929,-14.89543,17.837,0.046,16.878,0.038,0.959,0.059665736
5811,296.23449,-14.82938,17.976,0.052,16.987,0.042,0.989,0.0668431
5817,296.32554,-14.63332,18.063,0.052,17.131,0.041,0.932,0.066219333
5820,296.23801,-14.79889,17.814,0.045,16.807,0.036,1.007,0.057628118
5834,296.17872,-14.89569,18.085,0.057,17.087,0.045,0.998,0.072622311
5850,296.18674,-14.90815,17.764,0.044,16.708,0.033,1.056,0.055
5851,296.28051,-14.81608,17.938,0.05,16.905,0.039,1.033,0.063411355
5861,296.28436,-14.75967,17.737,0.042,16.736,0.036,1.001,0.055317267
5867,296.35447,-14.68034,17.628,0.038,16.665,0.027,0.963,0.046615448
5869,296.14237,-14.72899,17.891,0.048,16.904,0.039,0.987,0.061846584
5879,296.22521,-14.84133,17.726,0.043,16.762,0.034,0.964,0.05481788
5881,296.13989,-14.72895,17.796,0.045,16.721,0.033,1.075,0.055803226
5885,296.23803,-14.77897,18.134,0.059,17.213,0.05,0.921,0.077336925
5891,296.23129,-14.88549,18.004,0.053,17.024,0.042,0.98,0.06762396
5895,296.30407,-14.79472,17.916,0.049,17.011,0.045,0.905,0.06652819
5900,296.13569,-14.70243,17.759,0.041,16.674,0.028,1.085,0.049648766
5905,296.16735,-14.787,17.811,0.046,16.862,0.038,0.949,0.059665736
5908,296.08641,-14.86023,17.87,0.054,16.872,0.037,0.998,0.065459911
5911,296.41533,-14.75744,17.906,0.04,16.917,0.037,0.989,0.054488531
5914,296.34036,-14.80442,17.831,0.038,16.812,0.034,1.019,0.050990195
5916,296.21375,-14.80985,17.93,0.051,16.964,0.041,0.966,0.065436993
5920,296.12071,-14.82519,17.665,0.041,16.722,0.033,0.943,0.052630789
5925,296.25033,-14.74839,18.02,0.053,17.069,0.045,0.951,0.069526973
5931,296.10877,-14.76067,17.823,0.046,16.803,0.035,1.02,0.057801384
5943,296.30426,-14.76003,18.197,0.062,17.269,0.058,0.928,0.084899941
5947,296.39089,-14.79633,17.892,0.04,16.976,0.038,0.916,0.055172457
5948,296.29098,-14.77072,17.984,0.052,16.995,0.044,0.989,0.068117545
5949,296.24968,-14.78571,17.879,0.048,16.884,0.038,0.995,0.061220911
5950,296.23588,-14.82066,17.687,0.041,16.767,0.034,0.92,0.053263496
5960,296.18745,-14.82068,17.785,0.045,16.65,0.031,1.135,0.054644304
5974,296.21794,-14.80178,17.738,0.044,16.612,0.03,1.126,0.053254108
5978,296.2639,-14.66034,17.718,0.04,16.591,0.026,1.127,0.047707442
6000,296.08402,-14.86516,17.95,0.058,16.9,0.037,1.05,0.068796802
6002,296.23229,-14.78661,18.079,0.057,17.125,0.047,0.954,0.073878278
6013,296.29201,-14.80538,17.975,0.051,16.972,0.041,1.003,0.065436993
6017,296.21577,-14.75577,17.829,0.046,16.891,0.038,0.938,0.059665736
6020,296.12968,-14.81091,17.995,0.053,16.979,0.041,1.016,0.067007462
6022,296.27279,-14.85225,18.044,0.054,16.983,0.041,1.061,0.06780118
6023,296.22076,-14.75581,17.957,0.052,16.937,0.04,1.02,0.065604878
6026,296.09582,-14.81834,17.735,0.043,16.728,0.034,1.007,0.05481788
6028,296.24988,-14.69408,17.844,0.044,16.872,0.033,0.972,0.055
6031,296.05333,-14.67282,17.84,0.048,16.826,0.032,1.014,0.05768882
6032,296.22051,-14.79894,17.968,0.052,16.902,0.039,1.066,0.065
6038,296.26858,-14.7835,17.774,0.044,16.761,0.034,1.013,0.055605755
6045,296.24406,-14.70049,17.749,0.041,16.832,0.032,0.917,0.052009614
6056,296.18371,-14.6671,17.94,0.047,16.857,0.033,1.083,0.057428216
6064,296.22577,-14.70739,17.982,0.049,16.907,0.034,1.075,0.05964059
6065,296.28915,-14.77916,18.139,0.059,17.225,0.053,0.914,0.07930952
6068,296.12621,-14.75981,17.875,0.048,16.819,0.036,1.056,0.06
