ID,CMD2region,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
2613,1,296.09113,-14.74182,16.81,0.28,16.594,0.018,-0.216,0.280577975
2654,1,296.27984,-14.6413,16.87,0.1,17.031,0.023,0.161,0.102610916
3251,1,296.18702,-14.68905,16.39,0.16,17.064,0.024,0.674,0.161789987
3292,1,296.25617,-14.93581,16.37,0.13,16.474,0.016,0.104,0.130980915
3321,1,296.04845,-14.7106,17.01,0.13,17.184,0.028,0.174,0.132981202
3337,1,296.06752,-14.72555,16.66,0.22,16.863,0.024,0.203,0.221305219
3470,1,296.26792,-14.73548,16.42,0.08,17.192,0.028,0.772,0.08475848
3561,1,296.0831,-14.84028,16.44,0.06,16.641,0.021,0.201,0.06356886
3644,1,296.13066,-14.76558,16.48,0.04,16.534,0.017,0.054,0.043462628
3691,1,296.11149,-14.92954,16.94,0.09,17.496,0.035,0.556,0.09656604
3766,1,296.29167,-14.93724,17.14,0.1,17.436,0.033,0.296,0.105304321
3799,1,296.37408,-14.68593,16.46,0.21,16.703,0.018,0.243,0.210770017
3816,1,296.31608,-14.63695,16.39,0.05,16.709,0.018,0.319,0.053141321
3845,1,296.38089,-14.79536,16.54,0.14,17.176,0.023,0.636,0.141876707
3875,1,296.26576,-14.93873,16.64,0.05,17.373,0.032,0.733,0.059363288
3895,1,296.23523,-14.8723,16.4,0.03,16.69,0.019,0.29,0.035510562
3943,1,296.11142,-14.82665,16.51,0.08,16.809,0.021,0.299,0.082710338
3945,1,296.38926,-14.82035,16.38,0.06,16.827,0.018,0.447,0.062641839
3950,1,296.13292,-14.66518,16.5,0.08,17.188,0.026,0.688,0.084118963
3986,1,296.43266,-14.91093,16.53,0.07,17,0.021,0.47,0.073082146
4008,1,296.24466,-14.85735,16.74,0.18,17.527,0.036,0.787,0.183564702
4021,1,296.16589,-14.76728,16.49,0.04,17.229,0.029,0.739,0.049406477
4046,1,296.23931,-14.78867,16.34,0.06,16.702,0.019,0.362,0.062936476
4058,1,296.25381,-14.69329,16.41,0.05,16.843,0.02,0.433,0.053851648
4090,1,296.19399,-14.91875,16.35,0.05,16.794,0.021,0.444,0.054230987
4107,1,296.35919,-14.64981,16.37,0.06,16.788,0.019,0.418,0.062936476
4130,1,296.35174,-14.66896,16.38,0.07,17.099,0.025,0.719,0.074330344
4166,1,296.20002,-14.83897,16.37,0.04,16.812,0.021,0.442,0.045177428
4186,1,296.38376,-14.63844,16.49,0.07,16.685,0.018,0.195,0.072277244
4213,1,296.0813,-14.84044,16.39,0.05,17.016,0.028,0.626,0.057306195
4222,1,296.34592,-14.67921,16.4,0.04,16.946,0.022,0.546,0.045650849
4230,1,296.31012,-14.85017,16.35,0.03,16.85,0.021,0.5,0.036619667
4250,1,296.08254,-14.86076,16.97,0.12,17.494,0.04,0.524,0.126491106
4282,1,296.39664,-14.63107,16.53,0.08,17.219,0.027,0.689,0.084433406
4291,1,296.11031,-14.96527,16.43,0.06,17.181,0.027,0.751,0.065795137
4311,1,296.17983,-14.73003,16.34,0.05,16.961,0.023,0.621,0.055036352
4322,1,296.38541,-14.72145,16.38,0.07,16.93,0.02,0.55,0.072801099
4341,1,296.23859,-14.73813,16.44,0.04,16.823,0.021,0.383,0.045177428
4344,1,296.23189,-14.83527,16.45,0.08,16.84,0.021,0.39,0.082710338
4349,1,296.12995,-14.86497,16.46,0.06,17.091,0.026,0.631,0.065391131
4352,1,296.35786,-14.72228,16.36,0.06,16.798,0.018,0.438,0.062641839
4355,1,296.09739,-14.81541,16.4,0.07,17.057,0.025,0.657,0.074330344
4359,1,296.39972,-14.63427,16.37,0.08,16.956,0.022,0.586,0.082969874
4386,1,296.18256,-14.65177,16.61,0.12,17.424,0.031,0.814,0.123939501
4407,1,296.13104,-14.71567,16.43,0.04,16.659,0.018,0.229,0.043863424
4418,1,296.34607,-14.84185,16.37,0.06,16.961,0.02,0.591,0.063245553
4419,1,296.09017,-14.79543,16.36,0.05,17.199,0.032,0.839,0.059363288
4428,1,296.17351,-14.65841,16.47,0.1,16.897,0.021,0.427,0.102181212
4452,1,296.03225,-14.7359,16.78,0.11,16.933,0.026,0.153,0.113030969
4460,1,296.24934,-14.93921,16.53,0.05,16.919,0.022,0.389,0.054626001
4462,1,296.22748,-14.7847,16.4,0.07,16.937,0.023,0.537,0.073681748
4471,1,296.12416,-14.69309,17.11,0.16,17.203,0.026,0.093,0.162098735
4475,1,296.28238,-14.64948,16.7,0.12,17.37,0.03,0.67,0.123693169
4482,1,296.1124,-14.67655,16.96,0.16,17.302,0.028,0.342,0.162431524
4489,1,296.41142,-14.75594,16.48,0.06,17.175,0.023,0.695,0.064257295
4491,1,296.1375,-14.84963,16.41,0.06,17.181,0.028,0.771,0.066211781
4494,1,296.30389,-14.93227,16.42,0.05,17.209,0.028,0.789,0.057306195
4508,1,296.16857,-14.73837,16.35,0.04,16.901,0.022,0.551,0.045650849
4513,1,296.37657,-14.77782,16.38,0.04,16.889,0.019,0.509,0.04428318
4520,1,296.29962,-14.67967,16.43,0.07,17.257,0.027,0.827,0.075026662
4527,1,296.36309,-14.75763,16.4,0.04,16.877,0.019,0.477,0.04428318
4543,1,296.32508,-14.91034,16.48,0.05,16.968,0.02,0.488,0.053851648
4555,1,296.33729,-14.70959,16.37,0.05,17.091,0.025,0.721,0.055901699
