ID,CMD1region,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
2309,1,296.17137,-14.78977,16.158,0.013,15.767,0.016,0.391,0.020615528
2310,1,296.21095,-14.73996,16.363,0.015,15.747,0.015,0.616,0.021213203
2312,1,296.21861,-14.76807,16.221,0.014,15.759,0.015,0.462,0.020518285
2313,1,296.14334,-14.76307,16.088,0.013,15.641,0.014,0.447,0.019104973
2317,1,296.09481,-14.8431,16.07,0.013,15.655,0.014,0.415,0.019104973
2319,1,296.19859,-14.76926,16.215,0.014,15.777,0.016,0.438,0.021260292
2320,1,296.30587,-14.82144,16.204,0.013,15.885,0.017,0.319,0.021400935
2323,1,296.38249,-14.69385,16.031,0.011,15.618,0.012,0.413,0.016278821
2333,1,296.13183,-14.83601,16.162,0.013,15.621,0.014,0.541,0.019104973
2340,1,296.17597,-14.83218,16.188,0.014,15.666,0.014,0.522,0.01979899
2342,1,296.1903,-14.72984,16.226,0.014,15.705,0.015,0.521,0.020518285
2345,1,296.33443,-14.73951,16.17,0.012,15.719,0.014,0.451,0.018439089
2353,1,296.36207,-14.91082,16.22,0.012,15.648,0.013,0.572,0.017691806
2357,1,296.05796,-14.7815,16.092,0.014,15.68,0.015,0.412,0.020518285
2362,1,296.19451,-14.82857,16.269,0.014,15.774,0.016,0.495,0.021260292
2371,1,296.17767,-14.94493,15.918,0.011,15.597,0.015,0.321,0.018601075
2374,1,296.26984,-14.81676,16.128,0.013,15.803,0.016,0.325,0.020615528
2378,1,296.37126,-14.90153,16.107,0.012,15.746,0.014,0.361,0.018439089
2384,1,296.07001,-14.8292,15.927,0.013,15.617,0.014,0.31,0.019104973
2398,1,296.25453,-14.73121,16.438,0.016,15.808,0.016,0.63,0.022627417
2400,1,296.15676,-14.90152,16.142,0.013,15.64,0.014,0.502,0.019104973
2401,1,296.05643,-14.8473,16.299,0.016,15.733,0.015,0.566,0.021931712
2410,1,296.37082,-14.85963,16.262,0.013,15.816,0.015,0.446,0.019849433
2414,1,296.16299,-14.76738,16.119,0.013,15.613,0.014,0.506,0.019104973
2425,1,296.23838,-14.85439,16.435,0.016,15.817,0.016,0.618,0.022627417
2426,1,296.42084,-14.78443,15.918,0.01,15.634,0.013,0.284,0.016401219
2436,1,296.29923,-14.90966,15.985,0.012,15.631,0.014,0.354,0.018439089
2437,1,296.06073,-14.76754,15.975,0.013,15.602,0.015,0.373,0.019849433
2438,1,296.15135,-14.7454,16.166,0.013,15.7,0.015,0.466,0.019849433
2459,1,296.3362,-14.8923,16.073,0.011,15.666,0.014,0.407,0.017804494
2464,1,296.32564,-14.72473,16.268,0.013,15.823,0.015,0.445,0.019849433
2470,1,296.27509,-14.78237,16.036,0.012,15.778,0.016,0.258,0.02
2473,1,296.44257,-14.8616,16.294,0.013,15.839,0.015,0.455,0.019849433
2475,1,296.12318,-14.72469,16.157,0.012,15.77,0.014,0.387,0.018439089
2477,1,296.24338,-14.68154,16.154,0.012,15.654,0.013,0.5,0.017691806
2479,1,296.23314,-14.81352,16.124,0.013,15.775,0.016,0.349,0.020615528
2480,1,296.07232,-14.8302,16.359,0.017,15.751,0.015,0.608,0.022671568
2485,1,296.26129,-14.82135,16.152,0.013,15.849,0.016,0.303,0.020615528
2489,1,296.09213,-14.76126,16.294,0.014,15.732,0.015,0.562,0.020518285
2495,1,296.10402,-14.9065,16.074,0.013,15.707,0.015,0.367,0.019849433
2505,1,296.08856,-14.94463,16.116,0.013,15.716,0.024,0.4,0.027294688
2506,1,296.08358,-14.96711,15.974,0.011,15.66,0.019,0.314,0.021954498
2511,1,296.04481,-14.74403,16.174,0.015,15.786,0.017,0.388,0.022671568
2514,1,296.22777,-14.82437,16.175,0.013,15.792,0.016,0.383,0.020615528
2516,1,296.12699,-14.75735,16.083,0.013,15.778,0.016,0.305,0.020615528
2518,1,296.40101,-14.66663,16.264,0.013,15.834,0.014,0.43,0.019104973
2519,1,296.33303,-14.8699,16.176,0.012,15.717,0.014,0.459,0.018439089
2521,1,296.09601,-14.91367,16.053,0.012,15.715,0.015,0.338,0.019209373
2525,1,296.35885,-14.73712,16.35,0.013,15.797,0.015,0.553,0.019849433
2530,1,296.44275,-14.91273,16.289,0.013,15.674,0.014,0.615,0.019104973
2540,1,296.34515,-14.7682,16.121,0.012,15.722,0.014,0.399,0.018439089
2541,1,296.1875,-14.87939,16.285,0.014,15.808,0.016,0.477,0.021260292
2542,1,296.11864,-14.74479,16.134,0.013,15.824,0.016,0.31,0.020615528
2544,1,296.28933,-14.88774,16.251,0.014,15.613,0.014,0.638,0.01979899
2550,1,296.24597,-14.69755,16.075,0.012,15.641,0.013,0.434,0.017691806
2557,1,296.35262,-14.70397,16.181,0.012,15.783,0.014,0.398,0.018439089
2561,1,296.33862,-14.74621,16.005,0.011,15.67,0.014,0.335,0.017804494
2563,1,296.11716,-14.88768,16.375,0.015,15.748,0.015,0.627,0.021213203
2565,1,296.14747,-14.94567,16.085,0.013,15.712,0.016,0.373,0.020615528
2573,1,296.26238,-14.77029,16.174,0.013,15.849,0.017,0.325,0.021400935
2577,1,296.25336,-14.7499,16.266,0.014,15.855,0.017,0.411,0.022022716
2578,1,296.04865,-14.7081,16.167,0.013,15.691,0.013,0.476,0.018384776
2587,1,296.36911,-14.79843,16.003,0.011,15.799,0.015,0.204,0.018601075
2590,1,296.11931,-14.70556,16.203,0.013,15.788,0.014,0.415,0.019104973
2591,1,296.06477,-14.91796,16.221,0.015,15.706,0.015,0.515,0.021213203
2594,1,296.39903,-14.7992,16.202,0.012,15.839,0.015,0.363,0.019209373
2605,1,296.10685,-14.7645,16.336,0.015,15.787,0.016,0.549,0.021931712
2606,1,296.30716,-14.71606,16.384,0.014,15.907,0.015,0.477,0.020518285
2612,1,296.16568,-14.72055,16.157,0.012,15.742,0.014,0.415,0.018439089
2616,1,296.09287,-14.8589,15.942,0.012,15.666,0.014,0.276,0.018439089
2626,1,296.07207,-14.95904,15.962,0.011,15.604,0.019,0.358,0.021954498
2641,1,296.16018,-14.81764,16.106,0.013,15.764,0.016,0.342,0.020615528
2642,1,296.40144,-14.68833,16.169,0.012,15.796,0.014,0.373,0.018439089
2643,1,296.39279,-14.66091,16.148,0.012,15.749,0.013,0.399,0.017691806
2650,1,296.24513,-14.73874,16.226,0.014,15.868,0.017,0.358,0.022022716
2652,1,296.24352,-14.66754,16.214,0.013,15.651,0.013,0.563,0.018384776
2675,1,296.1376,-14.76784,16.26,0.014,15.813,0.016,0.447,0.021260292
2683,1,296.35351,-14.77498,16.303,0.013,15.968,0.017,0.335,0.021400935
2684,1,296.08506,-14.77139,16.284,0.016,15.809,0.017,0.475,0.023345235
2695,1,296.34838,-14.79512,16.307,0.013,15.843,0.015,0.464,0.019849433
2697,1,296.35139,-14.76815,16.258,0.013,15.856,0.016,0.402,0.020615528
2699,1,296.38838,-14.7903,16.324,0.013,16.001,0.017,0.323,0.021400935
