RA, Dec, Radius
296.2728021,-14.72225281,43.134
296.2203964,-14.71867024,47.261
296.1363582,-14.70293172,51.173
296.2066082,-14.87821787,51.105
296.2457219,-14.79372016,49.023
296.1628286,-14.86225622,35.454
296.1768149,-14.84143511,22.477
296.2319128,-14.84112266,23.906
296.1378989,-14.73663213,43.255
296.2908375,-14.80965804,40.371
296.6889115,-14.77060855,46.765
