,ID,RA,Dec,k36mag,e36mag,d36mag,k45mag,e45mag,d45mag,k58mag,e58mag,d58mag,k80mag,e80mag,d80mag,k24mag,e24mag,dstArcSec,RAJ2000,DEJ2000,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,CMD1region,CMD2region,CMD3region
891,892,296.36869,-14.74891,14.94,0.04,-0.03,14.68,0.07,-0.1,14.44,0.03,-0.11,14.09,0.04,-0.1,12.99,-9999,0.277090222,296.368622,-14.74895,17.428,0.028,16.482,0.018,15.881,0.016,4,4,4
902,903,296.15623,-14.86099,14.82,0.06,0,14.69,0.07,-0.03,14.28,0.06,0,13.94,0.05,0.06,12.21,-9999,0.267443916,296.156158,-14.860964,17.108,0.026,16.214,0.018,15.634,0.014,4,4,4
905,906,296.23635,-14.83041,14.94,0.07,-0.03,14.69,0.05,-0.03,14.74,0.08,0.07,14.17,0.05,-0.07,12.28,-9999,0.192298328,296.236328,-14.830459,17.337,0.031,16.499,0.022,15.855,0.017,4,4,4
906,907,296.33008,-14.76777,14.63,0.03,-0.08,14.69,0.05,-0.12,14.76,0.03,-0.09,14.37,0.04,0.18,12.33,-9999,0.02269431,296.330078,-14.767764,17.105,0.022,16.08,0.013,15.383,0.011,4,4,4
910,911,296.23877,-14.89657,14.74,0.08,0.22,14.7,0.1,0.18,14.53,0.02,0.03,14.32,0.04,0.24,12.43,-9999,0.18,296.23877,-14.89652,17.085,0.026,15.962,0.014,15.145,0.01,4,4,4
912,913,296.20668,-14.92663,14.53,0.06,-0.03,14.7,0.05,-0.07,14.82,0.04,-0.11,14.38,0.16,-0.27,12.56,-9999,0.063391861,296.206665,-14.92662,16.997,0.024,15.861,0.013,15.147,0.01,4,4,4
914,915,296.165,-14.85327,14.63,0.05,-0.02,14.7,0.04,-0.05,14.79,0.02,-0.14,14.28,0.08,-0.15,10.67,0.12,0.439440561,296.164917,-14.853178,17.217,0.029,16.028,0.015,15.151,0.01,4,4,4
915,916,296.36821,-14.91326,14.53,0.05,0.02,14.7,0.06,0.03,14.74,0.03,-0.01,14.6,0.15,0.52,12.67,-9999,0.390723701,296.368103,-14.913227,16.961,0.02,15.865,0.012,15.151,0.009,4,4,1
916,917,296.23017,-14.81552,14.61,0.05,-0.05,14.7,0.04,-0.03,14.89,0.04,-0.33,14.12,0.04,-0.35,12.09,-9999,0.335486041,296.230103,-14.815453,16.86,0.022,15.878,0.013,15.209,0.01,4,4,4
920,921,296.23009,-14.6512,14.9,0.05,0.01,14.7,0.06,-0.13,14.77,0.05,-0.14,14.29,0.04,-0.02,12.43,-9999,0.128003767,296.230072,-14.651169,17.422,0.031,16.138,0.013,15.373,0.01,4,4,4
922,923,296.4064,-14.80079,14.82,0.07,-0.01,14.71,0.06,-0.1,14.63,0.06,-0.11,14.16,0.05,0.11,12.58,-9999,0.202000345,296.406342,-14.800792,17.028,0.021,15.964,0.012,15.285,0.01,4,4,4
923,924,296.30954,-14.80203,14.91,0.05,-0.04,14.71,0.06,-0.1,14.43,0.02,-0.15,14.16,0.04,-0.16,12.45,-9999,0.216068261,296.309509,-14.801978,16.85,0.021,15.951,0.015,15.504,0.013,4,4,4
929,930,296.29047,-14.79542,14.58,0.04,-0.06,14.72,0.08,-0.09,14.7,0.06,-0.07,14.14,0.06,-0.04,11.82,0.12,0.118341682,296.290436,-14.79542,17.081,0.025,16.044,0.015,15.339,0.011,4,4,4
930,931,296.36964,-14.87292,14.63,0.05,-0.07,14.72,0.05,-0.1,14.51,0.05,-0.16,14.12,0.05,0.05,12.43,-9999,0.267430945,296.369568,-14.872894,17.025,0.021,15.971,0.012,15.317,0.01,4,4,4
932,933,296.28732,-14.79587,14.7,0.04,-0.07,14.72,0.06,-0.08,14.68,0.05,-0.02,14.5,0.04,-0.09,12.49,-9999,0.228950088,296.287262,-14.7959,17.123,0.026,16.117,0.016,15.382,0.012,4,4,2
934,935,296.19778,-14.76335,14.79,0.04,-0.01,14.72,0.08,-0.05,14.77,0.08,0.13,14.18,0.05,-0.21,12.07,-9999,0.412680257,296.197662,-14.763361,17.175,0.027,16.255,0.018,15.536,0.013,4,4,4
941,942,296.37154,-14.9042,14.54,0.05,-0.08,14.73,0.07,-0.07,14.65,0.07,-0.11,14.16,0.06,-0.06,12.52,-9999,0.394194597,296.371429,-14.904178,17.137,0.023,15.972,0.013,15.195,0.01,4,4,4
945,946,296.3559,-14.72544,14.65,0.04,-0.06,14.73,0.06,-0.06,14.55,0.03,-0.09,14.16,0.05,-0.09,12.58,-9999,0.124439835,296.355865,-14.725433,17.188,0.024,16.146,0.014,15.36,0.011,4,4,4
950,951,296.29422,-14.88469,14.54,0.03,0.1,14.74,0.05,0.17,14.46,0.07,0.12,14.23,0.05,0.4,10.97,0.12,0.11261666,296.294189,-14.884681,16.906,0.022,15.826,0.013,15.156,0.01,4,4,4
956,957,296.26086,-14.83242,14.57,0.03,0.25,14.75,0.04,0.24,14.79,0.04,0.25,14.77,0.08,0.56,11.97,0.13,0.348605449,296.260773,-14.832372,16.984,0.024,15.952,0.014,15.264,0.011,4,4,1
960,961,296.28568,-14.87812,14.64,0.04,-0.02,14.75,0.05,-0.05,14.75,0.05,0.14,14.14,0.03,-0.02,11.84,0.13,0.342996842,296.285583,-14.878103,17.182,0.027,16.151,0.016,15.415,0.012,4,4,4
962,963,296.19794,-14.80249,14.67,0.05,-0.02,14.75,0.04,-0.07,14.57,0.04,-0.09,14.19,0.06,-0.22,12.5,-9999,0.134918056,296.197906,-14.802472,16.637,0.019,15.679,0.012,15.129,0.01,4,3,4
964,965,296.20722,-14.74505,14.72,0.06,-0.07,14.75,0.04,-0.11,14.61,0.04,-0.15,14.26,0.07,-0.15,12.95,-9999,0.131439233,296.207184,-14.745039,17.006,0.024,15.993,0.015,15.379,0.012,4,4,4
968,969,296.26238,-14.84864,14.76,0.06,0.22,14.76,0.03,0.17,14.8,0.06,0.15,14.44,0.05,0.24,12.49,-9999,0.28222996,296.262299,-14.848644,16.967,0.023,15.89,0.013,15.197,0.01,4,4,4
970,971,296.11882,-14.84548,15.08,0.06,0.01,14.76,0.06,-0.01,14.6,0.07,0.06,14.3,0.07,0.07,11.35,0.17,0.372968146,296.118713,-14.845474,17.619,0.039,16.683,0.026,16.011,0.019,4,4,4
972,973,296.12699,-14.78975,14.81,0.05,0,14.76,0.05,-0.07,14.75,0.04,-0.15,14.31,0.03,-0.24,10.18,0.07,0.237858355,296.126923,-14.789737,16.835,0.021,15.779,0.012,15.107,0.01,4,4,4
978,979,296.24552,-14.74956,14.8,0.05,0,14.77,0.04,-0.08,14.83,0.03,-0.01,14.33,0.03,-0.14,12.16,-9999,0.234609281,296.245453,-14.749553,16.912,0.022,15.868,0.013,15.245,0.011,4,4,4
987,988,296.28573,-14.74072,14.42,0.07,-0.06,14.78,0.14,0.17,14.6,0.03,-0.01,14.1,0.04,-0.03,12.4,-9999,0.323063344,296.285645,-14.740756,16.67,0.019,15.616,0.011,15.091,0.01,4,3,4
990,991,296.21777,-14.78553,15.25,0.09,0.2,14.78,0.02,-0.06,14.4,0.06,-0.14,14.2,0.05,-0.19,11.54,0.14,0.203452872,296.217712,-14.785537,17.275,0.03,16.319,0.019,15.757,0.015,4,4,4
991,992,296.29455,-14.80926,14.63,0.06,0.37,14.78,0.04,0.29,14.49,0.04,0.24,14.11,0.05,0.35,12.18,-9999,0.617233324,296.294495,-14.809097,16.634,0.018,15.627,0.011,15.141,0.01,4,3,4
1004,1005,296.22874,-14.8155,14.67,0.05,0.04,14.79,0.04,0.08,14.87,0.03,0.08,14.36,0.06,0.17,12.22,-9999,0.25427923,296.228668,-14.815512,17.098,0.026,16.076,0.016,15.349,0.011,4,4,4
1007,1008,296.24542,-14.85231,14.87,0.02,-0.03,14.8,0.06,-0.09,14.83,0.03,-0.24,14.43,0.04,-0.32,12.61,-9999,0.428730491,296.2453,-14.852337,17.313,0.031,16.186,0.017,15.425,0.012,4,4,4
1009,1010,296.20528,-14.77653,14.65,0.05,-0.04,14.8,0.05,-0.08,14.78,0.08,-0.01,14.18,0.04,-0.04,12.58,-9999,0.383512217,296.20517,-14.776536,17.163,0.027,16.081,0.016,15.329,0.011,4,4,4
1013,1014,296.11074,-14.76174,14.68,0.04,0,14.8,0.05,-0.03,14.79,0.07,-0.2,14.42,0.04,0.04,12.68,-9999,0.441910266,296.110626,-14.761686,16.967,0.024,16.008,0.015,15.371,0.012,4,4,4
1020,1021,296.24286,-14.81939,14.8,0.04,-0.08,14.81,0.06,-0.15,14.74,0.04,-0.37,14.64,0.06,-0.16,12.27,-9999,0.318300372,296.242798,-14.819455,16.847,0.022,15.898,0.014,15.32,0.011,4,4,2
1045,1046,296.24398,-14.79239,14.83,0.04,0,14.83,0.03,-0.06,14.3,0.03,0.03,13.31,0.07,-0.15,10.67,-9999,0.211969074,296.243927,-14.792419,16.926,0.023,15.956,0.014,15.457,0.012,4,4,4
1049,1050,296.15346,-14.88787,14.71,0.05,0.44,14.83,0.05,0.43,14.77,0.04,0.42,14.15,0.06,0.41,12.17,-9999,0.17665358,296.153412,-14.887886,17.099,0.026,16.065,0.015,15.404,0.012,4,4,4
1051,1052,296.20386,-14.86884,14.75,0.04,-0.11,14.83,0.03,-0.07,14.7,0.04,-0.13,14.34,0.04,-0.06,11.46,-9999,0.361852331,296.203766,-14.868883,17.226,0.029,16.162,0.017,15.464,0.012,4,4,4
1054,1055,296.21678,-14.81113,14.69,0.06,0.1,14.84,0.06,0.11,15.08,0.04,0.03,14.18,0.06,-0.13,11.25,0.16,0.271756226,296.216705,-14.811151,17.268,0.03,16.131,0.017,15.342,0.011,4,4,4
1057,1058,296.25126,-14.82856,14.79,0.04,0.54,14.84,0.08,0.47,14.89,0.04,0.54,14.45,0.04,0.54,11.92,-9999,0.105553975,296.251251,-14.828588,16.929,0.023,15.886,0.013,15.268,0.011,4,4,4
1071,1072,296.25796,-14.90376,14.61,0.04,-0.07,14.85,0.09,-0.07,14.8,0.04,-0.14,14.44,0.06,0.2,12.37,-9999,0.299531148,296.257874,-14.903764,17.206,0.028,16.118,0.016,15.38,0.012,4,4,4
1074,1075,296.14891,-14.78752,14.83,0.04,0.01,14.85,0.06,-0.06,14.71,0.03,-0.03,14.21,0.05,-0.07,12.71,-9999,0.172390073,296.148865,-14.7875,16.872,0.022,15.862,0.013,15.247,0.011,4,4,4
1075,1076,296.23615,-14.74519,14.8,0.06,-0.03,14.85,0.06,-0.03,15.07,0.06,-0.18,14.37,0.06,-0.06,12.64,-9999,0.22988797,296.236084,-14.745192,17.296,0.03,16.164,0.017,15.431,0.012,4,4,4
1076,1077,296.34676,-14.91954,14.77,0.06,-0.01,14.85,0.05,-0.07,14.75,0.03,0.04,14.23,0.05,0.06,12.44,-9999,0.292482327,296.34668,-14.919515,17.135,0.023,15.983,0.013,15.287,0.01,4,4,4
1089,1090,296.15575,-14.74565,15.05,0.06,-0.05,14.86,0.06,-0.07,14.57,0.03,-0.09,14.16,0.06,-0.09,12.4,-9999,0.181236014,296.155701,-14.745667,16.963,0.023,16.055,0.015,15.614,0.014,4,4,4
1092,1093,296.21133,-14.81136,14.82,0.05,-0.07,14.86,0.04,-0.11,14.67,0.04,0.01,14.35,0.06,0.02,11.9,-9999,0.093933312,296.211304,-14.811353,17.056,0.025,16.019,0.015,15.429,0.012,4,4,4
1099,1100,296.24638,-14.86479,15.13,0.04,-0.01,14.87,0.03,-0.06,14.56,0.04,-0.21,14.31,0.04,-0.01,12.5,-9999,0.254107136,296.246307,-14.864792,17.179,0.027,16.298,0.019,15.749,0.015,4,4,4
1115,1116,296.1632,-14.89449,14.89,0.05,0.05,14.88,0.07,0.06,14.65,0.06,0.01,14.44,0.04,0.26,12.21,-9999,0.292261775,296.163116,-14.894491,16.753,0.02,15.881,0.013,15.436,0.012,4,4,4
1116,1117,296.21608,-14.79618,14.7,0.05,0.08,14.88,0.04,0.07,14.96,0.04,0.12,14.64,0.05,0.08,12.39,-9999,0.304243963,296.216003,-14.79614,17.18,0.028,16.131,0.017,15.388,0.012,4,4,2
1122,1123,296.11107,-14.85967,14.78,0.07,-0.03,14.88,0.05,-0.06,14.97,0.07,-0.18,14.5,0.06,-0.02,12.52,-9999,0.171131401,296.111023,-14.859656,17.142,0.027,16.015,0.015,15.281,0.011,4,4,4
1123,1124,296.22053,-14.85472,14.74,0.04,0.12,14.88,0.04,0,14.92,0.03,0.01,14.21,0.05,-0.18,11.89,0.22,0.248730557,296.220459,-14.854728,17.319,0.031,16.184,0.017,15.418,0.012,4,4,4
1128,1129,296.26861,-14.72636,14.75,0.04,-0.03,14.89,0.05,-0.09,15.12,0.07,-0.41,14.48,0.04,-0.52,9.43,0.01,0.193146869,296.268555,-14.726353,16.964,0.023,15.914,0.014,15.227,0.011,4,4,4
1134,1135,296.2774,-14.83823,15.58,0.14,0.61,14.89,0.04,-0.04,15.09,0.07,0.21,14.34,0.04,-0.08,12.51,-9999,0.107257424,296.277374,-14.838214,17.102,0.026,16.035,0.015,15.376,0.012,4,4,4
1148,1149,296.20935,-14.88916,14.83,0.06,0.02,14.9,0.06,-0.03,14.88,0.06,-0.11,14.56,0.06,0.09,12.58,-9999,0.105362537,296.20932,-14.889164,17.313,0.031,16.212,0.017,15.474,0.013,4,4,2
1154,1155,296.10372,-14.7247,14.75,0.05,0.02,14.91,0.05,-0.05,14.91,0.06,-0.16,14.24,0.07,-0.05,11.78,0.27,0.183928242,296.103668,-14.724691,17.142,0.025,16.05,0.012,15.33,0.01,4,4,4
1162,1163,296.26334,-14.73773,14.78,0.03,-0.07,14.91,0.04,-0.07,15,0.06,0.04,14.33,0.04,-0.2,12.77,-9999,0.343737427,296.263245,-14.737756,17.262,0.029,16.241,0.018,15.578,0.014,4,4,4
1180,1181,296.13549,-14.82316,14.93,0.09,0.06,14.92,0.05,-0.06,14.72,0.04,0.05,14.42,0.08,-0.06,12.43,-9999,0.294544423,296.135406,-14.82317,16.682,0.019,15.744,0.012,15.297,0.011,4,3,4
1182,1183,296.40237,-14.8741,15.02,0.04,-0.07,14.92,0.09,-0.11,14.79,0.07,-0.17,14.7,0.17,0.13,12.62,-9999,0.302897961,296.402283,-14.874103,17.032,0.021,16.024,0.013,15.524,0.012,4,4,2
1183,1184,296.23245,-14.89517,14.77,0.05,-0.06,14.93,0.04,-0.06,14.92,0.04,0.09,14.32,0.04,0.07,13.3,-9999,0.315624084,296.232361,-14.895153,17.296,0.03,16.203,0.017,15.544,0.013,4,4,4
1188,1189,296.27554,-14.85384,14.8,0.03,-0.06,14.93,0.04,-0.03,14.86,0.05,-0.02,14.45,0.04,0.04,11.99,-9999,0.341508635,296.275452,-14.853798,17.352,0.031,16.271,0.018,15.605,0.014,4,4,4
1191,1192,296.13161,-14.85487,14.78,0.06,-0.06,14.93,0.05,-0.01,14.87,0.05,0.03,14.3,0.05,-0.05,12.79,-9999,0.41849452,296.1315,-14.854917,16.875,0.022,15.924,0.014,15.339,0.011,4,4,4
1201,1202,296.2626,-14.84786,14.86,0.08,0.23,14.94,0.04,0.24,14.85,0.05,0.05,14.36,0.06,0.37,13.59,-9999,0.19994272,296.262543,-14.847853,17.049,0.025,16.052,0.015,15.442,0.012,4,4,4
1204,1205,296.20367,-14.95316,15.01,0.04,-0.07,14.94,0.1,-0.07,14.87,0.05,-0.13,14.69,0.14,0.12,11.95,-9999,0.414437299,296.203552,-14.953144,17.585,0.038,16.449,0.02,15.774,0.017,4,4,2
1213,1214,296.27429,-14.80432,14.92,0.06,0.05,14.95,0.04,0.03,14.82,0.05,0.05,14.59,0.08,0.2,12.09,-9999,0.20648209,296.274231,-14.804314,17.461,0.034,16.382,0.02,15.591,0.014,4,4,2
1216,1217,296.19915,-14.81282,14.92,0.05,0.13,14.95,0.04,0.12,14.89,0.04,-0.03,14.54,0.04,0.25,11.85,0.1,0.194346501,296.199097,-14.812803,17.114,0.026,16.099,0.016,15.503,0.013,4,4,4
1218,1219,296.04299,-14.7822,15.04,0.08,0.07,14.95,0.06,-0.06,14.85,0.14,-0.08,14.33,0.05,-0.45,12.37,-9999,0.287262709,296.042908,-14.782191,16.913,0.026,15.97,0.014,15.401,0.012,4,4,4
