ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
1194,2,296.19003,-14.78828,15.15,0.03,15.99,0.26,-0.84,0.261725047
1315,2,296.42174,-14.77687,15.01,0.07,15.54,0.08,-0.53,0.106301458
1335,2,296.43764,-14.8425,15.05,0.09,15.53,0.15,-0.48,0.174928557
1338,2,296.36142,-14.90521,14.94,0.06,15.63,0.16,-0.69,0.170880075
1367,2,296.0491,-14.72244,15.07,0.06,15.58,0.09,-0.51,0.108166538
1415,2,296.38093,-14.69679,15.12,0.06,15.79,0.14,-0.67,0.152315462
1536,2,296.2193,-14.73214,15.09,0.03,16.11,0.11,-1.02,0.114017543
1635,2,296.2286,-14.82999,15.26,0.09,15.86,0.16,-0.6,0.183575598
1679,2,296.06052,-14.88478,15.29,0.09,15.77,0.25,-0.48,0.265706605
1695,2,296.22241,-14.84856,15.18,0.03,15.72,0.13,-0.54,0.133416641
1720,2,296.40467,-14.75098,15.29,0.07,16.02,0.2,-0.73,0.211896201
1773,2,296.33353,-14.76257,15.19,0.03,15.83,0.14,-0.64,0.143178211
1947,2,296.19492,-14.79522,15.44,0.06,16.28,0.2,-0.84,0.20880613
1956,2,296.16734,-14.88269,15.41,0.06,16.05,0.14,-0.64,0.152315462
1976,2,296.19569,-14.86985,15.29,0.04,15.79,0.1,-0.5,0.107703296
2114,2,296.35154,-14.85995,15.43,0.03,15.97,0.14,-0.54,0.143178211
2133,2,296.04982,-14.76942,15.41,0.1,15.9,0.17,-0.49,0.197230829
2166,2,296.40839,-14.69447,15.53,0.07,16.04,0.16,-0.51,0.174642492
2173,2,296.25276,-14.80993,15.49,0.04,16.41,0.28,-0.92,0.282842712
2234,2,296.25248,-14.76233,15.7,0.08,16.32,0.13,-0.62,0.152643375
2275,2,296.16848,-14.83271,15.57,0.05,16.18,0.11,-0.61,0.12083046
2319,2,296.19859,-14.76926,15.66,0.04,16.73,0.29,-1.07,0.292745623
2330,2,296.38074,-14.77722,15.68,0.05,16.26,0.23,-0.58,0.235372046
2400,2,296.15676,-14.90152,15.62,0.06,16.16,0.14,-0.54,0.152315462
2469,2,296.26014,-14.81068,15.66,0.04,16.17,0.16,-0.51,0.164924225
2485,2,296.26129,-14.82135,15.77,0.05,16.42,0.18,-0.65,0.186815417
